setup_date,breakout_date,ticker,company_name,setup_high,setup_close,breakout_open,breakout_high,breakout_close,entry_price,exit_price,success_binary,return_percentage,setup_mpi,setup_mpi_velocity,setup_mpi_trend,setup_ibs,setup_crt_velocity,setup_higher_hl,setup_valid_crt,setup_vw_range_percentile
2024-01-05,2024-01-08,A17U.SI,CapLand Ascendas REIT,2.6336,2.6247,2.6157,2.6514,2.6336,2.6336,2.6336,0,-0.0,0.5,0.0,Flat,0.75,0.128986,0,0,0.32
2024-01-10,2024-01-11,A17U.SI,CapLand Ascendas REIT,2.6157,2.6068,2.6068,2.6514,2.6514,2.6157,2.6514,1,0.013652,0.4,0.0,Flat,0.8571,0.1,0,1,0.88
2024-01-12,2024-01-15,A17U.SI,CapLand Ascendas REIT,2.6425,2.6425,2.6425,2.6693,2.6336,2.6425,2.6336,0,-0.003378,0.3,-0.1,Contracting,1.0,0.1,0,1,0.06
2024-01-19,2024-01-22,A17U.SI,CapLand Ascendas REIT,2.5979,2.5711,2.58,2.6157,2.6068,2.5979,2.6068,1,0.003436,0.3,0.0,Flat,0.4,0.12,0,1,0.84
2024-01-23,2024-01-24,A17U.SI,CapLand Ascendas REIT,2.6157,2.589,2.5979,2.6514,2.6514,2.6157,2.6514,1,0.013652,0.3,0.0,Flat,0.0,0.12,0,0,0.14
2024-02-01,2024-02-02,A17U.SI,CapLand Ascendas REIT,2.589,2.5354,2.5443,2.6157,2.5622,2.589,2.5622,0,-0.010345,0.4,0.0,Flat,0.1429,0.32,0,1,0.94
2024-02-06,2024-02-07,A17U.SI,CapLand Ascendas REIT,2.5086,2.4818,2.4908,2.5265,2.5086,2.5086,2.5086,1,0.0,0.4,0.0,Flat,0.0,0.32,0,0,0.64
2024-02-08,2024-02-09,A17U.SI,CapLand Ascendas REIT,2.5218,2.476,2.476,2.5493,2.531,2.5218,2.531,1,0.003636,0.4,0.0,Flat,0.1667,0.32,0,0,0.92
2024-02-14,2024-02-15,A17U.SI,CapLand Ascendas REIT,2.5035,2.4943,2.4851,2.531,2.5218,2.5035,2.5218,1,0.007326,0.4,-0.1,Contracting,0.875,0.32,0,0,0.88
2024-02-15,2024-02-16,A17U.SI,CapLand Ascendas REIT,2.531,2.5218,2.531,2.5677,2.5493,2.531,2.5493,1,0.007246,0.4,0.0,Flat,0.8,0.32,1,0,0.6
2024-02-20,2024-02-21,A17U.SI,CapLand Ascendas REIT,2.531,2.5127,2.5127,2.5677,2.5218,2.531,2.5218,0,-0.003623,0.4,0.0,Flat,0.5,0.32,0,0,0.12
2024-02-21,2024-02-22,A17U.SI,CapLand Ascendas REIT,2.5677,2.5218,2.5402,2.5768,2.5677,2.5677,2.5677,0,-0.0,0.5,0.1,Expanding,0.2857,0.32,1,0,0.72
2024-02-22,2024-02-23,A17U.SI,CapLand Ascendas REIT,2.5768,2.5677,2.5677,2.5768,2.5585,2.5768,2.5585,0,-0.007117,0.5,0.0,Flat,0.8333,0.32,1,0,0.56
2024-02-23,2024-02-26,A17U.SI,CapLand Ascendas REIT,2.5768,2.5585,2.531,2.586,2.5768,2.5768,2.5768,1,0.0,0.5,0.0,Flat,0.6,0.32,1,0,0.26
2024-03-01,2024-03-04,A17U.SI,CapLand Ascendas REIT,2.5218,2.4943,2.5035,2.531,2.4943,2.5218,2.4943,0,-0.010909,0.3,-0.1,Contracting,0.5,0.38,0,1,0.54
2024-03-07,2024-03-08,A17U.SI,CapLand Ascendas REIT,2.5127,2.4851,2.4851,2.5218,2.5035,2.5127,2.5035,0,-0.00365,0.2,-0.1,Contracting,0.25,0.38,0,0,0.04
