,Code,Shortname,Open,High,Low,Last,Volume,
,A17U.SG,CAPLAND ASCENDAS REIT.SG,2.80,2.81,2.78,2.81,10800.7,
,C38U.SG,CAPLAND INTCOM T.SG,2.30,2.33,2.29,2.31,33096.7,
,M44U.SG,MAPLETREE LOG TR.SG,1.25,1.27,1.25,1.26,9509,
,ME8U.SG,MAPLETREE IND TR.SG,2.13,2.15,2.12,2.14,6196.4,
,AJBU.SG,KEPPEL DC REIT.SG,2.39,2.42,2.39,2.39,5575.7,
,J69U.SG,FRASERS CPT TR.SG,2.33,2.35,2.30,2.33,14588.5,
,N2IU.SG,MAPLETREE PANASIA COM TR.SG,1.42,1.45,1.42,1.44,14092.4,
,BUOU.SG,FRASERS L&C TR.SG,0.955,0.960,0.950,0.955,8811.8,
,K71U.SG,KEPPEL REIT.SG,1.02,1.03,1.01,1.02,8929,
,JYEU.SG,LENDLEASE REIT.SG,0.625,0.635,0.615,0.630,16306.9,
,HMN.SG,CAPLAND ASCOTT T.SG,0.930,0.945,0.925,0.935,9678.4,
,NTDU.SG,NTT DC REIT USD.SG,1.00,1.02,1.00,1.01,4793.9,
,8C8U.SG,CENT ACCOM REIT.SG,1.04,1.04,1.02,1.02,5633.1,
,AU8U.SG,CAPLAND CHINA T.SG,0.790,0.795,0.785,0.795,2760.4,
,9CI.SG,CAPITALANDINVEST.SG,2.69,2.72,2.69,2.69,5263.6,
,Z25.SG,YANLORD LAND.SG,0.745,0.765,0.740,0.745,4253.4,
,AWX.SG,AEM SGD.SG,1.83,1.85,1.81,1.83,2871.5,
,E28.SG,FRENCKEN.SG,1.41,1.41,1.39,1.40,1247.8,
,558.SG,UMS.SG,1.39,1.39,1.37,1.38,1730.5,
,MZH.SG,NANOFILM.SG,0.770,0.775,0.755,0.755,3160,
,BN2.SG,VALUETRONICS.SG,0.825,0.855,0.820,0.850,1372.1,
,Z74.SG,SINGTEL.SG,4.14,4.20,4.12,4.14,29954.5,
,YF8.SG,YZJ FIN HLDG.SG,1.20,1.21,1.18,1.18,12822.4,
,BS6.SG,YZJ SHIPBLDG SGD.SG,3.37,3.38,3.26,3.28,25311.5,
,5E2.SG,SEATRIUM LTD.SG,2.39,2.44,2.38,2.42,24105.7,
,S58.SG,SATS.SG,3.39,3.49,3.39,3.45,8346.6,
,OV8.SG,SHENG SIONG.SG,2.08,2.11,2.07,2.09,2329.9,
,F34.SG,WILMAR INTL.SG,2.85,2.88,2.83,2.88,7219.3,
,EB5.SG,FIRST RESOURCES.SG,1.68,1.72,1.67,1.70,2748.5,
,P8Z.SG,BUMITAMA AGRI.SG,1.12,1.13,1.10,1.11,1316,
,5TP.SG,CNMC GOLDMINE.SG,1.16,1.18,1.11,1.16,10967.9,
,C52.SG,COMFORTDELGRO.SG,1.45,1.47,1.44,1.44,25773.4,
,G13.SG,GENTING SING.SG,0.735,0.740,0.725,0.730,83001.3,
,S08.SG,SINGPOST.SG,0.420,0.425,0.420,0.425,4075.2,
,5LY.SG,MARCOPOLO MARINE.SG,0.075,0.076,0.074,0.075,14155.8,
,DU4.SG,MERMAID MARITIME.SG,0.123,0.126,0.122,0.124,1730.9,
,5WH.SG,REX INTL.SG,0.173,0.175,0.173,0.173,6763.6,
,S56.SG,SAMUDERASHIPPING.SG,0.955,0.955,0.945,0.945,544.6,
,AP4.SG,RIVERSTONE.SG,0.720,0.745,0.720,0.740,3946.3,
,544.SG,CSE GLOBAL.SG,0.725,0.750,0.725,0.745,6281.1,
,G92.SG,CHINA AVIATION.SG,1.32,1.34,1.30,1.32,1756.1,
,RXS.SG,PACIFICRADIANCE.SG,0.105,0.108,0.103,0.104,4921.5,
,41O.SG,LHN.SG,0.950,0.995,0.945,0.950,6973.8,
,OYY.SG,PROPNEX.SG,2.32,2.37,2.30,2.33,1120,
,CLN.SG,APAC REALTY.SG,0.665,0.685,0.665,0.675,272.7,
,ER0.SG,KSH.SG,0.370,0.380,0.365,0.370,633.5,
,1E3.SG,SANLI ENV.SG,0.275,0.300,0.275,0.290,11038.1,
,E3B.SG,WEE HUR.SG,0.715,0.735,0.715,0.730,7624.7,
,P52.SG,PANUNITED.SG,1.12,1.17,1.12,1.17,1014.3,
,OU8.SG,CENTURION.SG,1.51,1.55,1.50,1.54,2392.1,
,LCC.SG,LUM CHANG CREAT.SG,0.450,0.460,0.450,0.450,90.7,
,QC7.SG,Q&M DENTAL.SG,0.450,0.470,0.450,0.470,492.9,
,QES.SG,CHINASUNSINE.SG,0.780,0.805,0.780,0.785,1212.9,
,RE4.SG,GEO ENERGY RES.SG,0.475,0.480,0.465,0.470,7323.4,
,5WV.SG,ASIAPHOS.SG,0.015,0.015,0.014,0.015,10740.6,
