,Code,Shortname,Volume,%Chg,Open,High,Low,Last,
,A17U.SG,CAPLAND ASCENDAS REIT.SG,8941.8,+0.70,2.86,2.89,2.85,2.87,
,C38U.SG,CAPLAND INTCOM T.SG,16299,+0.43,2.35,2.38,2.34,2.36,
,M44U.SG,MAPLETREE LOG TR.SG,16899.4,-1.55,1.28,1.29,1.27,1.27,
,ME8U.SG,MAPLETREE IND TR.SG,5487.4,+0.47,2.15,2.16,2.14,2.15,
,AJBU.SG,KEPPEL DC REIT.SG,4411.5,,2.39,2.40,2.37,2.38,
,J69U.SG,FRASERS CPT TR.SG,1874,-0.42,2.37,2.39,2.36,2.36,
,N2IU.SG,MAPLETREE PANASIA COM TR.SG,3392.5,+0.69,1.45,1.46,1.44,1.46,
,BUOU.SG,FRASERS L&C TR.SG,6843.6,-0.52,0.965,0.970,0.960,0.960,
,K71U.SG,KEPPEL REIT.SG,2953.1,-0.97,1.03,1.04,1.02,1.02,
,JYEU.SG,LENDLEASE REIT.SG,13443.8,-0.77,0.650,0.655,0.640,0.645,
,HMN.SG,CAPLAND ASCOTT T.SG,7022.5,,0.960,0.960,0.950,0.955,
,NTDU.SG,NTT DC REIT USD.SG,3941.2,+1.96,1.03,1.04,1.02,1.04,
,8C8U.SG,CENT ACCOM REIT.SG,8599.1,,1.03,1.04,1.03,1.03,
,AU8U.SG,CAPLAND CHINA T.SG,931.4,+0.63,0.800,0.800,0.790,0.800,
,9CI.SG,CAPITALANDINVEST.SG,8696.2,-0.37,2.72,2.73,2.70,2.70,
,Z25.SG,YANLORD LAND.SG,1812.8,-1.34,0.740,0.745,0.735,0.735,
,AWX.SG,AEM SGD.SG,8762.4,+3.76,1.89,1.94,1.88,1.93,
,E28.SG,FRENCKEN.SG,8030.4,+4.70,1.50,1.57,1.50,1.56,
,558.SG,UMS.SG,4003.5,+2.76,1.46,1.50,1.46,1.49,
,MZH.SG,NANOFILM.SG,2498.5,+0.65,0.770,0.785,0.765,0.770,
,BN2.SG,VALUETRONICS.SG,691.4,+2.41,0.830,0.850,0.830,0.850,
,Z74.SG,SINGTEL.SG,18267.4,,4.20,4.22,4.17,4.21,
,YF8.SG,YZJ FIN HLDG.SG,11290,+0.85,1.19,1.20,1.18,1.19,
,BS6.SG,YZJ SHIPBLDG SGD.SG,29549.8,+3.25,3.38,3.50,3.38,3.49,
,5E2.SG,SEATRIUM LTD.SG,14690.2,+0.81,2.46,2.50,2.46,2.49,
,S58.SG,SATS.SG,3907.6,-0.28,3.52,3.53,3.48,3.51,
,OV8.SG,SHENG SIONG.SG,3121.5,+1.42,2.12,2.15,2.10,2.14,
,F34.SG,WILMAR INTL.SG,5534.8,-0.70,2.87,2.87,2.83,2.83,
,EB5.SG,FIRST RESOURCES.SG,1596.3,,1.71,1.73,1.69,1.70,
,P8Z.SG,BUMITAMA AGRI.SG,6111,+6.19,1.13,1.22,1.12,1.20,
,5TP.SG,CNMC GOLDMINE.SG,14172.9,-1.50,1.38,1.38,1.30,1.31,
,C52.SG,COMFORTDELGRO.SG,3360.5,+0.68,1.47,1.48,1.46,1.48,
,G13.SG,GENTING SING.SG,20574.9,-0.69,0.725,0.725,0.720,0.720,
,S08.SG,SINGPOST.SG,10948.2,+1.20,0.420,0.420,0.410,0.420,
,5LY.SG,MARCOPOLO MARINE.SG,14691.7,,0.078,0.080,0.078,0.079,
,DU4.SG,MERMAID MARITIME.SG,1961.4,+1.61,0.126,0.128,0.125,0.126,
,5WH.SG,REX INTL.SG,6566.1,-0.57,0.175,0.176,0.173,0.174,
,S56.SG,SAMUDERASHIPPING.SG,311.5,+0.52,0.960,0.960,0.950,0.960,
,AP4.SG,RIVERSTONE.SG,5725.7,+1.35,0.745,0.750,0.725,0.750,
,544.SG,CSE GLOBAL.SG,4143.3,+0.68,0.735,0.750,0.735,0.740,
,G92.SG,CHINA AVIATION.SG,644.7,,1.33,1.34,1.32,1.33,
,RXS.SG,PACIFICRADIANCE.SG,3465.1,+0.95,0.106,0.107,0.103,0.106,
,41O.SG,LHN.SG,1227.2,+0.53,0.940,0.950,0.935,0.945,
,OYY.SG,PROPNEX.SG,1189.3,+1.71,2.35,2.42,2.34,2.38,
,CLN.SG,APAC REALTY.SG,156.1,,0.655,0.665,0.655,0.655,
,ER0.SG,KSH.SG,260.9,-1.33,0.370,0.375,0.370,0.370,
,1E3.SG,SANLI ENV.SG,909,+1.79,0.275,0.285,0.275,0.285,
,E3B.SG,WEE HUR.SG,5778.6,+2.70,0.740,0.760,0.735,0.760,
,P52.SG,PANUNITED.SG,686.3,+2.59,1.16,1.20,1.16,1.19,
,F9D.SG,BOUSTEAD.SG,1789.3,+4.02,1.73,1.82,1.73,1.81,
,OU8.SG,SATS.SG,1334.9,+2.03,1.49,1.51,1.49,1.51,
,QC7.SG,Q&M DENTAL.SG,443.7,,0.450,0.460,0.450,0.455,
,QES.SG,CHINASUNSINE.SG,389.5,+1.92,0.780,0.795,0.780,0.795,
,RE4.SG,GEO ENERGY RES.SG,11184,+1.04,0.485,0.495,0.475,0.485,
,5WV.SG,ASIAPHOS.SG,33547.9,,0.013,0.014,0.012,0.013,
