Date,Code,Shortname,Open,High,Low,Close,Vol
2/1/2025,41O.SG,LHN.SG,0.51,0.51,0.495,0.495,568
3/1/2025,41O.SG,LHN.SG,0.5,0.51,0.495,0.5,651
6/1/2025,41O.SG,LHN.SG,0.5,0.5,0.485,0.49,1950
7/1/2025,41O.SG,LHN.SG,0.49,0.51,0.49,0.5,2054
8/1/2025,41O.SG,LHN.SG,0.505,0.52,0.5,0.515,3619
9/1/2025,41O.SG,LHN.SG,0.515,0.515,0.5,0.505,693
10/1/2025,41O.SG,LHN.SG,0.5,0.505,0.49,0.49,1295
13/1/2025,41O.SG,LHN.SG,0.49,0.495,0.485,0.49,881
14/1/2025,41O.SG,LHN.SG,0.49,0.5,0.485,0.495,1294
15/1/2025,41O.SG,LHN.SG,0.495,0.505,0.495,0.5,1532
16/1/2025,41O.SG,LHN.SG,0.505,0.52,0.505,0.515,3417
17/1/2025,41O.SG,LHN.SG,0.515,0.525,0.515,0.52,1876
20/1/2025,41O.SG,LHN.SG,0.52,0.53,0.515,0.515,1027
21/1/2025,41O.SG,LHN.SG,0.52,0.53,0.515,0.52,2039
22/1/2025,41O.SG,LHN.SG,0.525,0.53,0.515,0.52,2036
23/1/2025,41O.SG,LHN.SG,0.52,0.525,0.51,0.51,1659
24/1/2025,41O.SG,LHN.SG,0.515,0.52,0.515,0.52,617
27/1/2025,41O.SG,LHN.SG,0.52,0.52,0.515,0.515,358
28/1/2025,41O.SG,LHN.SG,0.51,0.525,0.51,0.525,910
31/1/2025,41O.SG,LHN.SG,0.52,0.55,0.515,0.545,5386
3/2/2025,41O.SG,LHN.SG,0.54,0.54,0.525,0.525,1281
4/2/2025,41O.SG,LHN.SG,0.525,0.535,0.52,0.52,1016
5/2/2025,41O.SG,LHN.SG,0.52,0.525,0.515,0.52,1636
6/2/2025,41O.SG,LHN.SG,0.51,0.52,0.51,0.51,823
7/2/2025,41O.SG,LHN.SG,0.51,0.515,0.505,0.515,1225
10/2/2025,41O.SG,LHN.SG,0.51,0.515,0.505,0.51,1269
11/2/2025,41O.SG,LHN.SG,0.51,0.515,0.505,0.51,689
12/2/2025,41O.SG,LHN.SG,0.51,0.535,0.51,0.535,4928
13/2/2025,41O.SG,LHN.SG,0.535,0.535,0.525,0.53,1200
14/2/2025,41O.SG,LHN.SG,0.53,0.53,0.52,0.53,707
