Date,Code,Shortname,Open,High,Low,Close,Vol
2/1/2025,544.SG,CSE GLOBAL.SG,0.415,0.42,0.41,0.415,2454
3/1/2025,544.SG,CSE GLOBAL.SG,0.42,0.43,0.42,0.425,3588
6/1/2025,544.SG,CSE GLOBAL.SG,0.43,0.435,0.425,0.425,3733
7/1/2025,544.SG,CSE GLOBAL.SG,0.43,0.435,0.43,0.43,3135
8/1/2025,544.SG,CSE GLOBAL.SG,0.43,0.43,0.425,0.43,1292
9/1/2025,544.SG,CSE GLOBAL.SG,0.43,0.43,0.425,0.425,1974
10/1/2025,544.SG,CSE GLOBAL.SG,0.425,0.43,0.42,0.42,3527
13/1/2025,544.SG,CSE GLOBAL.SG,0.425,0.425,0.42,0.425,479
14/1/2025,544.SG,CSE GLOBAL.SG,0.425,0.425,0.42,0.425,1280
15/1/2025,544.SG,CSE GLOBAL.SG,0.425,0.425,0.42,0.425,842
16/1/2025,544.SG,CSE GLOBAL.SG,0.425,0.43,0.42,0.425,1644
17/1/2025,544.SG,CSE GLOBAL.SG,0.43,0.44,0.425,0.435,3977
20/1/2025,544.SG,CSE GLOBAL.SG,0.435,0.44,0.43,0.435,1438
21/1/2025,544.SG,CSE GLOBAL.SG,0.445,0.45,0.44,0.445,3877
22/1/2025,544.SG,CSE GLOBAL.SG,0.45,0.45,0.44,0.445,2554
23/1/2025,544.SG,CSE GLOBAL.SG,0.445,0.45,0.435,0.44,3447
24/1/2025,544.SG,CSE GLOBAL.SG,0.44,0.445,0.44,0.445,2872
27/1/2025,544.SG,CSE GLOBAL.SG,0.44,0.445,0.43,0.43,3743
28/1/2025,544.SG,CSE GLOBAL.SG,0.43,0.44,0.43,0.435,2129
31/1/2025,544.SG,CSE GLOBAL.SG,0.44,0.45,0.44,0.45,3689
3/2/2025,544.SG,CSE GLOBAL.SG,0.445,0.445,0.435,0.44,5859
4/2/2025,544.SG,CSE GLOBAL.SG,0.445,0.445,0.44,0.445,1501
5/2/2025,544.SG,CSE GLOBAL.SG,0.445,0.45,0.44,0.445,1806
6/2/2025,544.SG,CSE GLOBAL.SG,0.45,0.455,0.44,0.44,3181
7/2/2025,544.SG,CSE GLOBAL.SG,0.445,0.45,0.44,0.445,2350
10/2/2025,544.SG,CSE GLOBAL.SG,0.445,0.45,0.445,0.45,1936
11/2/2025,544.SG,CSE GLOBAL.SG,0.455,0.455,0.445,0.45,1641
12/2/2025,544.SG,CSE GLOBAL.SG,0.45,0.465,0.45,0.465,5508
13/2/2025,544.SG,CSE GLOBAL.SG,0.465,0.465,0.455,0.455,2852
14/2/2025,544.SG,CSE GLOBAL.SG,0.465,0.465,0.455,0.46,2714
17/2/2025,544.SG,CSE GLOBAL.SG,0.46,0.465,0.455,0.46,705
18/2/2025,544.SG,CSE GLOBAL.SG,0.465,0.465,0.46,0.465,1056
19/2/2025,544.SG,CSE GLOBAL.SG,0.46,0.465,0.46,0.465,1082
20/2/2025,544.SG,CSE GLOBAL.SG,0.47,0.47,0.46,0.46,3438
21/2/2025,544.SG,CSE GLOBAL.SG,0.46,0.46,0.445,0.45,3114
24/2/2025,544.SG,CSE GLOBAL.SG,0.45,0.46,0.445,0.455,1282
25/2/2025,544.SG,CSE GLOBAL.SG,0.46,0.465,0.455,0.46,2415
26/2/2025,544.SG,CSE GLOBAL.SG,0.465,0.47,0.455,0.465,5195
27/2/2025,544.SG,CSE GLOBAL.SG,0.445,0.465,0.44,0.465,15740
28/2/2025,544.SG,CSE GLOBAL.SG,0.46,0.465,0.455,0.455,4260
3/3/2025,544.SG,CSE GLOBAL.SG,0.46,0.465,0.46,0.46,1585
4/3/2025,544.SG,CSE GLOBAL.SG,0.455,0.46,0.445,0.455,2905
5/3/2025,544.SG,CSE GLOBAL.SG,0.45,0.465,0.45,0.46,2178
6/3/2025,544.SG,CSE GLOBAL.SG,0.46,0.465,0.46,0.46,1443
7/3/2025,544.SG,CSE GLOBAL.SG,0.46,0.47,0.46,0.465,4260
10/3/2025,544.SG,CSE GLOBAL.SG,0.46,0.465,0.45,0.455,2081
11/3/2025,544.SG,CSE GLOBAL.SG,0.455,0.46,0.445,0.46,3821
12/3/2025,544.SG,CSE GLOBAL.SG,0.46,0.46,0.45,0.455,1538
13/3/2025,544.SG,CSE GLOBAL.SG,0.455,0.46,0.455,0.455,818
14/3/2025,544.SG,CSE GLOBAL.SG,0.455,0.46,0.45,0.455,2486
