Date,Code,Shortname,Open,High,Low,Close,Vol
2/1/2025,5E2.SG,SEATRIUM LTD.SG,2.06,2.09,2.05,2.07,11402
3/1/2025,5E2.SG,SEATRIUM LTD.SG,2.07,2.2,2.07,2.19,60469
6/1/2025,5E2.SG,SEATRIUM LTD.SG,2.2,2.23,2.18,2.2,21563
7/1/2025,5E2.SG,SEATRIUM LTD.SG,2.2,2.25,2.2,2.25,31751
8/1/2025,5E2.SG,SEATRIUM LTD.SG,2.25,2.26,2.22,2.24,14418
9/1/2025,5E2.SG,SEATRIUM LTD.SG,2.23,2.24,2.2,2.21,20246
10/1/2025,5E2.SG,SEATRIUM LTD.SG,2.2,2.23,2.17,2.19,19903
13/1/2025,5E2.SG,SEATRIUM LTD.SG,2.19,2.21,2.14,2.17,18292
14/1/2025,5E2.SG,SEATRIUM LTD.SG,2.18,2.21,2.17,2.18,16059
15/1/2025,5E2.SG,SEATRIUM LTD.SG,2.19,2.23,2.19,2.19,19022
16/1/2025,5E2.SG,SEATRIUM LTD.SG,2.22,2.26,2.22,2.26,30286
17/1/2025,5E2.SG,SEATRIUM LTD.SG,2.26,2.28,2.24,2.27,17157
20/1/2025,5E2.SG,SEATRIUM LTD.SG,2.27,2.27,2.2,2.23,26836
21/1/2025,5E2.SG,SEATRIUM LTD.SG,2.24,2.26,2.19,2.25,23780
22/1/2025,5E2.SG,SEATRIUM LTD.SG,2.26,2.29,2.24,2.25,21323
23/1/2025,5E2.SG,SEATRIUM LTD.SG,2.26,2.26,2.21,2.22,16853
24/1/2025,5E2.SG,SEATRIUM LTD.SG,2.23,2.26,2.2,2.26,17274
27/1/2025,5E2.SG,SEATRIUM LTD.SG,2.26,2.26,2.22,2.22,9277
28/1/2025,5E2.SG,SEATRIUM LTD.SG,2.25,2.25,2.21,2.21,10758
31/1/2025,5E2.SG,SEATRIUM LTD.SG,2.22,2.24,2.2,2.23,26263
3/2/2025,5E2.SG,SEATRIUM LTD.SG,2.21,2.21,2.16,2.16,29889
4/2/2025,5E2.SG,SEATRIUM LTD.SG,2.18,2.19,2.15,2.15,21286
5/2/2025,5E2.SG,SEATRIUM LTD.SG,2.16,2.17,2.14,2.15,15000
6/2/2025,5E2.SG,SEATRIUM LTD.SG,2.15,2.19,2.14,2.18,17921
7/2/2025,5E2.SG,SEATRIUM LTD.SG,2.18,2.2,2.16,2.16,17784
10/2/2025,5E2.SG,SEATRIUM LTD.SG,2.17,2.17,2.14,2.14,13872
11/2/2025,5E2.SG,SEATRIUM LTD.SG,2.15,2.18,2.14,2.16,14485
12/2/2025,5E2.SG,SEATRIUM LTD.SG,2.17,2.3,2.17,2.3,66187
13/2/2025,5E2.SG,SEATRIUM LTD.SG,2.3,2.59,2.29,2.55,108234
14/2/2025,5E2.SG,SEATRIUM LTD.SG,2.56,2.58,2.49,2.58,51888
17/2/2025,5E2.SG,SEATRIUM LTD.SG,2.59,2.6,2.54,2.57,22019
18/2/2025,5E2.SG,SEATRIUM LTD.SG,2.57,2.59,2.54,2.56,14669
19/2/2025,5E2.SG,SEATRIUM LTD.SG,2.56,2.58,2.53,2.55,19138
20/2/2025,5E2.SG,SEATRIUM LTD.SG,2.57,2.59,2.49,2.5,30886
21/2/2025,5E2.SG,SEATRIUM LTD.SG,2.53,2.54,2.36,2.38,46407
24/2/2025,5E2.SG,SEATRIUM LTD.SG,2.36,2.37,2.31,2.33,22060
25/2/2025,5E2.SG,SEATRIUM LTD.SG,2.32,2.32,2.24,2.29,31264
26/2/2025,5E2.SG,SEATRIUM LTD.SG,2.3,2.31,2.2,2.2,24032
27/2/2025,5E2.SG,SEATRIUM LTD.SG,2.22,2.24,2.16,2.18,21834
28/2/2025,5E2.SG,SEATRIUM LTD.SG,2.17,2.17,2.08,2.11,26602
3/3/2025,5E2.SG,SEATRIUM LTD.SG,2.14,2.2,2.13,2.15,23022
4/3/2025,5E2.SG,SEATRIUM LTD.SG,2.13,2.13,2.09,2.1,14832
5/3/2025,5E2.SG,SEATRIUM LTD.SG,2.12,2.16,2.12,2.13,12789
