Date,Code,Shortname,Open,High,Low,Close,Vol
2/1/2025,5LY.SG,MARCOPOLO MARINE.SG,0.054,0.054,0.053,0.053,8890
3/1/2025,5LY.SG,MARCOPOLO MARINE.SG,0.054,0.056,0.053,0.055,25394
6/1/2025,5LY.SG,MARCOPOLO MARINE.SG,0.055,0.056,0.055,0.055,6541
7/1/2025,5LY.SG,MARCOPOLO MARINE.SG,0.056,0.056,0.055,0.055,3010
8/1/2025,5LY.SG,MARCOPOLO MARINE.SG,0.056,0.056,0.055,0.055,4870
9/1/2025,5LY.SG,MARCOPOLO MARINE.SG,0.055,0.055,0.054,0.055,3428
10/1/2025,5LY.SG,MARCOPOLO MARINE.SG,0.055,0.055,0.054,0.054,7809
13/1/2025,5LY.SG,MARCOPOLO MARINE.SG,0.054,0.055,0.054,0.054,1061
14/1/2025,5LY.SG,MARCOPOLO MARINE.SG,0.054,0.056,0.054,0.055,11877
15/1/2025,5LY.SG,MARCOPOLO MARINE.SG,0.055,0.056,0.054,0.055,4348
16/1/2025,5LY.SG,MARCOPOLO MARINE.SG,0.055,0.056,0.055,0.056,2099
17/1/2025,5LY.SG,MARCOPOLO MARINE.SG,0.056,0.056,0.055,0.055,12474
20/1/2025,5LY.SG,MARCOPOLO MARINE.SG,0.055,0.056,0.055,0.056,2500
21/1/2025,5LY.SG,MARCOPOLO MARINE.SG,0.056,0.056,0.054,0.054,6672
22/1/2025,5LY.SG,MARCOPOLO MARINE.SG,0.055,0.056,0.054,0.055,6127
23/1/2025,5LY.SG,MARCOPOLO MARINE.SG,0.055,0.055,0.054,0.055,1873
24/1/2025,5LY.SG,MARCOPOLO MARINE.SG,0.054,0.055,0.054,0.054,3020
27/1/2025,5LY.SG,MARCOPOLO MARINE.SG,0.054,0.055,0.054,0.054,685
28/1/2025,5LY.SG,MARCOPOLO MARINE.SG,0.054,0.055,0.053,0.055,12181
31/1/2025,5LY.SG,MARCOPOLO MARINE.SG,0.054,0.055,0.054,0.055,7738
3/2/2025,5LY.SG,MARCOPOLO MARINE.SG,0.055,0.055,0.054,0.055,9575
4/2/2025,5LY.SG,MARCOPOLO MARINE.SG,0.055,0.055,0.054,0.055,3572
5/2/2025,5LY.SG,MARCOPOLO MARINE.SG,0.055,0.056,0.054,0.055,10457
6/2/2025,5LY.SG,MARCOPOLO MARINE.SG,0.055,0.055,0.054,0.055,14197
7/2/2025,5LY.SG,MARCOPOLO MARINE.SG,0.055,0.055,0.053,0.053,14032
10/2/2025,5LY.SG,MARCOPOLO MARINE.SG,0.054,0.055,0.053,0.053,18386
11/2/2025,5LY.SG,MARCOPOLO MARINE.SG,0.054,0.055,0.054,0.054,5412
12/2/2025,5LY.SG,MARCOPOLO MARINE.SG,0.055,0.058,0.054,0.056,72629
13/2/2025,5LY.SG,MARCOPOLO MARINE.SG,0.056,0.056,0.055,0.056,34925
14/2/2025,5LY.SG,MARCOPOLO MARINE.SG,0.056,0.056,0.054,0.054,17659
17/2/2025,5LY.SG,MARCOPOLO MARINE.SG,0.054,0.055,0.053,0.053,15683
18/2/2025,5LY.SG,MARCOPOLO MARINE.SG,0.053,0.054,0.052,0.053,38508
19/2/2025,5LY.SG,MARCOPOLO MARINE.SG,0.053,0.054,0.052,0.052,24720
20/2/2025,5LY.SG,MARCOPOLO MARINE.SG,0.052,0.053,0.051,0.051,41868
21/2/2025,5LY.SG,MARCOPOLO MARINE.SG,0.052,0.052,0.051,0.051,32526
24/2/2025,5LY.SG,MARCOPOLO MARINE.SG,0.052,0.053,0.051,0.052,13920
25/2/2025,5LY.SG,MARCOPOLO MARINE.SG,0.051,0.053,0.051,0.052,9810
26/2/2025,5LY.SG,MARCOPOLO MARINE.SG,0.052,0.053,0.051,0.051,8561
27/2/2025,5LY.SG,MARCOPOLO MARINE.SG,0.051,0.052,0.051,0.052,5376
28/2/2025,5LY.SG,MARCOPOLO MARINE.SG,0.052,0.052,0.051,0.051,5201
3/3/2025,5LY.SG,MARCOPOLO MARINE.SG,0.051,0.052,0.05,0.05,20840
4/3/2025,5LY.SG,MARCOPOLO MARINE.SG,0.049,0.05,0.048,0.049,41230
5/3/2025,5LY.SG,MARCOPOLO MARINE.SG,0.049,0.051,0.049,0.05,17944
6/3/2025,5LY.SG,MARCOPOLO MARINE.SG,0.05,0.051,0.049,0.05,4120
7/3/2025,5LY.SG,MARCOPOLO MARINE.SG,0.05,0.051,0.05,0.05,2223
10/3/2025,5LY.SG,MARCOPOLO MARINE.SG,0.05,0.051,0.05,0.05,824
11/3/2025,5LY.SG,MARCOPOLO MARINE.SG,0.049,0.05,0.049,0.05,6566
12/3/2025,5LY.SG,MARCOPOLO MARINE.SG,0.05,0.051,0.049,0.049,7204
13/3/2025,5LY.SG,MARCOPOLO MARINE.SG,0.049,0.05,0.048,0.049,21284
14/3/2025,5LY.SG,MARCOPOLO MARINE.SG,0.05,0.05,0.049,0.05,3712
17/3/2025,5LY.SG,MARCOPOLO MARINE.SG,0.05,0.05,0.049,0.049,1726
18/3/2025,5LY.SG,MARCOPOLO MARINE.SG,0.049,0.05,0.049,0.05,2828
19/3/2025,5LY.SG,MARCOPOLO MARINE.SG,0.05,0.05,0.048,0.049,16019
20/3/2025,5LY.SG,MARCOPOLO MARINE.SG,0.05,0.05,0.049,0.05,2837
21/3/2025,5LY.SG,MARCOPOLO MARINE.SG,0.05,0.05,0.049,0.049,3041
24/3/2025,5LY.SG,MARCOPOLO MARINE.SG,0.05,0.05,0.048,0.049,7318
25/3/2025,5LY.SG,MARCOPOLO MARINE.SG,0.049,0.049,0.048,0.048,2967
26/3/2025,5LY.SG,MARCOPOLO MARINE.SG,0.048,0.049,0.048,0.048,2713
27/3/2025,5LY.SG,MARCOPOLO MARINE.SG,0.049,0.049,0.048,0.048,5849
28/3/2025,5LY.SG,MARCOPOLO MARINE.SG,0.049,0.049,0.048,0.048,1658
1/4/2025,5LY.SG,MARCOPOLO MARINE.SG,0.049,0.049,0.048,0.048,1285
2/4/2025,5LY.SG,MARCOPOLO MARINE.SG,0.048,0.049,0.048,0.049,1833
