Date,Code,Shortname,Open,High,Low,Close,Vol
2/1/2025,5TP.SG,CNMC GOLDMINE.SG,0.245,0.25,0.245,0.25,360
3/1/2025,5TP.SG,CNMC GOLDMINE.SG,0.25,0.255,0.25,0.255,142
6/1/2025,5TP.SG,CNMC GOLDMINE.SG,0.255,0.255,0.25,0.255,266
7/1/2025,5TP.SG,CNMC GOLDMINE.SG,0.25,0.255,0.25,0.25,72
8/1/2025,5TP.SG,CNMC GOLDMINE.SG,0.25,0.25,0.25,0.25,432
9/1/2025,5TP.SG,CNMC GOLDMINE.SG,0.255,0.255,0.25,0.25,135
10/1/2025,5TP.SG,CNMC GOLDMINE.SG,0.255,0.255,0.25,0.255,18
13/1/2025,5TP.SG,CNMC GOLDMINE.SG,0.255,0.26,0.25,0.25,397
14/1/2025,5TP.SG,CNMC GOLDMINE.SG,0.25,0.255,0.25,0.25,168
15/1/2025,5TP.SG,CNMC GOLDMINE.SG,0.25,0.255,0.25,0.255,179
16/1/2025,5TP.SG,CNMC GOLDMINE.SG,0.255,0.26,0.255,0.26,277
17/1/2025,5TP.SG,CNMC GOLDMINE.SG,0.26,0.26,0.26,0.26,468
20/1/2025,5TP.SG,CNMC GOLDMINE.SG,0.26,0.265,0.255,0.265,166
21/1/2025,5TP.SG,CNMC GOLDMINE.SG,0.265,0.275,0.265,0.275,986
22/1/2025,5TP.SG,CNMC GOLDMINE.SG,0.285,0.29,0.275,0.28,3866
23/1/2025,5TP.SG,CNMC GOLDMINE.SG,0.28,0.28,0.275,0.275,977
24/1/2025,5TP.SG,CNMC GOLDMINE.SG,0.28,0.28,0.275,0.275,164
27/1/2025,5TP.SG,CNMC GOLDMINE.SG,0.275,0.28,0.275,0.275,1349
28/1/2025,5TP.SG,CNMC GOLDMINE.SG,0.275,0.28,0.275,0.275,700
31/1/2025,5TP.SG,CNMC GOLDMINE.SG,0.28,0.295,0.28,0.295,4535
3/2/2025,5TP.SG,CNMC GOLDMINE.SG,0.295,0.295,0.29,0.29,1186
4/2/2025,5TP.SG,CNMC GOLDMINE.SG,0.295,0.31,0.295,0.305,4095
5/2/2025,5TP.SG,CNMC GOLDMINE.SG,0.31,0.315,0.305,0.31,1961
6/2/2025,5TP.SG,CNMC GOLDMINE.SG,0.31,0.315,0.31,0.31,1612
7/2/2025,5TP.SG,CNMC GOLDMINE.SG,0.31,0.315,0.31,0.31,455
