Date,Code,Shortname,Open,High,Low,Close,Vol
2/1/2025,5WH.SG,REX INTL.SG,0.122,0.125,0.122,0.123,20473
3/1/2025,5WH.SG,REX INTL.SG,0.124,0.131,0.124,0.128,28144
6/1/2025,5WH.SG,REX INTL.SG,0.13,0.133,0.13,0.131,12650
7/1/2025,5WH.SG,REX INTL.SG,0.131,0.132,0.129,0.131,12819
8/1/2025,5WH.SG,REX INTL.SG,0.133,0.135,0.133,0.135,18271
9/1/2025,5WH.SG,REX INTL.SG,0.134,0.135,0.131,0.133,14876
10/1/2025,5WH.SG,REX INTL.SG,0.133,0.135,0.131,0.134,7796
13/1/2025,5WH.SG,REX INTL.SG,0.138,0.142,0.138,0.141,26496
14/1/2025,5WH.SG,REX INTL.SG,0.141,0.143,0.14,0.141,16922
15/1/2025,5WH.SG,REX INTL.SG,0.14,0.141,0.138,0.138,13064
16/1/2025,5WH.SG,REX INTL.SG,0.141,0.142,0.14,0.14,13049
17/1/2025,5WH.SG,REX INTL.SG,0.14,0.143,0.138,0.141,15969
20/1/2025,5WH.SG,REX INTL.SG,0.14,0.142,0.139,0.14,9868
21/1/2025,5WH.SG,REX INTL.SG,0.14,0.143,0.138,0.141,21596
22/1/2025,5WH.SG,REX INTL.SG,0.141,0.142,0.14,0.14,16244
23/1/2025,5WH.SG,REX INTL.SG,0.141,0.141,0.139,0.14,5514
24/1/2025,5WH.SG,REX INTL.SG,0.14,0.141,0.139,0.141,11868
27/1/2025,5WH.SG,REX INTL.SG,0.141,0.141,0.137,0.14,8227
28/1/2025,5WH.SG,REX INTL.SG,0.14,0.14,0.137,0.138,13018
31/1/2025,5WH.SG,REX INTL.SG,0.138,0.141,0.138,0.14,12164
3/2/2025,5WH.SG,REX INTL.SG,0.14,0.141,0.139,0.14,7564
4/2/2025,5WH.SG,REX INTL.SG,0.141,0.141,0.139,0.141,15088
5/2/2025,5WH.SG,REX INTL.SG,0.141,0.152,0.141,0.151,66621
6/2/2025,5WH.SG,REX INTL.SG,0.15,0.154,0.148,0.152,27006
7/2/2025,5WH.SG,REX INTL.SG,0.152,0.165,0.151,0.162,56553
10/2/2025,5WH.SG,REX INTL.SG,0.162,0.181,0.162,0.179,70728
11/2/2025,5WH.SG,REX INTL.SG,0.181,0.199,0.181,0.198,84853
12/2/2025,5WH.SG,REX INTL.SG,0.2,0.21,0.2,0.21,44048
13/2/2025,5WH.SG,REX INTL.SG,0.205,0.21,0.2,0.205,18106
14/2/2025,5WH.SG,REX INTL.SG,0.2,0.21,0.2,0.205,15930
17/2/2025,5WH.SG,REX INTL.SG,0.205,0.205,0.191,0.198,22012
18/2/2025,5WH.SG,REX INTL.SG,0.2,0.205,0.198,0.2,14354
19/2/2025,5WH.SG,REX INTL.SG,0.2,0.22,0.197,0.22,38469
20/2/2025,5WH.SG,REX INTL.SG,0.225,0.23,0.21,0.215,22548
21/2/2025,5WH.SG,REX INTL.SG,0.197,0.198,0.168,0.172,84640
24/2/2025,5WH.SG,REX INTL.SG,0.167,0.177,0.165,0.175,38556
25/2/2025,5WH.SG,REX INTL.SG,0.174,0.185,0.174,0.18,43488
