Date,Code,Shortname,Open,High,Low,Close,Vol
6/1/2025,5WV.SG,ASIAPHOS.SG,0.004,0.004,0.004,0.004,193
8/1/2025,5WV.SG,ASIAPHOS.SG,0.004,0.004,0.004,0.004,3
9/1/2025,5WV.SG,ASIAPHOS.SG,0.004,0.004,0.004,0.004,116
10/1/2025,5WV.SG,ASIAPHOS.SG,0.006,0.006,0.005,0.006,301
27/1/2025,5WV.SG,ASIAPHOS.SG,0.004,0.005,0.004,0.005,296
3/2/2025,5WV.SG,ASIAPHOS.SG,0.006,0.006,0.006,0.006,1
4/2/2025,5WV.SG,ASIAPHOS.SG,0.005,0.005,0.004,0.005,101
10/2/2025,5WV.SG,ASIAPHOS.SG,0.005,0.005,0.005,0.005,210
11/2/2025,5WV.SG,ASIAPHOS.SG,0.004,0.004,0.004,0.004,2000
12/2/2025,5WV.SG,ASIAPHOS.SG,0.004,0.006,0.004,0.005,2526
13/2/2025,5WV.SG,ASIAPHOS.SG,0.005,0.006,0.005,0.006,1012
17/2/2025,5WV.SG,ASIAPHOS.SG,0.005,0.005,0.005,0.005,430
18/2/2025,5WV.SG,ASIAPHOS.SG,0.005,0.005,0.005,0.005,50
4/3/2025,5WV.SG,ASIAPHOS.SG,0.006,0.006,0.006,0.006,8
10/3/2025,5WV.SG,ASIAPHOS.SG,0.004,0.004,0.004,0.004,100
12/3/2025,5WV.SG,ASIAPHOS.SG,0.004,0.004,0.004,0.004,270
13/3/2025,5WV.SG,ASIAPHOS.SG,0.004,0.004,0.004,0.004,200
17/3/2025,5WV.SG,ASIAPHOS.SG,0.004,0.004,0.004,0.004,358
20/3/2025,5WV.SG,ASIAPHOS.SG,0.004,0.004,0.004,0.004,100
21/3/2025,5WV.SG,ASIAPHOS.SG,0.004,0.004,0.004,0.004,438
26/3/2025,5WV.SG,ASIAPHOS.SG,0.004,0.004,0.003,0.003,1130
27/3/2025,5WV.SG,ASIAPHOS.SG,0.004,0.004,0.004,0.004,2500
3/4/2025,5WV.SG,ASIAPHOS.SG,0.003,0.004,0.003,0.004,181
4/4/2025,5WV.SG,ASIAPHOS.SG,0.003,0.003,0.003,0.003,0
7/4/2025,5WV.SG,ASIAPHOS.SG,0.004,0.004,0.004,0.004,4
8/4/2025,5WV.SG,ASIAPHOS.SG,0.003,0.003,0.003,0.003,3
9/4/2025,5WV.SG,ASIAPHOS.SG,0.003,0.004,0.003,0.004,1000
17/4/2025,5WV.SG,ASIAPHOS.SG,0.004,0.004,0.003,0.003,35
29/4/2025,5WV.SG,ASIAPHOS.SG,0.003,0.003,0.003,0.003,0
5/5/2025,5WV.SG,ASIAPHOS.SG,0.005,0.005,0.003,0.003,100
6/5/2025,5WV.SG,ASIAPHOS.SG,0.003,0.003,0.003,0.003,500
8/5/2025,5WV.SG,ASIAPHOS.SG,0.003,0.003,0.003,0.003,300
9/5/2025,5WV.SG,ASIAPHOS.SG,0.004,0.004,0.004,0.004,801
19/5/2025,5WV.SG,ASIAPHOS.SG,0.004,0.004,0.004,0.004,0
20/5/2025,5WV.SG,ASIAPHOS.SG,0.004,0.004,0.004,0.004,9
22/5/2025,5WV.SG,ASIAPHOS.SG,0.004,0.004,0.004,0.004,230
23/5/2025,5WV.SG,ASIAPHOS.SG,0.003,0.003,0.003,0.003,15
26/5/2025,5WV.SG,ASIAPHOS.SG,0.003,0.004,0.003,0.004,7
4/6/2025,5WV.SG,ASIAPHOS.SG,0.004,0.004,0.004,0.004,500
6/6/2025,5WV.SG,ASIAPHOS.SG,0.004,0.004,0.004,0.004,500
10/6/2025,5WV.SG,ASIAPHOS.SG,0.004,0.004,0.004,0.004,9
16/6/2025,5WV.SG,ASIAPHOS.SG,0.006,0.006,0.006,0.006,1
19/6/2025,5WV.SG,ASIAPHOS.SG,0.004,0.004,0.004,0.004,1050
20/6/2025,5WV.SG,ASIAPHOS.SG,0.004,0.004,0.004,0.004,59
25/6/2025,5WV.SG,ASIAPHOS.SG,0.004,0.004,0.004,0.004,272
27/6/2025,5WV.SG,ASIAPHOS.SG,0.004,0.005,0.004,0.005,274
30/6/2025,5WV.SG,ASIAPHOS.SG,0.005,0.005,0.005,0.005,1
1/7/2025,5WV.SG,ASIAPHOS.SG,0.003,0.003,0.003,0.003,3217
4/7/2025,5WV.SG,ASIAPHOS.SG,0.003,0.003,0.003,0.003,40
7/7/2025,5WV.SG,ASIAPHOS.SG,0.004,0.004,0.003,0.003,100
11/7/2025,5WV.SG,ASIAPHOS.SG,0.004,0.005,0.004,0.005,2817
14/7/2025,5WV.SG,ASIAPHOS.SG,0.005,0.005,0.005,0.005,3
16/7/2025,5WV.SG,ASIAPHOS.SG,0.005,0.005,0.005,0.005,0
17/7/2025,5WV.SG,ASIAPHOS.SG,0.005,0.006,0.005,0.006,13376
18/7/2025,5WV.SG,ASIAPHOS.SG,0.007,0.007,0.005,0.005,0
23/7/2025,5WV.SG,ASIAPHOS.SG,0.005,0.005,0.005,0.005,200
24/7/2025,5WV.SG,ASIAPHOS.SG,0.005,0.005,0.005,0.005,740
25/7/2025,5WV.SG,ASIAPHOS.SG,0.006,0.007,0.006,0.006,2200
28/7/2025,5WV.SG,ASIAPHOS.SG,0.006,0.006,0.006,0.006,504
29/7/2025,5WV.SG,ASIAPHOS.SG,0.006,0.006,0.006,0.006,2310
30/7/2025,5WV.SG,ASIAPHOS.SG,0.006,0.006,0.006,0.006,1100
1/8/2025,5WV.SG,ASIAPHOS.SG,0.006,0.006,0.006,0.006,0
18/8/2025,5WV.SG,ASIAPHOS.SG,0.005,0.005,0.005,0.005,400
19/8/2025,5WV.SG,ASIAPHOS.SG,0.005,0.005,0.005,0.005,50
26/8/2025,5WV.SG,ASIAPHOS.SG,0.005,0.005,0.005,0.005,3
1/9/2025,5WV.SG,ASIAPHOS.SG,0.007,0.007,0.006,0.006,28
2/9/2025,5WV.SG,ASIAPHOS.SG,0.011,0.013,0.009,0.009,49142
3/9/2025,5WV.SG,ASIAPHOS.SG,0.01,0.01,0.009,0.01,6354
4/9/2025,5WV.SG,ASIAPHOS.SG,0.01,0.012,0.01,0.012,32728
5/9/2025,5WV.SG,ASIAPHOS.SG,0.014,0.018,0.014,0.015,59301
8/9/2025,5WV.SG,ASIAPHOS.SG,0.015,0.016,0.013,0.015,30042
9/9/2025,5WV.SG,ASIAPHOS.SG,0.015,0.015,0.013,0.014,7820
10/9/2025,5WV.SG,ASIAPHOS.SG,0.014,0.014,0.013,0.014,13910
11/9/2025,5WV.SG,ASIAPHOS.SG,0.013,0.015,0.013,0.015,15431
12/9/2025,5WV.SG,ASIAPHOS.SG,0.015,0.016,0.014,0.015,16920
15/9/2025,5WV.SG,ASIAPHOS.SG,0.014,0.015,0.013,0.015,8805
16/9/2025,5WV.SG,ASIAPHOS.SG,0.015,0.015,0.014,0.015,651
17/9/2025,5WV.SG,ASIAPHOS.SG,0.014,0.015,0.014,0.014,8931
18/9/2025,5WV.SG,ASIAPHOS.SG,0.014,0.014,0.013,0.014,2574
19/9/2025,5WV.SG,ASIAPHOS.SG,0.014,0.014,0.012,0.012,9159
22/9/2025,5WV.SG,ASIAPHOS.SG,0.011,0.013,0.011,0.013,14156
23/9/2025,5WV.SG,ASIAPHOS.SG,0.013,0.013,0.012,0.012,1460
24/9/2025,5WV.SG,ASIAPHOS.SG,0.013,0.013,0.012,0.012,1113
25/9/2025,5WV.SG,ASIAPHOS.SG,0.013,0.013,0.011,0.011,10169
26/9/2025,5WV.SG,ASIAPHOS.SG,0.011,0.014,0.011,0.013,64741
29/9/2025,5WV.SG,ASIAPHOS.SG,0.012,0.014,0.012,0.014,21619
30/9/2025,5WV.SG,ASIAPHOS.SG,0.015,0.016,0.014,0.015,41805
1/10/2025,5WV.SG,ASIAPHOS.SG,0.015,0.015,0.014,0.015,10740
2/10/2025,5WV.SG,ASIAPHOS.SG,0.015,0.015,0.014,0.015,650
3/10/2025,5WV.SG,ASIAPHOS.SG,0.014,0.015,0.013,0.014,11690
6/10/2025,5WV.SG,ASIAPHOS.SG,0.014,0.014,0.013,0.013,4420
7/10/2025,5WV.SG,ASIAPHOS.SG,0.013,0.014,0.012,0.013,33647
