Date,Code,Shortname,Open,High,Low,Close,Vol
2/1/2025,9CI.SG,CAPITALANDINVEST.SG,2.63,2.65,2.62,2.65,4241
3/1/2025,9CI.SG,CAPITALANDINVEST.SG,2.66,2.69,2.66,2.68,4973
6/1/2025,9CI.SG,CAPITALANDINVEST.SG,2.69,2.69,2.63,2.64,6246
7/1/2025,9CI.SG,CAPITALANDINVEST.SG,2.64,2.64,2.57,2.58,8487
8/1/2025,9CI.SG,CAPITALANDINVEST.SG,2.59,2.6,2.47,2.51,23373
9/1/2025,9CI.SG,CAPITALANDINVEST.SG,2.51,2.52,2.48,2.48,12581
10/1/2025,9CI.SG,CAPITALANDINVEST.SG,2.48,2.48,2.45,2.47,13908
13/1/2025,9CI.SG,CAPITALANDINVEST.SG,2.46,2.47,2.43,2.45,12959
14/1/2025,9CI.SG,CAPITALANDINVEST.SG,2.45,2.5,2.45,2.46,9947
15/1/2025,9CI.SG,CAPITALANDINVEST.SG,2.48,2.51,2.46,2.5,11080
16/1/2025,9CI.SG,CAPITALANDINVEST.SG,2.54,2.55,2.48,2.49,12732
17/1/2025,9CI.SG,CAPITALANDINVEST.SG,2.49,2.51,2.47,2.47,10334
20/1/2025,9CI.SG,CAPITALANDINVEST.SG,2.47,2.49,2.46,2.48,8441
21/1/2025,9CI.SG,CAPITALANDINVEST.SG,2.49,2.51,2.48,2.49,7914
22/1/2025,9CI.SG,CAPITALANDINVEST.SG,2.5,2.52,2.44,2.45,14597
23/1/2025,9CI.SG,CAPITALANDINVEST.SG,2.45,2.47,2.42,2.44,13421
24/1/2025,9CI.SG,CAPITALANDINVEST.SG,2.45,2.47,2.44,2.44,9931
27/1/2025,9CI.SG,CAPITALANDINVEST.SG,2.44,2.45,2.41,2.44,10178
28/1/2025,9CI.SG,CAPITALANDINVEST.SG,2.45,2.48,2.45,2.45,7569
31/1/2025,9CI.SG,CAPITALANDINVEST.SG,2.48,2.49,2.45,2.46,12418
3/2/2025,9CI.SG,CAPITALANDINVEST.SG,2.43,2.44,2.4,2.42,10598
4/2/2025,9CI.SG,CAPITALANDINVEST.SG,2.44,2.49,2.42,2.46,14071
5/2/2025,9CI.SG,CAPITALANDINVEST.SG,2.46,2.47,2.42,2.45,6788
6/2/2025,9CI.SG,CAPITALANDINVEST.SG,2.45,2.49,2.44,2.47,12062
