Date,Code,Shortname,Open,High,Low,Close,Vol
2/1/2025,A17U.SG,CAPLAND ASCENDAS REIT.SG,2.58,2.6,2.57,2.6,5969.0
3/1/2025,A17U.SG,CAPLAND ASCENDAS REIT.SG,2.6,2.65,2.6,2.64,10544.0
6/1/2025,A17U.SG,CAPLAND ASCENDAS REIT.SG,2.65,2.66,2.63,2.64,9813.0
7/1/2025,A17U.SG,CAPLAND ASCENDAS REIT.SG,2.63,2.64,2.6,2.62,10338.0
8/1/2025,A17U.SG,CAPLAND ASCENDAS REIT.SG,2.61,2.61,2.58,2.6,10055.0
9/1/2025,A17U.SG,CAPLAND ASCENDAS REIT.SG,2.6,2.61,2.57,2.58,6829.0
10/1/2025,A17U.SG,CAPLAND ASCENDAS REIT.SG,2.57,2.59,2.55,2.57,10942.0
13/1/2025,A17U.SG,CAPLAND ASCENDAS REIT.SG,2.55,2.57,2.55,2.57,7124.0
14/1/2025,A17U.SG,CAPLAND ASCENDAS REIT.SG,2.56,2.59,2.54,2.54,14489.0
15/1/2025,A17U.SG,CAPLAND ASCENDAS REIT.SG,2.54,2.56,2.53,2.54,8419.0
16/1/2025,A17U.SG,CAPLAND ASCENDAS REIT.SG,2.57,2.63,2.57,2.6,15582.0
17/1/2025,A17U.SG,CAPLAND ASCENDAS REIT.SG,2.59,2.65,2.58,2.61,12352.0
20/1/2025,A17U.SG,CAPLAND ASCENDAS REIT.SG,2.61,2.65,2.61,2.62,8463.0
21/1/2025,A17U.SG,CAPLAND ASCENDAS REIT.SG,2.63,2.63,2.59,2.61,10394.0
22/1/2025,A17U.SG,CAPLAND ASCENDAS REIT.SG,2.62,2.63,2.58,2.58,10271.0
23/1/2025,A17U.SG,CAPLAND ASCENDAS REIT.SG,2.58,2.59,2.56,2.58,9755.0
24/1/2025,A17U.SG,CAPLAND ASCENDAS REIT.SG,2.58,2.61,2.57,2.58,8655.0
27/1/2025,A17U.SG,CAPLAND ASCENDAS REIT.SG,2.58,2.59,2.55,2.56,13297.0
28/1/2025,A17U.SG,CAPLAND ASCENDAS REIT.SG,2.58,2.64,2.58,2.61,12929.0
31/1/2025,A17U.SG,CAPLAND ASCENDAS REIT.SG,2.64,2.65,2.58,2.59,14988.0
3/2/2025,A17U.SG,CAPLAND ASCENDAS REIT.SG,2.55,2.58,2.54,2.57,9451.0
4/2/2025,A17U.SG,CAPLAND ASCENDAS REIT.SG,2.57,2.59,2.56,2.58,7161.0
5/2/2025,A17U.SG,CAPLAND ASCENDAS REIT.SG,2.58,2.61,2.55,2.57,12003.0
6/2/2025,A17U.SG,CAPLAND ASCENDAS REIT.SG,2.57,2.6,2.57,2.59,7852.0
7/2/2025,A17U.SG,CAPLAND ASCENDAS REIT.SG,2.6,2.66,2.6,2.64,21394.0
10/2/2025,A17U.SG,CAPLAND ASCENDAS REIT.SG,2.64,2.66,2.6,2.65,14266.0
11/2/2025,A17U.SG,CAPLAND ASCENDAS REIT.SG,2.65,2.66,2.63,2.64,9379.0
12/2/2025,A17U.SG,CAPLAND ASCENDAS REIT.SG,2.64,2.65,2.61,2.63,8956.0
