Date,Code,Shortname,Open,High,Low,Close,Vol
2/1/2025,AJBU.SG,KEPPEL DC REIT.SG,2.18,2.22,2.18,2.21,1741
3/1/2025,AJBU.SG,KEPPEL DC REIT.SG,2.21,2.24,2.21,2.23,3665
6/1/2025,AJBU.SG,KEPPEL DC REIT.SG,2.23,2.28,2.23,2.23,6580
7/1/2025,AJBU.SG,KEPPEL DC REIT.SG,2.24,2.25,2.23,2.25,3394
8/1/2025,AJBU.SG,KEPPEL DC REIT.SG,2.23,2.25,2.19,2.23,6660
9/1/2025,AJBU.SG,KEPPEL DC REIT.SG,2.25,2.26,2.22,2.25,4521
10/1/2025,AJBU.SG,KEPPEL DC REIT.SG,2.23,2.25,2.22,2.25,5808
13/1/2025,AJBU.SG,KEPPEL DC REIT.SG,2.22,2.22,2.17,2.19,6922
14/1/2025,AJBU.SG,KEPPEL DC REIT.SG,2.18,2.19,2.11,2.13,10564
15/1/2025,AJBU.SG,KEPPEL DC REIT.SG,2.12,2.15,2.12,2.14,4212
16/1/2025,AJBU.SG,KEPPEL DC REIT.SG,2.16,2.21,2.16,2.19,5746
17/1/2025,AJBU.SG,KEPPEL DC REIT.SG,2.18,2.23,2.18,2.21,5024
20/1/2025,AJBU.SG,KEPPEL DC REIT.SG,2.22,2.26,2.22,2.23,6500
21/1/2025,AJBU.SG,KEPPEL DC REIT.SG,2.25,2.28,2.22,2.24,10342
22/1/2025,AJBU.SG,KEPPEL DC REIT.SG,2.23,2.23,2.17,2.21,6801
23/1/2025,AJBU.SG,KEPPEL DC REIT.SG,2.19,2.23,2.19,2.22,4185
24/1/2025,AJBU.SG,KEPPEL DC REIT.SG,2.21,2.28,2.2,2.27,12616
27/1/2025,AJBU.SG,KEPPEL DC REIT.SG,2.26,2.27,2.08,2.09,45539
28/1/2025,AJBU.SG,KEPPEL DC REIT.SG,2.12,2.16,2.11,2.15,11844
31/1/2025,AJBU.SG,KEPPEL DC REIT.SG,2.18,2.22,2.15,2.2,19269
3/2/2025,AJBU.SG,KEPPEL DC REIT.SG,2.19,2.2,2.17,2.18,8026
4/2/2025,AJBU.SG,KEPPEL DC REIT.SG,2.18,2.18,2.13,2.14,11099
5/2/2025,AJBU.SG,KEPPEL DC REIT.SG,2.18,2.23,2.18,2.2,8768
6/2/2025,AJBU.SG,KEPPEL DC REIT.SG,2.21,2.23,2.17,2.18,6318
7/2/2025,AJBU.SG,KEPPEL DC REIT.SG,2.19,2.21,2.18,2.19,5353
10/2/2025,AJBU.SG,KEPPEL DC REIT.SG,2.19,2.19,2.14,2.17,7594
11/2/2025,AJBU.SG,KEPPEL DC REIT.SG,2.18,2.2,2.16,2.17,9412
12/2/2025,AJBU.SG,KEPPEL DC REIT.SG,2.17,2.2,2.16,2.2,8136
13/2/2025,AJBU.SG,KEPPEL DC REIT.SG,2.18,2.2,2.15,2.16,6650
14/2/2025,AJBU.SG,KEPPEL DC REIT.SG,2.17,2.19,2.1,2.1,22150
17/2/2025,AJBU.SG,KEPPEL DC REIT.SG,2.11,2.14,2.1,2.13,6127
18/2/2025,AJBU.SG,KEPPEL DC REIT.SG,2.13,2.13,2.09,2.12,7696
19/2/2025,AJBU.SG,KEPPEL DC REIT.SG,2.11,2.13,2.08,2.11,6558
20/2/2025,AJBU.SG,KEPPEL DC REIT.SG,2.11,2.12,2.08,2.1,7202
21/2/2025,AJBU.SG,KEPPEL DC REIT.SG,2.11,2.16,2.1,2.14,9867
24/2/2025,AJBU.SG,KEPPEL DC REIT.SG,2.14,2.16,2.13,2.15,7999
25/2/2025,AJBU.SG,KEPPEL DC REIT.SG,2.15,2.17,2.1,2.11,9009
26/2/2025,AJBU.SG,KEPPEL DC REIT.SG,2.11,2.12,2.04,2.06,16424
27/2/2025,AJBU.SG,KEPPEL DC REIT.SG,2.05,2.08,2.04,2.05,10058
28/2/2025,AJBU.SG,KEPPEL DC REIT.SG,2.05,2.12,2.04,2.07,15779
3/3/2025,AJBU.SG,KEPPEL DC REIT.SG,2.06,2.13,2.05,2.1,7124
4/3/2025,AJBU.SG,KEPPEL DC REIT.SG,2.1,2.14,2.07,2.1,6744
5/3/2025,AJBU.SG,KEPPEL DC REIT.SG,2.09,2.14,2.08,2.11,5645
6/3/2025,AJBU.SG,KEPPEL DC REIT.SG,2.09,2.11,2.06,2.07,6078
7/3/2025,AJBU.SG,KEPPEL DC REIT.SG,2.07,2.08,2.06,2.06,3041
10/3/2025,AJBU.SG,KEPPEL DC REIT.SG,2.06,2.1,2.06,2.07,4951
11/3/2025,AJBU.SG,KEPPEL DC REIT.SG,2.06,2.07,2.02,2.05,9742
12/3/2025,AJBU.SG,KEPPEL DC REIT.SG,2.04,2.17,2.03,2.15,21756
13/3/2025,AJBU.SG,KEPPEL DC REIT.SG,2.17,2.24,2.16,2.21,25774
14/3/2025,AJBU.SG,KEPPEL DC REIT.SG,2.22,2.26,2.18,2.19,13001
17/3/2025,AJBU.SG,KEPPEL DC REIT.SG,2.2,2.21,2.16,2.19,5307
18/3/2025,AJBU.SG,KEPPEL DC REIT.SG,2.2,2.21,2.16,2.17,5282
19/3/2025,AJBU.SG,KEPPEL DC REIT.SG,2.16,2.18,2.15,2.17,3127
20/3/2025,AJBU.SG,KEPPEL DC REIT.SG,2.18,2.18,2.15,2.18,8151
21/3/2025,AJBU.SG,KEPPEL DC REIT.SG,2.18,2.19,2.15,2.17,13322
24/3/2025,AJBU.SG,KEPPEL DC REIT.SG,2.17,2.2,2.16,2.18,6877
25/3/2025,AJBU.SG,KEPPEL DC REIT.SG,2.19,2.23,2.17,2.17,9365
26/3/2025,AJBU.SG,KEPPEL DC REIT.SG,2.17,2.21,2.16,2.19,6596
27/3/2025,AJBU.SG,KEPPEL DC REIT.SG,2.2,2.21,2.17,2.19,5884
28/3/2025,AJBU.SG,KEPPEL DC REIT.SG,2.19,2.19,2.14,2.15,10348
1/4/2025,AJBU.SG,KEPPEL DC REIT.SG,2.16,2.18,2.15,2.15,6995
2/4/2025,AJBU.SG,KEPPEL DC REIT.SG,2.14,2.15,2.12,2.13,4247
3/4/2025,AJBU.SG,KEPPEL DC REIT.SG,2.12,2.15,2.1,2.13,7705
4/4/2025,AJBU.SG,KEPPEL DC REIT.SG,2.13,2.15,2.13,2.14,9119
7/4/2025,AJBU.SG,KEPPEL DC REIT.SG,2.09,2.1,1.91,1.96,30764
8/4/2025,AJBU.SG,KEPPEL DC REIT.SG,1.96,2.02,1.92,1.97,18477
9/4/2025,AJBU.SG,KEPPEL DC REIT.SG,1.95,1.95,1.84,1.92,15680
10/4/2025,AJBU.SG,KEPPEL DC REIT.SG,2.03,2.07,1.98,1.99,15391
11/4/2025,AJBU.SG,KEPPEL DC REIT.SG,1.95,1.96,1.92,1.94,6970
14/4/2025,AJBU.SG,KEPPEL DC REIT.SG,1.96,1.98,1.93,1.93,7028
15/4/2025,AJBU.SG,KEPPEL DC REIT.SG,1.94,2.01,1.93,1.99,6822
16/4/2025,AJBU.SG,KEPPEL DC REIT.SG,1.99,2.05,1.99,2.05,10524
17/4/2025,AJBU.SG,KEPPEL DC REIT.SG,2.07,2.07,2.0,2.03,8064
21/4/2025,AJBU.SG,KEPPEL DC REIT.SG,2.04,2.07,2.01,2.05,3971
22/4/2025,AJBU.SG,KEPPEL DC REIT.SG,2.05,2.08,2.03,2.04,5722
23/4/2025,AJBU.SG,KEPPEL DC REIT.SG,2.06,2.09,2.05,2.07,3672
24/4/2025,AJBU.SG,KEPPEL DC REIT.SG,2.07,2.08,2.06,2.07,2326
25/4/2025,AJBU.SG,KEPPEL DC REIT.SG,2.09,2.1,2.06,2.08,5916
28/4/2025,AJBU.SG,KEPPEL DC REIT.SG,2.08,2.09,2.06,2.09,3834
29/4/2025,AJBU.SG,KEPPEL DC REIT.SG,2.09,2.11,2.07,2.08,3369
30/4/2025,AJBU.SG,KEPPEL DC REIT.SG,2.09,2.16,2.08,2.16,14278
2/5/2025,AJBU.SG,KEPPEL DC REIT.SG,2.18,2.21,2.16,2.19,10382
5/5/2025,AJBU.SG,KEPPEL DC REIT.SG,2.19,2.2,2.16,2.17,3244
6/5/2025,AJBU.SG,KEPPEL DC REIT.SG,2.18,2.19,2.16,2.19,4100
7/5/2025,AJBU.SG,KEPPEL DC REIT.SG,2.2,2.25,2.18,2.2,10768
8/5/2025,AJBU.SG,KEPPEL DC REIT.SG,2.2,2.2,2.12,2.16,6524
9/5/2025,AJBU.SG,KEPPEL DC REIT.SG,2.15,2.22,2.15,2.19,6706
13/5/2025,AJBU.SG,KEPPEL DC REIT.SG,2.2,2.22,2.18,2.19,6443
14/5/2025,AJBU.SG,KEPPEL DC REIT.SG,2.21,2.21,2.14,2.17,6688
15/5/2025,AJBU.SG,KEPPEL DC REIT.SG,2.17,2.18,2.12,2.14,8031
16/5/2025,AJBU.SG,KEPPEL DC REIT.SG,2.13,2.15,2.11,2.14,4207
19/5/2025,AJBU.SG,KEPPEL DC REIT.SG,2.14,2.17,2.12,2.14,7314
20/5/2025,AJBU.SG,KEPPEL DC REIT.SG,2.13,2.14,2.11,2.14,3932
21/5/2025,AJBU.SG,KEPPEL DC REIT.SG,2.14,2.19,2.13,2.16,7766
22/5/2025,AJBU.SG,KEPPEL DC REIT.SG,2.16,2.17,2.13,2.15,3296
23/5/2025,AJBU.SG,KEPPEL DC REIT.SG,2.17,2.19,2.16,2.18,5140
26/5/2025,AJBU.SG,KEPPEL DC REIT.SG,2.18,2.22,2.17,2.2,4284
27/5/2025,AJBU.SG,KEPPEL DC REIT.SG,2.2,2.21,2.16,2.17,4228
28/5/2025,AJBU.SG,KEPPEL DC REIT.SG,2.18,2.2,2.15,2.17,5653
29/5/2025,AJBU.SG,KEPPEL DC REIT.SG,2.17,2.18,2.14,2.17,5906
30/5/2025,AJBU.SG,KEPPEL DC REIT.SG,2.16,2.19,2.16,2.19,7238
2/6/2025,AJBU.SG,KEPPEL DC REIT.SG,2.19,2.19,2.16,2.18,3954
3/6/2025,AJBU.SG,KEPPEL DC REIT.SG,2.2,2.2,2.16,2.17,5631
4/6/2025,AJBU.SG,KEPPEL DC REIT.SG,2.17,2.2,2.15,2.17,4921
5/6/2025,AJBU.SG,KEPPEL DC REIT.SG,2.16,2.19,2.16,2.19,4882
6/6/2025,AJBU.SG,KEPPEL DC REIT.SG,2.21,2.25,2.21,2.24,10208
9/6/2025,AJBU.SG,KEPPEL DC REIT.SG,2.25,2.26,2.23,2.23,12226
