Date,Code,Shortname,Open,High,Low,Close,Vol
2/1/2025,AP4.SG,RIVERSTONE.SG,1.09,1.09,1.06,1.07,493
3/1/2025,AP4.SG,RIVERSTONE.SG,1.08,1.09,1.08,1.08,536
6/1/2025,AP4.SG,RIVERSTONE.SG,1.08,1.12,1.08,1.09,1747
7/1/2025,AP4.SG,RIVERSTONE.SG,1.1,1.1,1.08,1.1,676
8/1/2025,AP4.SG,RIVERSTONE.SG,1.1,1.1,1.06,1.07,1454
9/1/2025,AP4.SG,RIVERSTONE.SG,1.07,1.09,1.07,1.07,504
10/1/2025,AP4.SG,RIVERSTONE.SG,1.07,1.08,1.05,1.06,1361
13/1/2025,AP4.SG,RIVERSTONE.SG,1.06,1.07,1.05,1.05,886
14/1/2025,AP4.SG,RIVERSTONE.SG,1.05,1.07,1.02,1.03,1601
15/1/2025,AP4.SG,RIVERSTONE.SG,1.03,1.03,1.0,1.01,2646
16/1/2025,AP4.SG,RIVERSTONE.SG,1.02,1.03,1.01,1.01,434
17/1/2025,AP4.SG,RIVERSTONE.SG,1.01,1.03,1.01,1.02,467
20/1/2025,AP4.SG,RIVERSTONE.SG,1.02,1.03,1.01,1.02,591
21/1/2025,AP4.SG,RIVERSTONE.SG,1.02,1.04,1.02,1.02,548
22/1/2025,AP4.SG,RIVERSTONE.SG,1.02,1.05,1.02,1.04,1169
23/1/2025,AP4.SG,RIVERSTONE.SG,1.04,1.05,1.02,1.02,1206
24/1/2025,AP4.SG,RIVERSTONE.SG,1.02,1.04,1.02,1.02,1086
27/1/2025,AP4.SG,RIVERSTONE.SG,1.02,1.04,1.02,1.02,860
28/1/2025,AP4.SG,RIVERSTONE.SG,1.02,1.03,1.0,1.0,1060
31/1/2025,AP4.SG,RIVERSTONE.SG,1.01,1.03,1.01,1.02,1136
3/2/2025,AP4.SG,RIVERSTONE.SG,1.03,1.03,1.01,1.01,646
4/2/2025,AP4.SG,RIVERSTONE.SG,1.01,1.02,1.01,1.02,620
5/2/2025,AP4.SG,RIVERSTONE.SG,1.02,1.05,1.01,1.05,1778
6/2/2025,AP4.SG,RIVERSTONE.SG,1.04,1.06,1.03,1.05,3966
7/2/2025,AP4.SG,RIVERSTONE.SG,1.05,1.06,1.04,1.05,1197
10/2/2025,AP4.SG,RIVERSTONE.SG,1.06,1.07,1.03,1.04,2875
11/2/2025,AP4.SG,RIVERSTONE.SG,1.05,1.05,1.03,1.03,866
12/2/2025,AP4.SG,RIVERSTONE.SG,1.04,1.05,1.02,1.03,2650
13/2/2025,AP4.SG,RIVERSTONE.SG,1.02,1.04,1.0,1.01,9225
14/2/2025,AP4.SG,RIVERSTONE.SG,1.01,1.03,1.01,1.02,1342
17/2/2025,AP4.SG,RIVERSTONE.SG,1.02,1.03,1.01,1.02,1575
18/2/2025,AP4.SG,RIVERSTONE.SG,1.02,1.05,1.0,1.01,4056
19/2/2025,AP4.SG,RIVERSTONE.SG,1.0,1.02,0.985,0.99,6158
20/2/2025,AP4.SG,RIVERSTONE.SG,0.99,1.01,0.97,0.975,4597
