Date,Code,Shortname,Open,High,Low,Close,Vol
2/1/2025,AU8U.SG,CAPLAND CHINA T.SG,0.72,0.74,0.72,0.73,1595
3/1/2025,AU8U.SG,CAPLAND CHINA T.SG,0.73,0.74,0.73,0.74,1797
6/1/2025,AU8U.SG,CAPLAND CHINA T.SG,0.74,0.745,0.735,0.735,1495
7/1/2025,AU8U.SG,CAPLAND CHINA T.SG,0.735,0.74,0.725,0.725,1071
8/1/2025,AU8U.SG,CAPLAND CHINA T.SG,0.725,0.735,0.725,0.735,543
9/1/2025,AU8U.SG,CAPLAND CHINA T.SG,0.73,0.735,0.73,0.73,590
10/1/2025,AU8U.SG,CAPLAND CHINA T.SG,0.73,0.73,0.725,0.73,566
13/1/2025,AU8U.SG,CAPLAND CHINA T.SG,0.725,0.73,0.72,0.725,712
14/1/2025,AU8U.SG,CAPLAND CHINA T.SG,0.72,0.73,0.72,0.73,1082
15/1/2025,AU8U.SG,CAPLAND CHINA T.SG,0.73,0.73,0.725,0.73,725
16/1/2025,AU8U.SG,CAPLAND CHINA T.SG,0.73,0.735,0.725,0.725,1545
17/1/2025,AU8U.SG,CAPLAND CHINA T.SG,0.725,0.73,0.72,0.72,769
20/1/2025,AU8U.SG,CAPLAND CHINA T.SG,0.725,0.74,0.725,0.735,1607
21/1/2025,AU8U.SG,CAPLAND CHINA T.SG,0.735,0.74,0.73,0.735,1116
22/1/2025,AU8U.SG,CAPLAND CHINA T.SG,0.735,0.74,0.73,0.73,642
23/1/2025,AU8U.SG,CAPLAND CHINA T.SG,0.73,0.74,0.73,0.74,2056
24/1/2025,AU8U.SG,CAPLAND CHINA T.SG,0.735,0.74,0.73,0.73,1553
27/1/2025,AU8U.SG,CAPLAND CHINA T.SG,0.735,0.735,0.725,0.725,1064
28/1/2025,AU8U.SG,CAPLAND CHINA T.SG,0.73,0.735,0.725,0.73,460
31/1/2025,AU8U.SG,CAPLAND CHINA T.SG,0.73,0.735,0.725,0.735,1902
3/2/2025,AU8U.SG,CAPLAND CHINA T.SG,0.73,0.735,0.725,0.73,1271
4/2/2025,AU8U.SG,CAPLAND CHINA T.SG,0.735,0.735,0.72,0.725,1774
5/2/2025,AU8U.SG,CAPLAND CHINA T.SG,0.725,0.735,0.725,0.73,1656
6/2/2025,AU8U.SG,CAPLAND CHINA T.SG,0.725,0.73,0.72,0.72,2450
7/2/2025,AU8U.SG,CAPLAND CHINA T.SG,0.72,0.73,0.72,0.73,1962
10/2/2025,AU8U.SG,CAPLAND CHINA T.SG,0.73,0.73,0.72,0.72,2215
11/2/2025,AU8U.SG,CAPLAND CHINA T.SG,0.725,0.725,0.72,0.72,2153
12/2/2025,AU8U.SG,CAPLAND CHINA T.SG,0.72,0.73,0.72,0.72,2363
13/2/2025,AU8U.SG,CAPLAND CHINA T.SG,0.69,0.7,0.69,0.69,2666
14/2/2025,AU8U.SG,CAPLAND CHINA T.SG,0.695,0.7,0.685,0.685,3098
17/2/2025,AU8U.SG,CAPLAND CHINA T.SG,0.69,0.695,0.685,0.685,1830
18/2/2025,AU8U.SG,CAPLAND CHINA T.SG,0.69,0.69,0.68,0.68,2914
19/2/2025,AU8U.SG,CAPLAND CHINA T.SG,0.685,0.69,0.68,0.685,1616
20/2/2025,AU8U.SG,CAPLAND CHINA T.SG,0.68,0.685,0.67,0.67,3968
21/2/2025,AU8U.SG,CAPLAND CHINA T.SG,0.675,0.68,0.67,0.67,1236
24/2/2025,AU8U.SG,CAPLAND CHINA T.SG,0.675,0.69,0.675,0.685,2905
25/2/2025,AU8U.SG,CAPLAND CHINA T.SG,0.68,0.685,0.675,0.68,1535
26/2/2025,AU8U.SG,CAPLAND CHINA T.SG,0.68,0.68,0.675,0.675,906
27/2/2025,AU8U.SG,CAPLAND CHINA T.SG,0.675,0.68,0.66,0.675,4471
28/2/2025,AU8U.SG,CAPLAND CHINA T.SG,0.67,0.675,0.665,0.665,2390
3/3/2025,AU8U.SG,CAPLAND CHINA T.SG,0.665,0.675,0.66,0.67,2099
4/3/2025,AU8U.SG,CAPLAND CHINA T.SG,0.67,0.67,0.66,0.665,1519
5/3/2025,AU8U.SG,CAPLAND CHINA T.SG,0.67,0.67,0.66,0.66,1585
6/3/2025,AU8U.SG,CAPLAND CHINA T.SG,0.66,0.665,0.66,0.665,1574
7/3/2025,AU8U.SG,CAPLAND CHINA T.SG,0.665,0.665,0.66,0.665,2042
10/3/2025,AU8U.SG,CAPLAND CHINA T.SG,0.665,0.665,0.66,0.66,1098
11/3/2025,AU8U.SG,CAPLAND CHINA T.SG,0.66,0.66,0.65,0.655,4342
12/3/2025,AU8U.SG,CAPLAND CHINA T.SG,0.655,0.69,0.655,0.685,3135
13/3/2025,AU8U.SG,CAPLAND CHINA T.SG,0.69,0.715,0.69,0.695,7027
14/3/2025,AU8U.SG,CAPLAND CHINA T.SG,0.7,0.72,0.7,0.71,3037
17/3/2025,AU8U.SG,CAPLAND CHINA T.SG,0.715,0.73,0.71,0.72,3801
18/3/2025,AU8U.SG,CAPLAND CHINA T.SG,0.725,0.725,0.71,0.72,5878
19/3/2025,AU8U.SG,CAPLAND CHINA T.SG,0.715,0.72,0.7,0.7,5283
20/3/2025,AU8U.SG,CAPLAND CHINA T.SG,0.705,0.715,0.705,0.71,2290
21/3/2025,AU8U.SG,CAPLAND CHINA T.SG,0.715,0.715,0.7,0.7,4672
24/3/2025,AU8U.SG,CAPLAND CHINA T.SG,0.705,0.71,0.695,0.695,2599
25/3/2025,AU8U.SG,CAPLAND CHINA T.SG,0.7,0.705,0.695,0.7,2289
26/3/2025,AU8U.SG,CAPLAND CHINA T.SG,0.7,0.705,0.695,0.7,1247
27/3/2025,AU8U.SG,CAPLAND CHINA T.SG,0.7,0.7,0.695,0.7,1077
28/3/2025,AU8U.SG,CAPLAND CHINA T.SG,0.7,0.71,0.695,0.705,2252
1/4/2025,AU8U.SG,CAPLAND CHINA T.SG,0.705,0.705,0.695,0.705,1589
2/4/2025,AU8U.SG,CAPLAND CHINA T.SG,0.7,0.705,0.695,0.695,1250
