Date,Code,Shortname,Open,High,Low,Close,Vol
2/1/2025,BN2.SG,VALUETRONICS.SG,0.62,0.625,0.62,0.62,11
3/1/2025,BN2.SG,VALUETRONICS.SG,0.62,0.63,0.62,0.63,156
6/1/2025,BN2.SG,VALUETRONICS.SG,0.63,0.635,0.625,0.625,433
7/1/2025,BN2.SG,VALUETRONICS.SG,0.625,0.63,0.62,0.625,87
8/1/2025,BN2.SG,VALUETRONICS.SG,0.625,0.625,0.62,0.62,75
9/1/2025,BN2.SG,VALUETRONICS.SG,0.62,0.63,0.62,0.625,190
10/1/2025,BN2.SG,VALUETRONICS.SG,0.625,0.625,0.62,0.62,173
13/1/2025,BN2.SG,VALUETRONICS.SG,0.625,0.625,0.62,0.62,140
14/1/2025,BN2.SG,VALUETRONICS.SG,0.62,0.62,0.62,0.62,17
15/1/2025,BN2.SG,VALUETRONICS.SG,0.62,0.62,0.615,0.615,146
16/1/2025,BN2.SG,VALUETRONICS.SG,0.62,0.625,0.62,0.625,57
17/1/2025,BN2.SG,VALUETRONICS.SG,0.62,0.625,0.615,0.615,351
20/1/2025,BN2.SG,VALUETRONICS.SG,0.62,0.625,0.615,0.625,132
21/1/2025,BN2.SG,VALUETRONICS.SG,0.625,0.63,0.62,0.63,296
22/1/2025,BN2.SG,VALUETRONICS.SG,0.63,0.635,0.62,0.63,376
23/1/2025,BN2.SG,VALUETRONICS.SG,0.63,0.63,0.615,0.625,468
24/1/2025,BN2.SG,VALUETRONICS.SG,0.625,0.625,0.62,0.62,229
27/1/2025,BN2.SG,VALUETRONICS.SG,0.625,0.63,0.62,0.63,110
28/1/2025,BN2.SG,VALUETRONICS.SG,0.625,0.63,0.62,0.62,78
31/1/2025,BN2.SG,VALUETRONICS.SG,0.63,0.635,0.625,0.625,297
3/2/2025,BN2.SG,VALUETRONICS.SG,0.625,0.63,0.615,0.615,477
4/2/2025,BN2.SG,VALUETRONICS.SG,0.62,0.62,0.615,0.615,184
5/2/2025,BN2.SG,VALUETRONICS.SG,0.615,0.625,0.615,0.615,156
6/2/2025,BN2.SG,VALUETRONICS.SG,0.62,0.625,0.615,0.62,267
7/2/2025,BN2.SG,VALUETRONICS.SG,0.62,0.63,0.62,0.625,169
10/2/2025,BN2.SG,VALUETRONICS.SG,0.625,0.63,0.625,0.625,553
11/2/2025,BN2.SG,VALUETRONICS.SG,0.63,0.635,0.625,0.635,519
12/2/2025,BN2.SG,VALUETRONICS.SG,0.635,0.645,0.63,0.64,1754
13/2/2025,BN2.SG,VALUETRONICS.SG,0.64,0.645,0.64,0.645,566
14/2/2025,BN2.SG,VALUETRONICS.SG,0.645,0.645,0.63,0.635,272
17/2/2025,BN2.SG,VALUETRONICS.SG,0.64,0.65,0.64,0.645,543
18/2/2025,BN2.SG,VALUETRONICS.SG,0.645,0.645,0.64,0.64,318
19/2/2025,BN2.SG,VALUETRONICS.SG,0.64,0.645,0.64,0.645,350
20/2/2025,BN2.SG,VALUETRONICS.SG,0.64,0.66,0.635,0.66,2228
21/2/2025,BN2.SG,VALUETRONICS.SG,0.66,0.67,0.65,0.65,1897
24/2/2025,BN2.SG,VALUETRONICS.SG,0.655,0.665,0.655,0.665,1084
25/2/2025,BN2.SG,VALUETRONICS.SG,0.665,0.67,0.66,0.66,1569
26/2/2025,BN2.SG,VALUETRONICS.SG,0.665,0.695,0.665,0.685,3754
27/2/2025,BN2.SG,VALUETRONICS.SG,0.685,0.71,0.68,0.71,4150
28/2/2025,BN2.SG,VALUETRONICS.SG,0.705,0.705,0.69,0.695,1614
3/3/2025,BN2.SG,VALUETRONICS.SG,0.7,0.7,0.68,0.69,1241
4/3/2025,BN2.SG,VALUETRONICS.SG,0.68,0.68,0.67,0.675,767
5/3/2025,BN2.SG,VALUETRONICS.SG,0.67,0.69,0.67,0.68,771
6/3/2025,BN2.SG,VALUETRONICS.SG,0.68,0.685,0.675,0.675,256
7/3/2025,BN2.SG,VALUETRONICS.SG,0.675,0.675,0.665,0.675,427
10/3/2025,BN2.SG,VALUETRONICS.SG,0.67,0.67,0.665,0.67,254
11/3/2025,BN2.SG,VALUETRONICS.SG,0.655,0.675,0.655,0.675,1370
12/3/2025,BN2.SG,VALUETRONICS.SG,0.67,0.675,0.665,0.67,384
13/3/2025,BN2.SG,VALUETRONICS.SG,0.67,0.675,0.665,0.665,362
14/3/2025,BN2.SG,VALUETRONICS.SG,0.665,0.67,0.66,0.665,268
17/3/2025,BN2.SG,VALUETRONICS.SG,0.665,0.67,0.665,0.665,232
18/3/2025,BN2.SG,VALUETRONICS.SG,0.665,0.675,0.665,0.67,564
19/3/2025,BN2.SG,VALUETRONICS.SG,0.67,0.67,0.665,0.67,315
20/3/2025,BN2.SG,VALUETRONICS.SG,0.665,0.685,0.66,0.685,1192
21/3/2025,BN2.SG,VALUETRONICS.SG,0.68,0.68,0.66,0.66,839
24/3/2025,BN2.SG,VALUETRONICS.SG,0.66,0.67,0.66,0.67,380
25/3/2025,BN2.SG,VALUETRONICS.SG,0.67,0.67,0.66,0.67,129
26/3/2025,BN2.SG,VALUETRONICS.SG,0.665,0.665,0.655,0.655,429
27/3/2025,BN2.SG,VALUETRONICS.SG,0.655,0.665,0.655,0.66,545
28/3/2025,BN2.SG,VALUETRONICS.SG,0.66,0.695,0.66,0.695,2557
1/4/2025,BN2.SG,VALUETRONICS.SG,0.69,0.69,0.68,0.69,324
2/4/2025,BN2.SG,VALUETRONICS.SG,0.685,0.695,0.685,0.695,682
3/4/2025,BN2.SG,VALUETRONICS.SG,0.665,0.665,0.63,0.645,5579
4/4/2025,BN2.SG,VALUETRONICS.SG,0.635,0.635,0.615,0.625,1642
7/4/2025,BN2.SG,VALUETRONICS.SG,0.6,0.6,0.55,0.575,2944
8/4/2025,BN2.SG,VALUETRONICS.SG,0.575,0.59,0.575,0.585,1126
9/4/2025,BN2.SG,VALUETRONICS.SG,0.58,0.585,0.55,0.585,2236
10/4/2025,BN2.SG,VALUETRONICS.SG,0.61,0.625,0.605,0.61,2440
11/4/2025,BN2.SG,VALUETRONICS.SG,0.595,0.61,0.585,0.605,893
14/4/2025,BN2.SG,VALUETRONICS.SG,0.61,0.615,0.595,0.605,634
15/4/2025,BN2.SG,VALUETRONICS.SG,0.605,0.605,0.595,0.6,832
16/4/2025,BN2.SG,VALUETRONICS.SG,0.605,0.615,0.6,0.605,637
17/4/2025,BN2.SG,VALUETRONICS.SG,0.61,0.615,0.6,0.615,141
