Date,Code,Shortname,Open,High,Low,Close,Vol
2/1/2025,BS6.SG,YZJ SHIPBLDG SGD.SG,2.98,2.99,2.95,2.96,7281
3/1/2025,BS6.SG,YZJ SHIPBLDG SGD.SG,2.97,3.0,2.94,2.97,12441
6/1/2025,BS6.SG,YZJ SHIPBLDG SGD.SG,2.99,2.99,2.95,2.98,14168
7/1/2025,BS6.SG,YZJ SHIPBLDG SGD.SG,2.99,3.0,2.92,2.95,29788
8/1/2025,BS6.SG,YZJ SHIPBLDG SGD.SG,2.94,3.08,2.92,3.08,46992
9/1/2025,BS6.SG,YZJ SHIPBLDG SGD.SG,3.08,3.14,3.07,3.11,22321
10/1/2025,BS6.SG,YZJ SHIPBLDG SGD.SG,3.09,3.1,2.94,3.0,25712
13/1/2025,BS6.SG,YZJ SHIPBLDG SGD.SG,3.01,3.04,2.93,2.95,18486
14/1/2025,BS6.SG,YZJ SHIPBLDG SGD.SG,2.98,3.07,2.97,3.07,23631
15/1/2025,BS6.SG,YZJ SHIPBLDG SGD.SG,3.09,3.1,2.95,2.96,27133
16/1/2025,BS6.SG,YZJ SHIPBLDG SGD.SG,3.0,3.02,2.95,3.01,20268
17/1/2025,BS6.SG,YZJ SHIPBLDG SGD.SG,3.01,3.02,2.93,2.93,23685
20/1/2025,BS6.SG,YZJ SHIPBLDG SGD.SG,2.95,2.96,2.86,2.89,24300
21/1/2025,BS6.SG,YZJ SHIPBLDG SGD.SG,2.91,2.91,2.85,2.89,16643
22/1/2025,BS6.SG,YZJ SHIPBLDG SGD.SG,2.93,3.01,2.9,3.0,27514
23/1/2025,BS6.SG,YZJ SHIPBLDG SGD.SG,3.01,3.02,2.94,3.0,16628
24/1/2025,BS6.SG,YZJ SHIPBLDG SGD.SG,3.01,3.01,2.98,2.99,11187
27/1/2025,BS6.SG,YZJ SHIPBLDG SGD.SG,3.01,3.05,2.99,3.03,17240
28/1/2025,BS6.SG,YZJ SHIPBLDG SGD.SG,3.05,3.06,2.96,2.97,13636
31/1/2025,BS6.SG,YZJ SHIPBLDG SGD.SG,2.98,3.1,2.97,3.05,24824
3/2/2025,BS6.SG,YZJ SHIPBLDG SGD.SG,3.01,3.1,3.01,3.03,18041
