Date,Code,Shortname,Open,High,Low,Close,Vol
2/1/2025,BUOU.SG,FRASERS L&C TR.SG,0.885,0.895,0.88,0.89,13306
3/1/2025,BUOU.SG,FRASERS L&C TR.SG,0.885,0.895,0.885,0.895,4378
6/1/2025,BUOU.SG,FRASERS L&C TR.SG,0.895,0.9,0.89,0.89,8963
7/1/2025,BUOU.SG,FRASERS L&C TR.SG,0.89,0.895,0.885,0.89,14465
8/1/2025,BUOU.SG,FRASERS L&C TR.SG,0.885,0.89,0.875,0.88,12749
9/1/2025,BUOU.SG,FRASERS L&C TR.SG,0.88,0.88,0.875,0.875,2728
10/1/2025,BUOU.SG,FRASERS L&C TR.SG,0.875,0.88,0.87,0.87,6819
13/1/2025,BUOU.SG,FRASERS L&C TR.SG,0.87,0.875,0.855,0.865,16061
14/1/2025,BUOU.SG,FRASERS L&C TR.SG,0.86,0.875,0.855,0.86,9249
15/1/2025,BUOU.SG,FRASERS L&C TR.SG,0.86,0.865,0.86,0.86,7515
16/1/2025,BUOU.SG,FRASERS L&C TR.SG,0.875,0.89,0.875,0.88,14725
17/1/2025,BUOU.SG,FRASERS L&C TR.SG,0.88,0.9,0.88,0.885,14271
20/1/2025,BUOU.SG,FRASERS L&C TR.SG,0.89,0.9,0.885,0.89,15475
21/1/2025,BUOU.SG,FRASERS L&C TR.SG,0.89,0.89,0.88,0.885,6238
22/1/2025,BUOU.SG,FRASERS L&C TR.SG,0.89,0.89,0.87,0.875,9404
23/1/2025,BUOU.SG,FRASERS L&C TR.SG,0.875,0.88,0.865,0.88,10064
24/1/2025,BUOU.SG,FRASERS L&C TR.SG,0.88,0.885,0.88,0.88,3656
27/1/2025,BUOU.SG,FRASERS L&C TR.SG,0.88,0.88,0.87,0.875,5604
28/1/2025,BUOU.SG,FRASERS L&C TR.SG,0.875,0.89,0.875,0.89,5449
31/1/2025,BUOU.SG,FRASERS L&C TR.SG,0.89,0.895,0.88,0.885,13252
3/2/2025,BUOU.SG,FRASERS L&C TR.SG,0.885,0.89,0.875,0.88,10796
4/2/2025,BUOU.SG,FRASERS L&C TR.SG,0.88,0.89,0.875,0.88,10218
