Date,Code,Shortname,Open,High,Low,Close,Vol
2/1/2025,C38U.SG,CAPLAND INTCOM T.SG,1.94,1.95,1.93,1.95,5472
3/1/2025,C38U.SG,CAPLAND INTCOM T.SG,1.95,1.99,1.95,1.97,21060
6/1/2025,C38U.SG,CAPLAND INTCOM T.SG,1.98,2.0,1.98,1.99,17702
7/1/2025,C38U.SG,CAPLAND INTCOM T.SG,1.99,2.0,1.97,1.98,32365
8/1/2025,C38U.SG,CAPLAND INTCOM T.SG,1.96,1.97,1.93,1.95,24733
9/1/2025,C38U.SG,CAPLAND INTCOM T.SG,1.95,1.96,1.94,1.95,12495
10/1/2025,C38U.SG,CAPLAND INTCOM T.SG,1.94,1.97,1.94,1.94,19583
13/1/2025,C38U.SG,CAPLAND INTCOM T.SG,1.93,1.94,1.92,1.94,17775
14/1/2025,C38U.SG,CAPLAND INTCOM T.SG,1.95,1.95,1.91,1.91,32922
15/1/2025,C38U.SG,CAPLAND INTCOM T.SG,1.91,1.92,1.9,1.91,16869
16/1/2025,C38U.SG,CAPLAND INTCOM T.SG,1.94,1.96,1.94,1.95,23274
17/1/2025,C38U.SG,CAPLAND INTCOM T.SG,1.94,2.0,1.94,1.96,31082
20/1/2025,C38U.SG,CAPLAND INTCOM T.SG,1.97,1.99,1.97,1.97,15517
21/1/2025,C38U.SG,CAPLAND INTCOM T.SG,1.98,1.98,1.95,1.96,21438
22/1/2025,C38U.SG,CAPLAND INTCOM T.SG,1.97,1.98,1.94,1.94,24176
23/1/2025,C38U.SG,CAPLAND INTCOM T.SG,1.93,1.94,1.92,1.94,22063
24/1/2025,C38U.SG,CAPLAND INTCOM T.SG,1.94,1.97,1.94,1.95,22353
27/1/2025,C38U.SG,CAPLAND INTCOM T.SG,1.94,1.95,1.92,1.93,17814
28/1/2025,C38U.SG,CAPLAND INTCOM T.SG,1.94,1.97,1.94,1.94,18504
31/1/2025,C38U.SG,CAPLAND INTCOM T.SG,1.96,1.97,1.94,1.95,26520
3/2/2025,C38U.SG,CAPLAND INTCOM T.SG,1.93,1.94,1.92,1.93,16487
4/2/2025,C38U.SG,CAPLAND INTCOM T.SG,1.93,1.95,1.92,1.93,24109
5/2/2025,C38U.SG,CAPLAND INTCOM T.SG,1.94,1.95,1.93,1.94,21539
6/2/2025,C38U.SG,CAPLAND INTCOM T.SG,1.95,1.98,1.95,1.97,23700
7/2/2025,C38U.SG,CAPLAND INTCOM T.SG,1.97,1.99,1.96,1.98,17661
10/2/2025,C38U.SG,CAPLAND INTCOM T.SG,1.98,2.0,1.98,1.99,22358
11/2/2025,C38U.SG,CAPLAND INTCOM T.SG,1.99,2.0,1.98,1.99,19795
12/2/2025,C38U.SG,CAPLAND INTCOM T.SG,1.97,1.98,1.95,1.97,22915
13/2/2025,C38U.SG,CAPLAND INTCOM T.SG,1.95,1.95,1.93,1.95,15511
14/2/2025,C38U.SG,CAPLAND INTCOM T.SG,1.96,1.98,1.95,1.97,22030
17/2/2025,C38U.SG,CAPLAND INTCOM T.SG,1.97,1.99,1.96,1.98,13228
18/2/2025,C38U.SG,CAPLAND INTCOM T.SG,1.99,1.99,1.95,1.97,29208
19/2/2025,C38U.SG,CAPLAND INTCOM T.SG,1.97,1.98,1.95,1.96,19440
20/2/2025,C38U.SG,CAPLAND INTCOM T.SG,1.96,1.97,1.94,1.94,27319
21/2/2025,C38U.SG,CAPLAND INTCOM T.SG,1.94,1.97,1.94,1.95,19474
24/2/2025,C38U.SG,CAPLAND INTCOM T.SG,1.94,1.98,1.94,1.95,23878
25/2/2025,C38U.SG,CAPLAND INTCOM T.SG,1.96,1.99,1.96,1.97,21655
26/2/2025,C38U.SG,CAPLAND INTCOM T.SG,1.97,1.99,1.97,1.98,26988
27/2/2025,C38U.SG,CAPLAND INTCOM T.SG,1.97,1.97,1.95,1.97,21967
28/2/2025,C38U.SG,CAPLAND INTCOM T.SG,1.96,1.98,1.95,1.97,38500
3/3/2025,C38U.SG,CAPLAND INTCOM T.SG,1.96,1.98,1.95,1.98,24013
4/3/2025,C38U.SG,CAPLAND INTCOM T.SG,1.98,1.99,1.97,1.98,15175
5/3/2025,C38U.SG,CAPLAND INTCOM T.SG,1.98,2.0,1.98,2.0,21516
6/3/2025,C38U.SG,CAPLAND INTCOM T.SG,2.0,2.02,1.99,2.0,26139
7/3/2025,C38U.SG,CAPLAND INTCOM T.SG,1.99,2.02,1.98,2.01,42836
10/3/2025,C38U.SG,CAPLAND INTCOM T.SG,2.01,2.02,2.0,2.01,19689
11/3/2025,C38U.SG,CAPLAND INTCOM T.SG,2.0,2.03,1.99,2.03,35851
12/3/2025,C38U.SG,CAPLAND INTCOM T.SG,2.04,2.09,2.02,2.08,47485
13/3/2025,C38U.SG,CAPLAND INTCOM T.SG,2.08,2.12,2.08,2.11,43664
14/3/2025,C38U.SG,CAPLAND INTCOM T.SG,2.11,2.14,2.1,2.13,33694
17/3/2025,C38U.SG,CAPLAND INTCOM T.SG,2.14,2.14,2.1,2.12,31926
18/3/2025,C38U.SG,CAPLAND INTCOM T.SG,2.12,2.13,2.09,2.1,32411
19/3/2025,C38U.SG,CAPLAND INTCOM T.SG,2.09,2.09,2.06,2.08,36165
