Date,Code,Shortname,Open,High,Low,Close,Vol
2/1/2025,C52.SG,COMFORTDELGRO.SG,1.48,1.48,1.46,1.47,1920
3/1/2025,C52.SG,COMFORTDELGRO.SG,1.47,1.48,1.46,1.48,1817
6/1/2025,C52.SG,COMFORTDELGRO.SG,1.47,1.48,1.46,1.46,4385
7/1/2025,C52.SG,COMFORTDELGRO.SG,1.46,1.47,1.45,1.45,2709
8/1/2025,C52.SG,COMFORTDELGRO.SG,1.45,1.46,1.45,1.46,2150
9/1/2025,C52.SG,COMFORTDELGRO.SG,1.46,1.46,1.44,1.44,3960
10/1/2025,C52.SG,COMFORTDELGRO.SG,1.44,1.47,1.44,1.45,3581
13/1/2025,C52.SG,COMFORTDELGRO.SG,1.45,1.45,1.43,1.44,6317
14/1/2025,C52.SG,COMFORTDELGRO.SG,1.44,1.45,1.43,1.44,1740
15/1/2025,C52.SG,COMFORTDELGRO.SG,1.43,1.44,1.4,1.41,8693
16/1/2025,C52.SG,COMFORTDELGRO.SG,1.42,1.43,1.39,1.4,11548
17/1/2025,C52.SG,COMFORTDELGRO.SG,1.4,1.42,1.39,1.39,7144
20/1/2025,C52.SG,COMFORTDELGRO.SG,1.4,1.42,1.4,1.41,4307
21/1/2025,C52.SG,COMFORTDELGRO.SG,1.41,1.41,1.39,1.39,3165
22/1/2025,C52.SG,COMFORTDELGRO.SG,1.4,1.41,1.39,1.39,4077
23/1/2025,C52.SG,COMFORTDELGRO.SG,1.39,1.41,1.39,1.4,3640
24/1/2025,C52.SG,COMFORTDELGRO.SG,1.4,1.4,1.39,1.39,1917
27/1/2025,C52.SG,COMFORTDELGRO.SG,1.39,1.4,1.38,1.39,2953
28/1/2025,C52.SG,COMFORTDELGRO.SG,1.39,1.39,1.38,1.38,2821
31/1/2025,C52.SG,COMFORTDELGRO.SG,1.38,1.42,1.38,1.41,7876
3/2/2025,C52.SG,COMFORTDELGRO.SG,1.41,1.41,1.39,1.4,6520
4/2/2025,C52.SG,COMFORTDELGRO.SG,1.4,1.4,1.39,1.39,1686
5/2/2025,C52.SG,COMFORTDELGRO.SG,1.4,1.41,1.39,1.4,3616
6/2/2025,C52.SG,COMFORTDELGRO.SG,1.39,1.41,1.37,1.38,9599
7/2/2025,C52.SG,COMFORTDELGRO.SG,1.38,1.38,1.34,1.36,18377
10/2/2025,C52.SG,COMFORTDELGRO.SG,1.36,1.37,1.35,1.36,9045
11/2/2025,C52.SG,COMFORTDELGRO.SG,1.36,1.38,1.36,1.38,3216
12/2/2025,C52.SG,COMFORTDELGRO.SG,1.38,1.39,1.37,1.39,4353
13/2/2025,C52.SG,COMFORTDELGRO.SG,1.38,1.39,1.35,1.36,6776
14/2/2025,C52.SG,COMFORTDELGRO.SG,1.36,1.39,1.36,1.38,4959
17/2/2025,C52.SG,COMFORTDELGRO.SG,1.36,1.37,1.34,1.35,12054
18/2/2025,C52.SG,COMFORTDELGRO.SG,1.35,1.37,1.35,1.36,8202
19/2/2025,C52.SG,COMFORTDELGRO.SG,1.37,1.38,1.36,1.37,7181
20/2/2025,C52.SG,COMFORTDELGRO.SG,1.37,1.38,1.36,1.38,7036
21/2/2025,C52.SG,COMFORTDELGRO.SG,1.38,1.38,1.35,1.36,9338
24/2/2025,C52.SG,COMFORTDELGRO.SG,1.36,1.37,1.35,1.36,7143
25/2/2025,C52.SG,COMFORTDELGRO.SG,1.36,1.38,1.36,1.37,3686
26/2/2025,C52.SG,COMFORTDELGRO.SG,1.38,1.4,1.37,1.39,18956
27/2/2025,C52.SG,COMFORTDELGRO.SG,1.4,1.42,1.4,1.41,12434
28/2/2025,C52.SG,COMFORTDELGRO.SG,1.42,1.42,1.37,1.39,18558
3/3/2025,C52.SG,COMFORTDELGRO.SG,1.39,1.43,1.38,1.42,24275
4/3/2025,C52.SG,COMFORTDELGRO.SG,1.42,1.44,1.41,1.44,20325
5/3/2025,C52.SG,COMFORTDELGRO.SG,1.44,1.45,1.42,1.42,9866
6/3/2025,C52.SG,COMFORTDELGRO.SG,1.43,1.47,1.42,1.45,16726
7/3/2025,C52.SG,COMFORTDELGRO.SG,1.45,1.46,1.44,1.46,5403
10/3/2025,C52.SG,COMFORTDELGRO.SG,1.46,1.46,1.43,1.45,6323
11/3/2025,C52.SG,COMFORTDELGRO.SG,1.43,1.45,1.42,1.44,9818
12/3/2025,C52.SG,COMFORTDELGRO.SG,1.43,1.43,1.41,1.41,10501
13/3/2025,C52.SG,COMFORTDELGRO.SG,1.42,1.44,1.42,1.42,5214
14/3/2025,C52.SG,COMFORTDELGRO.SG,1.42,1.44,1.41,1.43,5830
17/3/2025,C52.SG,COMFORTDELGRO.SG,1.43,1.43,1.41,1.41,7164
18/3/2025,C52.SG,COMFORTDELGRO.SG,1.42,1.44,1.41,1.43,12363
19/3/2025,C52.SG,COMFORTDELGRO.SG,1.43,1.45,1.42,1.43,4117
20/3/2025,C52.SG,COMFORTDELGRO.SG,1.44,1.45,1.43,1.45,3314
21/3/2025,C52.SG,COMFORTDELGRO.SG,1.44,1.46,1.43,1.45,21540
24/3/2025,C52.SG,COMFORTDELGRO.SG,1.46,1.47,1.45,1.46,4166
25/3/2025,C52.SG,COMFORTDELGRO.SG,1.47,1.47,1.46,1.47,4609
26/3/2025,C52.SG,COMFORTDELGRO.SG,1.47,1.47,1.46,1.47,3586
27/3/2025,C52.SG,COMFORTDELGRO.SG,1.46,1.47,1.45,1.47,3573
28/3/2025,C52.SG,COMFORTDELGRO.SG,1.47,1.48,1.44,1.46,11738
1/4/2025,C52.SG,COMFORTDELGRO.SG,1.45,1.47,1.45,1.47,6175
2/4/2025,C52.SG,COMFORTDELGRO.SG,1.48,1.48,1.46,1.48,12605
3/4/2025,C52.SG,COMFORTDELGRO.SG,1.47,1.49,1.47,1.48,6154
4/4/2025,C52.SG,COMFORTDELGRO.SG,1.47,1.48,1.45,1.47,16862
7/4/2025,C52.SG,COMFORTDELGRO.SG,1.44,1.44,1.37,1.39,16946
8/4/2025,C52.SG,COMFORTDELGRO.SG,1.4,1.41,1.38,1.39,9292
9/4/2025,C52.SG,COMFORTDELGRO.SG,1.39,1.39,1.36,1.39,14986
10/4/2025,C52.SG,COMFORTDELGRO.SG,1.41,1.43,1.38,1.38,19006
11/4/2025,C52.SG,COMFORTDELGRO.SG,1.38,1.39,1.37,1.39,5318
14/4/2025,C52.SG,COMFORTDELGRO.SG,1.4,1.42,1.4,1.41,6628
15/4/2025,C52.SG,COMFORTDELGRO.SG,1.42,1.45,1.42,1.45,11040
16/4/2025,C52.SG,COMFORTDELGRO.SG,1.44,1.48,1.44,1.47,11214
17/4/2025,C52.SG,COMFORTDELGRO.SG,1.47,1.48,1.46,1.48,6502
21/4/2025,C52.SG,COMFORTDELGRO.SG,1.47,1.48,1.47,1.47,1761
22/4/2025,C52.SG,COMFORTDELGRO.SG,1.47,1.5,1.47,1.49,11112
23/4/2025,C52.SG,COMFORTDELGRO.SG,1.5,1.53,1.49,1.52,20845
24/4/2025,C52.SG,COMFORTDELGRO.SG,1.52,1.55,1.52,1.54,13742
25/4/2025,C52.SG,COMFORTDELGRO.SG,1.55,1.55,1.52,1.54,15629
28/4/2025,C52.SG,COMFORTDELGRO.SG,1.53,1.54,1.52,1.53,13258
29/4/2025,C52.SG,COMFORTDELGRO.SG,1.53,1.55,1.52,1.54,14087
30/4/2025,C52.SG,COMFORTDELGRO.SG,1.54,1.54,1.52,1.53,14554
2/5/2025,C52.SG,COMFORTDELGRO.SG,1.53,1.54,1.51,1.54,10240
5/5/2025,C52.SG,COMFORTDELGRO.SG,1.49,1.5,1.48,1.49,4978
6/5/2025,C52.SG,COMFORTDELGRO.SG,1.5,1.53,1.5,1.52,11571
7/5/2025,C52.SG,COMFORTDELGRO.SG,1.51,1.53,1.5,1.53,13281
8/5/2025,C52.SG,COMFORTDELGRO.SG,1.52,1.53,1.51,1.53,8203
9/5/2025,C52.SG,COMFORTDELGRO.SG,1.53,1.53,1.51,1.52,5491
13/5/2025,C52.SG,COMFORTDELGRO.SG,1.52,1.53,1.51,1.53,6366
14/5/2025,C52.SG,COMFORTDELGRO.SG,1.53,1.54,1.51,1.52,7361
15/5/2025,C52.SG,COMFORTDELGRO.SG,1.52,1.52,1.46,1.49,19573
16/5/2025,C52.SG,COMFORTDELGRO.SG,1.49,1.51,1.48,1.5,3287
19/5/2025,C52.SG,COMFORTDELGRO.SG,1.5,1.52,1.5,1.5,6016
20/5/2025,C52.SG,COMFORTDELGRO.SG,1.51,1.51,1.48,1.49,8825
21/5/2025,C52.SG,COMFORTDELGRO.SG,1.49,1.5,1.48,1.48,5690
22/5/2025,C52.SG,COMFORTDELGRO.SG,1.48,1.48,1.46,1.47,7014
23/5/2025,C52.SG,COMFORTDELGRO.SG,1.47,1.48,1.46,1.46,6956
26/5/2025,C52.SG,COMFORTDELGRO.SG,1.46,1.47,1.45,1.46,7057
27/5/2025,C52.SG,COMFORTDELGRO.SG,1.46,1.46,1.44,1.45,15796
28/5/2025,C52.SG,COMFORTDELGRO.SG,1.45,1.45,1.42,1.42,10484
29/5/2025,C52.SG,COMFORTDELGRO.SG,1.43,1.44,1.4,1.41,13324
