Date,Code,Shortname,Open,High,Low,Close,Vol
2/1/2025,CLN.SG,APAC REALTY.SG,0.39,0.39,0.39,0.39,32
3/1/2025,CLN.SG,APAC REALTY.SG,0.39,0.395,0.385,0.39,106
6/1/2025,CLN.SG,APAC REALTY.SG,0.39,0.395,0.385,0.385,38
7/1/2025,CLN.SG,APAC REALTY.SG,0.4,0.4,0.395,0.395,476
8/1/2025,CLN.SG,APAC REALTY.SG,0.4,0.415,0.4,0.41,1308
9/1/2025,CLN.SG,APAC REALTY.SG,0.415,0.415,0.4,0.405,36
10/1/2025,CLN.SG,APAC REALTY.SG,0.405,0.405,0.4,0.405,75
13/1/2025,CLN.SG,APAC REALTY.SG,0.405,0.405,0.395,0.395,248
14/1/2025,CLN.SG,APAC REALTY.SG,0.4,0.415,0.395,0.4,386
15/1/2025,CLN.SG,APAC REALTY.SG,0.4,0.41,0.4,0.41,11
16/1/2025,CLN.SG,APAC REALTY.SG,0.41,0.41,0.405,0.405,69
17/1/2025,CLN.SG,APAC REALTY.SG,0.405,0.425,0.405,0.42,830
20/1/2025,CLN.SG,APAC REALTY.SG,0.43,0.44,0.425,0.435,931
21/1/2025,CLN.SG,APAC REALTY.SG,0.435,0.45,0.435,0.445,1053
22/1/2025,CLN.SG,APAC REALTY.SG,0.45,0.46,0.45,0.455,436
23/1/2025,CLN.SG,APAC REALTY.SG,0.455,0.46,0.435,0.44,397
24/1/2025,CLN.SG,APAC REALTY.SG,0.44,0.45,0.44,0.445,184
27/1/2025,CLN.SG,APAC REALTY.SG,0.445,0.445,0.435,0.435,73
28/1/2025,CLN.SG,APAC REALTY.SG,0.445,0.45,0.445,0.445,130
31/1/2025,CLN.SG,APAC REALTY.SG,0.455,0.47,0.45,0.455,686
3/2/2025,CLN.SG,APAC REALTY.SG,0.445,0.45,0.44,0.44,181
4/2/2025,CLN.SG,APAC REALTY.SG,0.445,0.445,0.435,0.435,172
5/2/2025,CLN.SG,APAC REALTY.SG,0.44,0.445,0.44,0.44,158
6/2/2025,CLN.SG,APAC REALTY.SG,0.44,0.445,0.44,0.44,192
7/2/2025,CLN.SG,APAC REALTY.SG,0.44,0.445,0.43,0.435,200
10/2/2025,CLN.SG,APAC REALTY.SG,0.435,0.45,0.435,0.445,580
11/2/2025,CLN.SG,APAC REALTY.SG,0.45,0.46,0.45,0.455,585
12/2/2025,CLN.SG,APAC REALTY.SG,0.455,0.455,0.45,0.455,88
13/2/2025,CLN.SG,APAC REALTY.SG,0.45,0.45,0.44,0.44,153
14/2/2025,CLN.SG,APAC REALTY.SG,0.445,0.45,0.445,0.45,81
17/2/2025,CLN.SG,APAC REALTY.SG,0.445,0.45,0.445,0.45,53
18/2/2025,CLN.SG,APAC REALTY.SG,0.45,0.46,0.45,0.455,169
19/2/2025,CLN.SG,APAC REALTY.SG,0.46,0.46,0.45,0.455,348
20/2/2025,CLN.SG,APAC REALTY.SG,0.455,0.455,0.44,0.44,175
21/2/2025,CLN.SG,APAC REALTY.SG,0.44,0.45,0.44,0.45,94
24/2/2025,CLN.SG,APAC REALTY.SG,0.45,0.455,0.445,0.445,171
25/2/2025,CLN.SG,APAC REALTY.SG,0.445,0.445,0.44,0.445,79
26/2/2025,CLN.SG,APAC REALTY.SG,0.445,0.45,0.445,0.45,30
27/2/2025,CLN.SG,APAC REALTY.SG,0.44,0.445,0.43,0.435,216
28/2/2025,CLN.SG,APAC REALTY.SG,0.42,0.43,0.41,0.415,659
3/3/2025,CLN.SG,APAC REALTY.SG,0.415,0.42,0.415,0.415,63
4/3/2025,CLN.SG,APAC REALTY.SG,0.41,0.415,0.4,0.415,105
5/3/2025,CLN.SG,APAC REALTY.SG,0.405,0.415,0.405,0.405,23
6/3/2025,CLN.SG,APAC REALTY.SG,0.405,0.42,0.405,0.42,241
7/3/2025,CLN.SG,APAC REALTY.SG,0.41,0.415,0.41,0.41,11
10/3/2025,CLN.SG,APAC REALTY.SG,0.415,0.435,0.415,0.43,342
11/3/2025,CLN.SG,APAC REALTY.SG,0.42,0.42,0.41,0.415,142
12/3/2025,CLN.SG,APAC REALTY.SG,0.42,0.42,0.42,0.42,98
13/3/2025,CLN.SG,APAC REALTY.SG,0.42,0.425,0.42,0.42,28
14/3/2025,CLN.SG,APAC REALTY.SG,0.42,0.42,0.42,0.42,1
17/3/2025,CLN.SG,APAC REALTY.SG,0.42,0.425,0.415,0.415,190
18/3/2025,CLN.SG,APAC REALTY.SG,0.42,0.425,0.42,0.425,39
