Date,Code,Shortname,Open,High,Low,Close,Vol
2/1/2025,E28.SG,FRENCKEN.SG,1.14,1.16,1.14,1.16,2387
3/1/2025,E28.SG,FRENCKEN.SG,1.15,1.18,1.15,1.18,3228
6/1/2025,E28.SG,FRENCKEN.SG,1.19,1.2,1.16,1.18,3827
7/1/2025,E28.SG,FRENCKEN.SG,1.19,1.19,1.16,1.19,1686
8/1/2025,E28.SG,FRENCKEN.SG,1.18,1.18,1.16,1.17,2095
9/1/2025,E28.SG,FRENCKEN.SG,1.18,1.18,1.14,1.16,2210
10/1/2025,E28.SG,FRENCKEN.SG,1.15,1.15,1.11,1.12,3574
13/1/2025,E28.SG,FRENCKEN.SG,1.12,1.12,1.1,1.11,1904
14/1/2025,E28.SG,FRENCKEN.SG,1.11,1.12,1.1,1.11,599
15/1/2025,E28.SG,FRENCKEN.SG,1.12,1.14,1.11,1.11,1646
16/1/2025,E28.SG,FRENCKEN.SG,1.12,1.14,1.1,1.11,2646
17/1/2025,E28.SG,FRENCKEN.SG,1.1,1.12,1.1,1.12,751
20/1/2025,E28.SG,FRENCKEN.SG,1.11,1.13,1.11,1.11,876
21/1/2025,E28.SG,FRENCKEN.SG,1.11,1.13,1.11,1.12,1649
22/1/2025,E28.SG,FRENCKEN.SG,1.13,1.16,1.12,1.12,4033
23/1/2025,E28.SG,FRENCKEN.SG,1.13,1.13,1.11,1.11,724
24/1/2025,E28.SG,FRENCKEN.SG,1.12,1.13,1.1,1.13,2303
27/1/2025,E28.SG,FRENCKEN.SG,1.12,1.13,1.1,1.1,1407
28/1/2025,E28.SG,FRENCKEN.SG,1.1,1.11,1.09,1.09,787
31/1/2025,E28.SG,FRENCKEN.SG,1.1,1.14,1.1,1.13,3413
3/2/2025,E28.SG,FRENCKEN.SG,1.12,1.12,1.1,1.1,1318
4/2/2025,E28.SG,FRENCKEN.SG,1.12,1.12,1.1,1.1,1010
5/2/2025,E28.SG,FRENCKEN.SG,1.11,1.11,1.1,1.1,484
6/2/2025,E28.SG,FRENCKEN.SG,1.11,1.13,1.1,1.12,1434
7/2/2025,E28.SG,FRENCKEN.SG,1.12,1.13,1.11,1.12,1021
10/2/2025,E28.SG,FRENCKEN.SG,1.13,1.13,1.1,1.11,1112
11/2/2025,E28.SG,FRENCKEN.SG,1.12,1.12,1.09,1.1,2006
12/2/2025,E28.SG,FRENCKEN.SG,1.1,1.12,1.09,1.12,1340
13/2/2025,E28.SG,FRENCKEN.SG,1.12,1.13,1.11,1.12,1312
14/2/2025,E28.SG,FRENCKEN.SG,1.13,1.13,1.1,1.1,1003
17/2/2025,E28.SG,FRENCKEN.SG,1.11,1.13,1.11,1.12,1388
18/2/2025,E28.SG,FRENCKEN.SG,1.12,1.15,1.11,1.14,4078
