Date,Code,Shortname,Open,High,Low,Close,Vol
2/1/2025,E3B.SG,WEE HUR.SG,0.42,0.43,0.42,0.42,6052
3/1/2025,E3B.SG,WEE HUR.SG,0.425,0.46,0.425,0.455,16531
6/1/2025,E3B.SG,WEE HUR.SG,0.465,0.47,0.44,0.445,14254
7/1/2025,E3B.SG,WEE HUR.SG,0.445,0.455,0.44,0.45,5478
8/1/2025,E3B.SG,WEE HUR.SG,0.46,0.475,0.45,0.47,18798
9/1/2025,E3B.SG,WEE HUR.SG,0.48,0.48,0.46,0.465,13823
10/1/2025,E3B.SG,WEE HUR.SG,0.47,0.47,0.45,0.45,6608
13/1/2025,E3B.SG,WEE HUR.SG,0.445,0.455,0.44,0.455,6095
14/1/2025,E3B.SG,WEE HUR.SG,0.455,0.455,0.45,0.455,3166
15/1/2025,E3B.SG,WEE HUR.SG,0.45,0.45,0.44,0.44,5630
16/1/2025,E3B.SG,WEE HUR.SG,0.445,0.455,0.44,0.45,8132
17/1/2025,E3B.SG,WEE HUR.SG,0.45,0.47,0.45,0.47,11512
20/1/2025,E3B.SG,WEE HUR.SG,0.475,0.475,0.46,0.47,5946
21/1/2025,E3B.SG,WEE HUR.SG,0.47,0.49,0.465,0.485,12769
22/1/2025,E3B.SG,WEE HUR.SG,0.485,0.49,0.475,0.485,4924
23/1/2025,E3B.SG,WEE HUR.SG,0.485,0.495,0.475,0.475,6675
24/1/2025,E3B.SG,WEE HUR.SG,0.48,0.48,0.47,0.48,3615
27/1/2025,E3B.SG,WEE HUR.SG,0.475,0.48,0.47,0.47,2290
28/1/2025,E3B.SG,WEE HUR.SG,0.47,0.475,0.47,0.475,1893
31/1/2025,E3B.SG,WEE HUR.SG,0.475,0.49,0.475,0.49,7286
3/2/2025,E3B.SG,WEE HUR.SG,0.48,0.485,0.48,0.485,1564
4/2/2025,E3B.SG,WEE HUR.SG,0.485,0.495,0.485,0.485,3314
5/2/2025,E3B.SG,WEE HUR.SG,0.485,0.49,0.475,0.49,4124
6/2/2025,E3B.SG,WEE HUR.SG,0.49,0.5,0.485,0.495,7461
7/2/2025,E3B.SG,WEE HUR.SG,0.5,0.51,0.5,0.51,7713
10/2/2025,E3B.SG,WEE HUR.SG,0.51,0.515,0.505,0.515,5266
11/2/2025,E3B.SG,WEE HUR.SG,0.515,0.54,0.505,0.535,11324
12/2/2025,E3B.SG,WEE HUR.SG,0.54,0.555,0.535,0.555,10005
13/2/2025,E3B.SG,WEE HUR.SG,0.55,0.55,0.52,0.525,10357
14/2/2025,E3B.SG,WEE HUR.SG,0.525,0.535,0.525,0.53,3045
17/2/2025,E3B.SG,WEE HUR.SG,0.535,0.54,0.525,0.53,2881
18/2/2025,E3B.SG,WEE HUR.SG,0.53,0.54,0.525,0.54,5287
19/2/2025,E3B.SG,WEE HUR.SG,0.545,0.55,0.535,0.545,8242
20/2/2025,E3B.SG,WEE HUR.SG,0.545,0.555,0.54,0.54,5916
21/2/2025,E3B.SG,WEE HUR.SG,0.54,0.54,0.53,0.54,5031
24/2/2025,E3B.SG,WEE HUR.SG,0.535,0.535,0.525,0.525,3215
25/2/2025,E3B.SG,WEE HUR.SG,0.525,0.53,0.515,0.52,5123
26/2/2025,E3B.SG,WEE HUR.SG,0.52,0.525,0.515,0.515,4414
27/2/2025,E3B.SG,WEE HUR.SG,0.515,0.515,0.48,0.5,8016
28/2/2025,E3B.SG,WEE HUR.SG,0.5,0.505,0.465,0.475,7488
3/3/2025,E3B.SG,WEE HUR.SG,0.45,0.455,0.42,0.42,18604
4/3/2025,E3B.SG,WEE HUR.SG,0.42,0.42,0.39,0.41,15131
5/3/2025,E3B.SG,WEE HUR.SG,0.42,0.435,0.405,0.425,11563
6/3/2025,E3B.SG,WEE HUR.SG,0.425,0.45,0.42,0.445,11999
7/3/2025,E3B.SG,WEE HUR.SG,0.44,0.445,0.43,0.43,5048
10/3/2025,E3B.SG,WEE HUR.SG,0.43,0.45,0.425,0.445,6216
11/3/2025,E3B.SG,WEE HUR.SG,0.44,0.46,0.435,0.455,6509
12/3/2025,E3B.SG,WEE HUR.SG,0.45,0.46,0.44,0.445,4411
13/3/2025,E3B.SG,WEE HUR.SG,0.445,0.455,0.44,0.45,2942
14/3/2025,E3B.SG,WEE HUR.SG,0.45,0.465,0.45,0.46,3153
17/3/2025,E3B.SG,WEE HUR.SG,0.465,0.48,0.46,0.475,4583
18/3/2025,E3B.SG,WEE HUR.SG,0.48,0.49,0.475,0.48,4638
19/3/2025,E3B.SG,WEE HUR.SG,0.485,0.495,0.48,0.49,4955
20/3/2025,E3B.SG,WEE HUR.SG,0.495,0.515,0.495,0.51,8747
21/3/2025,E3B.SG,WEE HUR.SG,0.505,0.505,0.495,0.505,2568
24/3/2025,E3B.SG,WEE HUR.SG,0.5,0.5,0.49,0.495,2419
25/3/2025,E3B.SG,WEE HUR.SG,0.49,0.495,0.48,0.49,3317
26/3/2025,E3B.SG,WEE HUR.SG,0.49,0.515,0.49,0.515,10640
27/3/2025,E3B.SG,WEE HUR.SG,0.51,0.52,0.505,0.515,7466
28/3/2025,E3B.SG,WEE HUR.SG,0.515,0.52,0.505,0.52,5034
1/4/2025,E3B.SG,WEE HUR.SG,0.51,0.515,0.495,0.515,9580
2/4/2025,E3B.SG,WEE HUR.SG,0.525,0.53,0.5,0.5,23875
3/4/2025,E3B.SG,WEE HUR.SG,0.5,0.505,0.495,0.5,3039
4/4/2025,E3B.SG,WEE HUR.SG,0.495,0.5,0.47,0.48,11590
7/4/2025,E3B.SG,WEE HUR.SG,0.45,0.45,0.42,0.43,15680
8/4/2025,E3B.SG,WEE HUR.SG,0.44,0.45,0.43,0.44,5687
9/4/2025,E3B.SG,WEE HUR.SG,0.435,0.435,0.42,0.425,5975
10/4/2025,E3B.SG,WEE HUR.SG,0.45,0.455,0.445,0.45,7430
11/4/2025,E3B.SG,WEE HUR.SG,0.445,0.47,0.435,0.465,8479
14/4/2025,E3B.SG,WEE HUR.SG,0.47,0.475,0.465,0.47,4493
15/4/2025,E3B.SG,WEE HUR.SG,0.47,0.495,0.465,0.495,5349
16/4/2025,E3B.SG,WEE HUR.SG,0.49,0.52,0.49,0.505,12543
17/4/2025,E3B.SG,WEE HUR.SG,0.505,0.52,0.5,0.51,6672
21/4/2025,E3B.SG,WEE HUR.SG,0.51,0.52,0.505,0.515,4206
22/4/2025,E3B.SG,WEE HUR.SG,0.515,0.52,0.505,0.505,4692
23/4/2025,E3B.SG,WEE HUR.SG,0.51,0.525,0.51,0.52,8893
24/4/2025,E3B.SG,WEE HUR.SG,0.525,0.54,0.52,0.535,11793
25/4/2025,E3B.SG,WEE HUR.SG,0.54,0.55,0.535,0.545,6686
28/4/2025,E3B.SG,WEE HUR.SG,0.545,0.545,0.525,0.53,3065
29/4/2025,E3B.SG,WEE HUR.SG,0.53,0.53,0.52,0.52,4855
30/4/2025,E3B.SG,WEE HUR.SG,0.53,0.53,0.52,0.525,5022
2/5/2025,E3B.SG,WEE HUR.SG,0.525,0.55,0.52,0.545,16272
5/5/2025,E3B.SG,WEE HUR.SG,0.55,0.56,0.525,0.53,17172
6/5/2025,E3B.SG,WEE HUR.SG,0.53,0.535,0.505,0.515,18430
7/5/2025,E3B.SG,WEE HUR.SG,0.515,0.525,0.51,0.515,7695
8/5/2025,E3B.SG,WEE HUR.SG,0.44,0.45,0.435,0.44,5267
9/5/2025,E3B.SG,WEE HUR.SG,0.44,0.445,0.435,0.435,3575
13/5/2025,E3B.SG,WEE HUR.SG,0.445,0.45,0.44,0.445,5225
14/5/2025,E3B.SG,WEE HUR.SG,0.445,0.445,0.435,0.44,3536
15/5/2025,E3B.SG,WEE HUR.SG,0.44,0.44,0.425,0.435,4455
16/5/2025,E3B.SG,WEE HUR.SG,0.435,0.44,0.425,0.43,2877
19/5/2025,E3B.SG,WEE HUR.SG,0.43,0.435,0.42,0.42,2594
20/5/2025,E3B.SG,WEE HUR.SG,0.43,0.44,0.425,0.425,5048
21/5/2025,E3B.SG,WEE HUR.SG,0.43,0.43,0.415,0.42,2578
22/5/2025,E3B.SG,WEE HUR.SG,0.415,0.42,0.41,0.42,2540
23/5/2025,E3B.SG,WEE HUR.SG,0.42,0.42,0.41,0.41,1124
26/5/2025,E3B.SG,WEE HUR.SG,0.41,0.415,0.4,0.405,2293
