Date,Code,Shortname,Open,High,Low,Close,Vol
2/1/2025,EB5.SG,FIRST RESOURCES.SG,1.49,1.49,1.46,1.46,1084
3/1/2025,EB5.SG,FIRST RESOURCES.SG,1.47,1.48,1.46,1.47,1025
6/1/2025,EB5.SG,FIRST RESOURCES.SG,1.47,1.48,1.45,1.47,2411
7/1/2025,EB5.SG,FIRST RESOURCES.SG,1.47,1.47,1.43,1.43,1730
8/1/2025,EB5.SG,FIRST RESOURCES.SG,1.43,1.44,1.42,1.44,1228
9/1/2025,EB5.SG,FIRST RESOURCES.SG,1.43,1.43,1.39,1.4,2044
10/1/2025,EB5.SG,FIRST RESOURCES.SG,1.4,1.43,1.4,1.42,850
13/1/2025,EB5.SG,FIRST RESOURCES.SG,1.43,1.43,1.41,1.43,878
14/1/2025,EB5.SG,FIRST RESOURCES.SG,1.43,1.46,1.42,1.46,1840
15/1/2025,EB5.SG,FIRST RESOURCES.SG,1.45,1.48,1.43,1.44,1721
16/1/2025,EB5.SG,FIRST RESOURCES.SG,1.45,1.45,1.44,1.44,938
17/1/2025,EB5.SG,FIRST RESOURCES.SG,1.44,1.47,1.44,1.46,914
20/1/2025,EB5.SG,FIRST RESOURCES.SG,1.47,1.47,1.45,1.46,339
21/1/2025,EB5.SG,FIRST RESOURCES.SG,1.46,1.47,1.45,1.46,419
22/1/2025,EB5.SG,FIRST RESOURCES.SG,1.46,1.46,1.43,1.44,1226
23/1/2025,EB5.SG,FIRST RESOURCES.SG,1.44,1.46,1.43,1.43,1021
24/1/2025,EB5.SG,FIRST RESOURCES.SG,1.44,1.47,1.44,1.47,604
27/1/2025,EB5.SG,FIRST RESOURCES.SG,1.46,1.46,1.42,1.44,1098
28/1/2025,EB5.SG,FIRST RESOURCES.SG,1.44,1.45,1.43,1.44,264
31/1/2025,EB5.SG,FIRST RESOURCES.SG,1.44,1.45,1.43,1.45,1038
3/2/2025,EB5.SG,FIRST RESOURCES.SG,1.44,1.45,1.43,1.44,1041
4/2/2025,EB5.SG,FIRST RESOURCES.SG,1.45,1.47,1.43,1.45,1980
5/2/2025,EB5.SG,FIRST RESOURCES.SG,1.46,1.46,1.42,1.44,1095
6/2/2025,EB5.SG,FIRST RESOURCES.SG,1.44,1.45,1.43,1.45,324
7/2/2025,EB5.SG,FIRST RESOURCES.SG,1.44,1.46,1.44,1.46,544
10/2/2025,EB5.SG,FIRST RESOURCES.SG,1.45,1.45,1.44,1.45,341
11/2/2025,EB5.SG,FIRST RESOURCES.SG,1.45,1.45,1.43,1.44,661
12/2/2025,EB5.SG,FIRST RESOURCES.SG,1.44,1.44,1.4,1.44,2794
13/2/2025,EB5.SG,FIRST RESOURCES.SG,1.43,1.45,1.43,1.45,885
14/2/2025,EB5.SG,FIRST RESOURCES.SG,1.45,1.46,1.44,1.46,809
17/2/2025,EB5.SG,FIRST RESOURCES.SG,1.46,1.46,1.45,1.45,300
18/2/2025,EB5.SG,FIRST RESOURCES.SG,1.45,1.46,1.44,1.45,742
19/2/2025,EB5.SG,FIRST RESOURCES.SG,1.44,1.46,1.4,1.43,2821
20/2/2025,EB5.SG,FIRST RESOURCES.SG,1.43,1.44,1.41,1.43,1769
21/2/2025,EB5.SG,FIRST RESOURCES.SG,1.41,1.42,1.41,1.41,460
24/2/2025,EB5.SG,FIRST RESOURCES.SG,1.41,1.43,1.4,1.42,738
25/2/2025,EB5.SG,FIRST RESOURCES.SG,1.42,1.43,1.41,1.43,523
26/2/2025,EB5.SG,FIRST RESOURCES.SG,1.42,1.44,1.42,1.44,828
27/2/2025,EB5.SG,FIRST RESOURCES.SG,1.44,1.44,1.41,1.43,1024
28/2/2025,EB5.SG,FIRST RESOURCES.SG,1.46,1.48,1.44,1.46,2511
3/3/2025,EB5.SG,FIRST RESOURCES.SG,1.48,1.6,1.48,1.59,7301
4/3/2025,EB5.SG,FIRST RESOURCES.SG,1.57,1.6,1.57,1.59,3006
5/3/2025,EB5.SG,FIRST RESOURCES.SG,1.59,1.64,1.58,1.62,4876
6/3/2025,EB5.SG,FIRST RESOURCES.SG,1.61,1.64,1.61,1.64,2245
7/3/2025,EB5.SG,FIRST RESOURCES.SG,1.62,1.64,1.62,1.64,1547
10/3/2025,EB5.SG,FIRST RESOURCES.SG,1.64,1.68,1.62,1.64,5246
