Date,Code,Shortname,Open,High,Low,Close,Vol
2/1/2025,ER0.SG,KSH.SG,0.21,0.21,0.21,0.21,200
3/1/2025,ER0.SG,KSH.SG,0.205,0.21,0.205,0.21,80
6/1/2025,ER0.SG,KSH.SG,0.21,0.215,0.21,0.215,475
7/1/2025,ER0.SG,KSH.SG,0.215,0.225,0.215,0.22,1629
8/1/2025,ER0.SG,KSH.SG,0.215,0.23,0.215,0.23,2569
9/1/2025,ER0.SG,KSH.SG,0.23,0.235,0.225,0.23,745
10/1/2025,ER0.SG,KSH.SG,0.23,0.23,0.225,0.225,619
13/1/2025,ER0.SG,KSH.SG,0.225,0.225,0.225,0.225,110
14/1/2025,ER0.SG,KSH.SG,0.225,0.23,0.225,0.23,774
15/1/2025,ER0.SG,KSH.SG,0.235,0.245,0.235,0.24,777
16/1/2025,ER0.SG,KSH.SG,0.24,0.245,0.24,0.24,929
17/1/2025,ER0.SG,KSH.SG,0.24,0.24,0.235,0.235,580
20/1/2025,ER0.SG,KSH.SG,0.235,0.245,0.235,0.235,249
21/1/2025,ER0.SG,KSH.SG,0.24,0.24,0.235,0.235,72
22/1/2025,ER0.SG,KSH.SG,0.24,0.24,0.235,0.235,78
23/1/2025,ER0.SG,KSH.SG,0.25,0.25,0.235,0.235,24
24/1/2025,ER0.SG,KSH.SG,0.24,0.24,0.23,0.23,67
27/1/2025,ER0.SG,KSH.SG,0.235,0.24,0.22,0.23,344
28/1/2025,ER0.SG,KSH.SG,0.225,0.235,0.225,0.235,54
31/1/2025,ER0.SG,KSH.SG,0.235,0.235,0.23,0.23,66
4/2/2025,ER0.SG,KSH.SG,0.235,0.235,0.235,0.235,10
5/2/2025,ER0.SG,KSH.SG,0.23,0.24,0.225,0.23,90
6/2/2025,ER0.SG,KSH.SG,0.23,0.235,0.23,0.235,136
7/2/2025,ER0.SG,KSH.SG,0.235,0.235,0.235,0.235,17
10/2/2025,ER0.SG,KSH.SG,0.235,0.235,0.235,0.235,2
11/2/2025,ER0.SG,KSH.SG,0.235,0.235,0.23,0.23,18
13/2/2025,ER0.SG,KSH.SG,0.235,0.235,0.23,0.23,15
14/2/2025,ER0.SG,KSH.SG,0.23,0.235,0.23,0.235,27
17/2/2025,ER0.SG,KSH.SG,0.235,0.235,0.235,0.235,0
18/2/2025,ER0.SG,KSH.SG,0.235,0.235,0.235,0.235,0
19/2/2025,ER0.SG,KSH.SG,0.235,0.235,0.235,0.235,158
20/2/2025,ER0.SG,KSH.SG,0.23,0.23,0.225,0.23,35
21/2/2025,ER0.SG,KSH.SG,0.23,0.23,0.225,0.225,70
24/2/2025,ER0.SG,KSH.SG,0.225,0.23,0.225,0.23,82
25/2/2025,ER0.SG,KSH.SG,0.225,0.225,0.225,0.225,130
26/2/2025,ER0.SG,KSH.SG,0.225,0.225,0.225,0.225,126
27/2/2025,ER0.SG,KSH.SG,0.23,0.23,0.23,0.23,435
28/2/2025,ER0.SG,KSH.SG,0.23,0.23,0.23,0.23,191
3/3/2025,ER0.SG,KSH.SG,0.23,0.23,0.23,0.23,9
4/3/2025,ER0.SG,KSH.SG,0.23,0.23,0.225,0.225,510
5/3/2025,ER0.SG,KSH.SG,0.225,0.225,0.225,0.225,22
6/3/2025,ER0.SG,KSH.SG,0.225,0.23,0.225,0.23,101
11/3/2025,ER0.SG,KSH.SG,0.225,0.225,0.22,0.225,190
12/3/2025,ER0.SG,KSH.SG,0.22,0.22,0.22,0.22,152
13/3/2025,ER0.SG,KSH.SG,0.225,0.225,0.225,0.225,58
14/3/2025,ER0.SG,KSH.SG,0.225,0.225,0.225,0.225,10
17/3/2025,ER0.SG,KSH.SG,0.225,0.225,0.225,0.225,20
19/3/2025,ER0.SG,KSH.SG,0.22,0.22,0.22,0.22,35
20/3/2025,ER0.SG,KSH.SG,0.22,0.225,0.22,0.225,160
25/3/2025,ER0.SG,KSH.SG,0.225,0.225,0.22,0.22,71
26/3/2025,ER0.SG,KSH.SG,0.22,0.22,0.22,0.22,60
27/3/2025,ER0.SG,KSH.SG,0.22,0.22,0.215,0.215,330
28/3/2025,ER0.SG,KSH.SG,0.22,0.22,0.215,0.215,319
1/4/2025,ER0.SG,KSH.SG,0.22,0.22,0.215,0.215,69
2/4/2025,ER0.SG,KSH.SG,0.215,0.215,0.215,0.215,70
4/4/2025,ER0.SG,KSH.SG,0.2,0.215,0.2,0.215,8
7/4/2025,ER0.SG,KSH.SG,0.21,0.21,0.19,0.197,482
8/4/2025,ER0.SG,KSH.SG,0.2,0.2,0.2,0.2,18
9/4/2025,ER0.SG,KSH.SG,0.195,0.195,0.187,0.188,79
10/4/2025,ER0.SG,KSH.SG,0.195,0.195,0.195,0.195,10
14/4/2025,ER0.SG,KSH.SG,0.2,0.2,0.2,0.2,12
15/4/2025,ER0.SG,KSH.SG,0.2,0.2,0.2,0.2,0
16/4/2025,ER0.SG,KSH.SG,0.2,0.2,0.199,0.199,560
23/4/2025,ER0.SG,KSH.SG,0.2,0.215,0.2,0.215,22
24/4/2025,ER0.SG,KSH.SG,0.21,0.21,0.21,0.21,5
25/4/2025,ER0.SG,KSH.SG,0.21,0.21,0.21,0.21,51
