Date,Code,Shortname,Open,High,Low,Close,Vol
2/1/2025,F34.SG,WILMAR INTL.SG,3.1,3.1,3.07,3.08,3136
3/1/2025,F34.SG,WILMAR INTL.SG,3.09,3.1,3.08,3.1,1520
6/1/2025,F34.SG,WILMAR INTL.SG,3.12,3.12,3.09,3.1,2644
7/1/2025,F34.SG,WILMAR INTL.SG,3.1,3.11,3.07,3.1,3289
8/1/2025,F34.SG,WILMAR INTL.SG,3.1,3.11,3.05,3.05,4574
9/1/2025,F34.SG,WILMAR INTL.SG,3.06,3.07,3.04,3.04,2510
10/1/2025,F34.SG,WILMAR INTL.SG,3.03,3.04,3.02,3.03,3498
13/1/2025,F34.SG,WILMAR INTL.SG,3.04,3.04,3.01,3.01,2825
14/1/2025,F34.SG,WILMAR INTL.SG,3.01,3.07,3.01,3.06,4181
15/1/2025,F34.SG,WILMAR INTL.SG,3.08,3.09,3.04,3.04,3279
16/1/2025,F34.SG,WILMAR INTL.SG,3.07,3.08,3.05,3.07,2771
17/1/2025,F34.SG,WILMAR INTL.SG,3.05,3.09,3.04,3.08,3866
20/1/2025,F34.SG,WILMAR INTL.SG,3.08,3.09,3.06,3.06,1167
21/1/2025,F34.SG,WILMAR INTL.SG,3.08,3.09,3.05,3.08,4116
22/1/2025,F34.SG,WILMAR INTL.SG,3.1,3.1,3.06,3.06,3007
23/1/2025,F34.SG,WILMAR INTL.SG,3.07,3.08,3.06,3.07,2046
24/1/2025,F34.SG,WILMAR INTL.SG,3.1,3.1,3.05,3.07,2930
27/1/2025,F34.SG,WILMAR INTL.SG,3.07,3.08,3.05,3.05,2105
28/1/2025,F34.SG,WILMAR INTL.SG,3.06,3.08,3.04,3.04,2065
31/1/2025,F34.SG,WILMAR INTL.SG,3.05,3.13,3.05,3.12,7134
3/2/2025,F34.SG,WILMAR INTL.SG,3.14,3.19,3.12,3.16,8876
4/2/2025,F34.SG,WILMAR INTL.SG,3.2,3.2,3.16,3.18,4757
5/2/2025,F34.SG,WILMAR INTL.SG,3.2,3.25,3.2,3.25,8119
6/2/2025,F34.SG,WILMAR INTL.SG,3.25,3.28,3.2,3.26,11731
7/2/2025,F34.SG,WILMAR INTL.SG,3.28,3.28,3.18,3.25,5870
10/2/2025,F34.SG,WILMAR INTL.SG,3.25,3.25,3.21,3.24,3407
11/2/2025,F34.SG,WILMAR INTL.SG,3.23,3.28,3.23,3.27,6087
12/2/2025,F34.SG,WILMAR INTL.SG,3.28,3.3,3.26,3.3,2776
13/2/2025,F34.SG,WILMAR INTL.SG,3.28,3.3,3.27,3.29,4388
14/2/2025,F34.SG,WILMAR INTL.SG,3.27,3.29,3.25,3.27,3224
17/2/2025,F34.SG,WILMAR INTL.SG,3.27,3.28,3.26,3.27,1541
18/2/2025,F34.SG,WILMAR INTL.SG,3.27,3.29,3.25,3.26,3194
19/2/2025,F34.SG,WILMAR INTL.SG,3.23,3.24,3.16,3.18,8298
20/2/2025,F34.SG,WILMAR INTL.SG,3.15,3.23,3.13,3.21,8313
21/2/2025,F34.SG,WILMAR INTL.SG,3.14,3.18,3.06,3.08,18905
24/2/2025,F34.SG,WILMAR INTL.SG,3.09,3.24,3.09,3.18,9070
25/2/2025,F34.SG,WILMAR INTL.SG,3.17,3.21,3.13,3.13,5256
26/2/2025,F34.SG,WILMAR INTL.SG,3.12,3.18,3.12,3.16,3453
27/2/2025,F34.SG,WILMAR INTL.SG,3.15,3.18,3.13,3.18,4991
28/2/2025,F34.SG,WILMAR INTL.SG,3.16,3.22,3.16,3.21,11443
3/3/2025,F34.SG,WILMAR INTL.SG,3.24,3.27,3.22,3.24,7968
4/3/2025,F34.SG,WILMAR INTL.SG,3.25,3.27,3.21,3.23,6090
5/3/2025,F34.SG,WILMAR INTL.SG,3.23,3.24,3.21,3.22,4049
6/3/2025,F34.SG,WILMAR INTL.SG,3.24,3.29,3.23,3.29,7366
7/3/2025,F34.SG,WILMAR INTL.SG,3.27,3.3,3.25,3.27,4366
10/3/2025,F34.SG,WILMAR INTL.SG,3.29,3.32,3.25,3.25,3413
11/3/2025,F34.SG,WILMAR INTL.SG,3.25,3.27,3.21,3.22,9056
12/3/2025,F34.SG,WILMAR INTL.SG,3.21,3.27,3.2,3.25,4522
13/3/2025,F34.SG,WILMAR INTL.SG,3.25,3.28,3.22,3.24,3602
14/3/2025,F34.SG,WILMAR INTL.SG,3.25,3.3,3.25,3.3,5554
17/3/2025,F34.SG,WILMAR INTL.SG,3.31,3.35,3.29,3.29,5321
18/3/2025,F34.SG,WILMAR INTL.SG,3.34,3.34,3.27,3.29,3976
19/3/2025,F34.SG,WILMAR INTL.SG,3.27,3.3,3.25,3.28,3422
20/3/2025,F34.SG,WILMAR INTL.SG,3.29,3.32,3.28,3.29,3633
21/3/2025,F34.SG,WILMAR INTL.SG,3.3,3.31,3.26,3.29,5959
24/3/2025,F34.SG,WILMAR INTL.SG,3.32,3.34,3.27,3.31,4903
