Date,Code,Shortname,Open,High,Low,Close,Vol
4/1/2025,F9D.SG,BOUSTEAD.SG,1.07,1.12,1.06,1.1,805
7/1/2025,F9D.SG,BOUSTEAD.SG,1.43,1.45,1.42,1.43,788
8/1/2025,F9D.SG,BOUSTEAD.SG,1.55,1.61,1.55,1.58,644
9/1/2025,F9D.SG,BOUSTEAD.SG,1.46,1.49,1.46,1.47,264
10/1/2025,F9D.SG,BOUSTEAD.SG,1.65,1.68,1.65,1.66,340
13/1/2025,F9D.SG,BOUSTEAD.SG,1.03,1.03,1.01,1.01,84
14/1/2025,F9D.SG,BOUSTEAD.SG,1.02,1.03,1.02,1.03,11
15/1/2025,F9D.SG,BOUSTEAD.SG,1.02,1.03,1.02,1.03,26
16/1/2025,F9D.SG,BOUSTEAD.SG,1.02,1.02,1.02,1.02,61
17/1/2025,F9D.SG,BOUSTEAD.SG,1.03,1.03,1.02,1.02,29
20/1/2025,F9D.SG,BOUSTEAD.SG,1.02,1.03,1.02,1.03,35
21/1/2025,F9D.SG,BOUSTEAD.SG,1.02,1.02,1.02,1.02,37
22/1/2025,F9D.SG,BOUSTEAD.SG,1.03,1.03,1.01,1.01,123
23/1/2025,F9D.SG,BOUSTEAD.SG,1.02,1.02,1.01,1.01,21
24/1/2025,F9D.SG,BOUSTEAD.SG,1.01,1.02,1.01,1.01,66
27/1/2025,F9D.SG,BOUSTEAD.SG,1.01,1.02,1.01,1.01,78
28/1/2025,F9D.SG,BOUSTEAD.SG,1.01,1.02,1.01,1.01,48
31/1/2025,F9D.SG,BOUSTEAD.SG,1.01,1.03,1.0,1.01,43
1/2/2025,F9D.SG,BOUSTEAD.SG,1.03,1.03,1.02,1.03,46
4/2/2025,F9D.SG,BOUSTEAD.SG,1.1,1.11,1.1,1.1,268
5/2/2025,F9D.SG,BOUSTEAD.SG,1.04,1.04,1.03,1.04,306
6/2/2025,F9D.SG,BOUSTEAD.SG,1.12,1.13,1.11,1.12,298
7/2/2025,F9D.SG,BOUSTEAD.SG,1.43,1.45,1.43,1.44,591
9/2/2025,F9D.SG,BOUSTEAD.SG,1.47,1.52,1.47,1.49,553
10/2/2025,F9D.SG,BOUSTEAD.SG,1.67,1.74,1.67,1.71,955
13/2/2025,F9D.SG,BOUSTEAD.SG,1.01,1.02,1.01,1.02,40
14/2/2025,F9D.SG,BOUSTEAD.SG,1.02,1.03,1.01,1.02,203
17/2/2025,F9D.SG,BOUSTEAD.SG,1.02,1.03,1.01,1.01,76
18/2/2025,F9D.SG,BOUSTEAD.SG,1.01,1.02,1.01,1.02,140
19/2/2025,F9D.SG,BOUSTEAD.SG,1.01,1.02,1.0,1.01,141
20/2/2025,F9D.SG,BOUSTEAD.SG,1.01,1.02,1.0,1.0,489
21/2/2025,F9D.SG,BOUSTEAD.SG,1.0,1.03,1.0,1.03,334
24/2/2025,F9D.SG,BOUSTEAD.SG,1.04,1.04,1.02,1.03,277
25/2/2025,F9D.SG,BOUSTEAD.SG,1.03,1.03,1.02,1.02,91
26/2/2025,F9D.SG,BOUSTEAD.SG,1.02,1.03,1.01,1.02,121
27/2/2025,F9D.SG,BOUSTEAD.SG,1.01,1.03,1.01,1.03,228
28/2/2025,F9D.SG,BOUSTEAD.SG,1.02,1.03,1.01,1.02,294
1/3/2025,F9D.SG,BOUSTEAD.SG,1.02,1.03,1.02,1.02,55
2/3/2025,F9D.SG,BOUSTEAD.SG,1.01,1.03,1.01,1.01,719
3/3/2025,F9D.SG,BOUSTEAD.SG,1.04,1.04,1.01,1.01,121
4/3/2025,F9D.SG,BOUSTEAD.SG,1.09,1.1,1.08,1.08,396
6/3/2025,F9D.SG,BOUSTEAD.SG,1.13,1.14,1.12,1.14,263
7/3/2025,F9D.SG,BOUSTEAD.SG,1.45,1.46,1.43,1.44,794
9/3/2025,F9D.SG,BOUSTEAD.SG,1.6,1.72,1.59,1.68,4982
13/3/2025,F9D.SG,BOUSTEAD.SG,1.04,1.07,1.03,1.06,980
14/3/2025,F9D.SG,BOUSTEAD.SG,1.07,1.07,1.06,1.07,482
