Date,Code,Shortname,Open,High,Low,Close,Vol
2/1/2025,G13.SG,GENTING SING.SG,0.77,0.77,0.765,0.77,3205
3/1/2025,G13.SG,GENTING SING.SG,0.765,0.77,0.755,0.765,28894
6/1/2025,G13.SG,GENTING SING.SG,0.77,0.775,0.765,0.775,12408
7/1/2025,G13.SG,GENTING SING.SG,0.77,0.775,0.765,0.77,13383
8/1/2025,G13.SG,GENTING SING.SG,0.77,0.78,0.765,0.78,29952
9/1/2025,G13.SG,GENTING SING.SG,0.775,0.78,0.76,0.76,28712
10/1/2025,G13.SG,GENTING SING.SG,0.765,0.765,0.75,0.75,22700
13/1/2025,G13.SG,GENTING SING.SG,0.75,0.75,0.725,0.73,48248
14/1/2025,G13.SG,GENTING SING.SG,0.735,0.74,0.725,0.735,25811
15/1/2025,G13.SG,GENTING SING.SG,0.74,0.75,0.735,0.75,18871
16/1/2025,G13.SG,GENTING SING.SG,0.75,0.755,0.74,0.74,21823
17/1/2025,G13.SG,GENTING SING.SG,0.74,0.76,0.735,0.745,41805
20/1/2025,G13.SG,GENTING SING.SG,0.745,0.75,0.74,0.74,8139
21/1/2025,G13.SG,GENTING SING.SG,0.745,0.745,0.73,0.74,16070
22/1/2025,G13.SG,GENTING SING.SG,0.745,0.745,0.735,0.735,22924
23/1/2025,G13.SG,GENTING SING.SG,0.74,0.75,0.735,0.735,18689
24/1/2025,G13.SG,GENTING SING.SG,0.74,0.75,0.74,0.745,21196
27/1/2025,G13.SG,GENTING SING.SG,0.745,0.745,0.73,0.735,23536
28/1/2025,G13.SG,GENTING SING.SG,0.74,0.74,0.73,0.73,17364
31/1/2025,G13.SG,GENTING SING.SG,0.74,0.755,0.735,0.755,46649
3/2/2025,G13.SG,GENTING SING.SG,0.745,0.755,0.74,0.75,29180
4/2/2025,G13.SG,GENTING SING.SG,0.75,0.77,0.75,0.755,37686
5/2/2025,G13.SG,GENTING SING.SG,0.75,0.755,0.74,0.74,20114
6/2/2025,G13.SG,GENTING SING.SG,0.74,0.75,0.74,0.745,10079
7/2/2025,G13.SG,GENTING SING.SG,0.74,0.75,0.74,0.74,11548
10/2/2025,G13.SG,GENTING SING.SG,0.745,0.75,0.74,0.745,15293
11/2/2025,G13.SG,GENTING SING.SG,0.745,0.75,0.74,0.74,23234
12/2/2025,G13.SG,GENTING SING.SG,0.745,0.755,0.745,0.745,15955
13/2/2025,G13.SG,GENTING SING.SG,0.75,0.755,0.745,0.755,15642
14/2/2025,G13.SG,GENTING SING.SG,0.755,0.76,0.75,0.76,22761
17/2/2025,G13.SG,GENTING SING.SG,0.76,0.785,0.76,0.78,51640
18/2/2025,G13.SG,GENTING SING.SG,0.78,0.78,0.765,0.765,27977
19/2/2025,G13.SG,GENTING SING.SG,0.77,0.78,0.77,0.775,23412
20/2/2025,G13.SG,GENTING SING.SG,0.775,0.78,0.77,0.775,33746
21/2/2025,G13.SG,GENTING SING.SG,0.76,0.77,0.75,0.75,40674
24/2/2025,G13.SG,GENTING SING.SG,0.75,0.76,0.745,0.75,32713
25/2/2025,G13.SG,GENTING SING.SG,0.745,0.75,0.73,0.73,59247
26/2/2025,G13.SG,GENTING SING.SG,0.73,0.735,0.73,0.735,12900
27/2/2025,G13.SG,GENTING SING.SG,0.73,0.74,0.73,0.74,39695
28/2/2025,G13.SG,GENTING SING.SG,0.735,0.74,0.73,0.73,45437
3/3/2025,G13.SG,GENTING SING.SG,0.73,0.735,0.705,0.71,84563
4/3/2025,G13.SG,GENTING SING.SG,0.705,0.71,0.7,0.705,30489
5/3/2025,G13.SG,GENTING SING.SG,0.71,0.715,0.705,0.71,40088
6/3/2025,G13.SG,GENTING SING.SG,0.71,0.725,0.705,0.71,46575
