Date,Code,Shortname,Open,High,Low,Close,Vol
2/1/2025,HMN.SG,CAPLAND ASCOTT T.SG,0.875,0.905,0.875,0.89,6718
3/1/2025,HMN.SG,CAPLAND ASCOTT T.SG,0.89,0.905,0.89,0.905,3321
6/1/2025,HMN.SG,CAPLAND ASCOTT T.SG,0.905,0.91,0.9,0.905,2845
7/1/2025,HMN.SG,CAPLAND ASCOTT T.SG,0.91,0.91,0.895,0.895,4578
8/1/2025,HMN.SG,CAPLAND ASCOTT T.SG,0.895,0.9,0.885,0.895,4073
9/1/2025,HMN.SG,CAPLAND ASCOTT T.SG,0.885,0.895,0.88,0.88,6470
10/1/2025,HMN.SG,CAPLAND ASCOTT T.SG,0.88,0.885,0.875,0.88,5266
13/1/2025,HMN.SG,CAPLAND ASCOTT T.SG,0.875,0.88,0.865,0.875,5171
14/1/2025,HMN.SG,CAPLAND ASCOTT T.SG,0.875,0.88,0.865,0.87,6304
15/1/2025,HMN.SG,CAPLAND ASCOTT T.SG,0.875,0.88,0.87,0.875,4516
16/1/2025,HMN.SG,CAPLAND ASCOTT T.SG,0.885,0.895,0.885,0.89,3830
17/1/2025,HMN.SG,CAPLAND ASCOTT T.SG,0.89,0.895,0.875,0.885,6800
20/1/2025,HMN.SG,CAPLAND ASCOTT T.SG,0.89,0.895,0.885,0.89,5007
21/1/2025,HMN.SG,CAPLAND ASCOTT T.SG,0.89,0.895,0.885,0.89,4113
22/1/2025,HMN.SG,CAPLAND ASCOTT T.SG,0.89,0.89,0.88,0.88,5123
23/1/2025,HMN.SG,CAPLAND ASCOTT T.SG,0.88,0.89,0.875,0.875,6280
24/1/2025,HMN.SG,CAPLAND ASCOTT T.SG,0.88,0.885,0.875,0.88,8852
27/1/2025,HMN.SG,CAPLAND ASCOTT T.SG,0.88,0.885,0.875,0.88,6921
28/1/2025,HMN.SG,CAPLAND ASCOTT T.SG,0.88,0.895,0.88,0.895,3742
31/1/2025,HMN.SG,CAPLAND ASCOTT T.SG,0.895,0.905,0.89,0.895,7842
3/2/2025,HMN.SG,CAPLAND ASCOTT T.SG,0.895,0.905,0.885,0.895,10615
4/2/2025,HMN.SG,CAPLAND ASCOTT T.SG,0.895,0.91,0.895,0.905,6180
5/2/2025,HMN.SG,CAPLAND ASCOTT T.SG,0.88,0.88,0.87,0.87,6362
6/2/2025,HMN.SG,CAPLAND ASCOTT T.SG,0.875,0.88,0.865,0.865,5128
7/2/2025,HMN.SG,CAPLAND ASCOTT T.SG,0.87,0.88,0.865,0.87,4700
10/2/2025,HMN.SG,CAPLAND ASCOTT T.SG,0.875,0.875,0.86,0.875,5377
11/2/2025,HMN.SG,CAPLAND ASCOTT T.SG,0.87,0.88,0.865,0.875,2906
12/2/2025,HMN.SG,CAPLAND ASCOTT T.SG,0.87,0.88,0.87,0.875,2908
13/2/2025,HMN.SG,CAPLAND ASCOTT T.SG,0.875,0.88,0.87,0.88,3237
14/2/2025,HMN.SG,CAPLAND ASCOTT T.SG,0.88,0.885,0.875,0.875,4256
17/2/2025,HMN.SG,CAPLAND ASCOTT T.SG,0.88,0.885,0.875,0.88,5608
18/2/2025,HMN.SG,CAPLAND ASCOTT T.SG,0.88,0.88,0.875,0.88,2307
19/2/2025,HMN.SG,CAPLAND ASCOTT T.SG,0.88,0.88,0.87,0.875,6316
20/2/2025,HMN.SG,CAPLAND ASCOTT T.SG,0.875,0.88,0.87,0.88,4456
21/2/2025,HMN.SG,CAPLAND ASCOTT T.SG,0.875,0.88,0.87,0.875,2602
24/2/2025,HMN.SG,CAPLAND ASCOTT T.SG,0.875,0.885,0.875,0.88,8217
25/2/2025,HMN.SG,CAPLAND ASCOTT T.SG,0.88,0.88,0.87,0.88,4467
26/2/2025,HMN.SG,CAPLAND ASCOTT T.SG,0.88,0.88,0.86,0.87,10212
27/2/2025,HMN.SG,CAPLAND ASCOTT T.SG,0.865,0.87,0.86,0.87,4659
28/2/2025,HMN.SG,CAPLAND ASCOTT T.SG,0.865,0.875,0.86,0.86,9397
3/3/2025,HMN.SG,CAPLAND ASCOTT T.SG,0.865,0.87,0.86,0.865,2593
4/3/2025,HMN.SG,CAPLAND ASCOTT T.SG,0.865,0.87,0.86,0.87,3475
5/3/2025,HMN.SG,CAPLAND ASCOTT T.SG,0.87,0.875,0.86,0.86,4718
6/3/2025,HMN.SG,CAPLAND ASCOTT T.SG,0.86,0.87,0.86,0.865,5757
7/3/2025,HMN.SG,CAPLAND ASCOTT T.SG,0.865,0.875,0.86,0.86,7359
10/3/2025,HMN.SG,CAPLAND ASCOTT T.SG,0.865,0.87,0.86,0.865,5147
11/3/2025,HMN.SG,CAPLAND ASCOTT T.SG,0.86,0.87,0.86,0.865,5171
12/3/2025,HMN.SG,CAPLAND ASCOTT T.SG,0.865,0.88,0.865,0.88,10648
13/3/2025,HMN.SG,CAPLAND ASCOTT T.SG,0.88,0.88,0.87,0.875,7338
14/3/2025,HMN.SG,CAPLAND ASCOTT T.SG,0.875,0.88,0.87,0.875,3929
17/3/2025,HMN.SG,CAPLAND ASCOTT T.SG,0.875,0.88,0.87,0.88,4891
18/3/2025,HMN.SG,CAPLAND ASCOTT T.SG,0.88,0.88,0.865,0.87,10287
19/3/2025,HMN.SG,CAPLAND ASCOTT T.SG,0.865,0.87,0.86,0.86,11537
20/3/2025,HMN.SG,CAPLAND ASCOTT T.SG,0.865,0.87,0.86,0.87,9885
21/3/2025,HMN.SG,CAPLAND ASCOTT T.SG,0.87,0.87,0.86,0.87,9486
24/3/2025,HMN.SG,CAPLAND ASCOTT T.SG,0.87,0.875,0.865,0.875,6086
25/3/2025,HMN.SG,CAPLAND ASCOTT T.SG,0.875,0.875,0.87,0.87,1287
26/3/2025,HMN.SG,CAPLAND ASCOTT T.SG,0.87,0.875,0.87,0.875,3544
27/3/2025,HMN.SG,CAPLAND ASCOTT T.SG,0.875,0.875,0.87,0.875,2012
28/3/2025,HMN.SG,CAPLAND ASCOTT T.SG,0.875,0.875,0.87,0.87,2297
1/4/2025,HMN.SG,CAPLAND ASCOTT T.SG,0.87,0.875,0.87,0.87,4908
2/4/2025,HMN.SG,CAPLAND ASCOTT T.SG,0.87,0.875,0.87,0.875,3196
3/4/2025,HMN.SG,CAPLAND ASCOTT T.SG,0.87,0.875,0.865,0.87,8503
4/4/2025,HMN.SG,CAPLAND ASCOTT T.SG,0.87,0.87,0.86,0.865,10682
7/4/2025,HMN.SG,CAPLAND ASCOTT T.SG,0.855,0.855,0.81,0.835,20849
8/4/2025,HMN.SG,CAPLAND ASCOTT T.SG,0.835,0.84,0.81,0.815,10924
9/4/2025,HMN.SG,CAPLAND ASCOTT T.SG,0.805,0.805,0.77,0.785,11202
10/4/2025,HMN.SG,CAPLAND ASCOTT T.SG,0.835,0.84,0.815,0.83,9267
