Date,Code,Shortname,Open,High,Low,Close,Vol
2/1/2025,JYEU.SG,LENDLEASE REIT.SG,0.545,0.56,0.545,0.56,1384
3/1/2025,JYEU.SG,LENDLEASE REIT.SG,0.56,0.565,0.555,0.56,1381
6/1/2025,JYEU.SG,LENDLEASE REIT.SG,0.56,0.565,0.56,0.565,1446
7/1/2025,JYEU.SG,LENDLEASE REIT.SG,0.565,0.565,0.55,0.555,2312
8/1/2025,JYEU.SG,LENDLEASE REIT.SG,0.555,0.555,0.545,0.55,1900
9/1/2025,JYEU.SG,LENDLEASE REIT.SG,0.55,0.555,0.545,0.55,1364
10/1/2025,JYEU.SG,LENDLEASE REIT.SG,0.55,0.55,0.545,0.55,1448
13/1/2025,JYEU.SG,LENDLEASE REIT.SG,0.55,0.55,0.535,0.54,4261
14/1/2025,JYEU.SG,LENDLEASE REIT.SG,0.54,0.545,0.54,0.54,2270
15/1/2025,JYEU.SG,LENDLEASE REIT.SG,0.54,0.545,0.535,0.54,1197
16/1/2025,JYEU.SG,LENDLEASE REIT.SG,0.545,0.56,0.545,0.545,2629
17/1/2025,JYEU.SG,LENDLEASE REIT.SG,0.545,0.555,0.54,0.545,3585
20/1/2025,JYEU.SG,LENDLEASE REIT.SG,0.54,0.565,0.54,0.555,4753
21/1/2025,JYEU.SG,LENDLEASE REIT.SG,0.56,0.565,0.555,0.56,2451
22/1/2025,JYEU.SG,LENDLEASE REIT.SG,0.56,0.56,0.545,0.545,3326
23/1/2025,JYEU.SG,LENDLEASE REIT.SG,0.55,0.555,0.545,0.545,1951
24/1/2025,JYEU.SG,LENDLEASE REIT.SG,0.545,0.555,0.545,0.55,880
27/1/2025,JYEU.SG,LENDLEASE REIT.SG,0.55,0.55,0.54,0.54,4017
28/1/2025,JYEU.SG,LENDLEASE REIT.SG,0.545,0.55,0.54,0.545,1325
31/1/2025,JYEU.SG,LENDLEASE REIT.SG,0.55,0.555,0.54,0.555,4510
3/2/2025,JYEU.SG,LENDLEASE REIT.SG,0.545,0.55,0.54,0.545,3625
4/2/2025,JYEU.SG,LENDLEASE REIT.SG,0.54,0.545,0.53,0.54,5996
5/2/2025,JYEU.SG,LENDLEASE REIT.SG,0.54,0.54,0.53,0.53,5060
6/2/2025,JYEU.SG,LENDLEASE REIT.SG,0.535,0.535,0.52,0.52,10664
7/2/2025,JYEU.SG,LENDLEASE REIT.SG,0.525,0.535,0.52,0.53,5640
10/2/2025,JYEU.SG,LENDLEASE REIT.SG,0.52,0.52,0.505,0.51,6919
11/2/2025,JYEU.SG,LENDLEASE REIT.SG,0.515,0.52,0.51,0.515,6378
12/2/2025,JYEU.SG,LENDLEASE REIT.SG,0.515,0.515,0.5,0.505,17096
13/2/2025,JYEU.SG,LENDLEASE REIT.SG,0.51,0.51,0.505,0.505,3855
14/2/2025,JYEU.SG,LENDLEASE REIT.SG,0.51,0.51,0.505,0.505,5669
17/2/2025,JYEU.SG,LENDLEASE REIT.SG,0.51,0.51,0.505,0.505,2581
18/2/2025,JYEU.SG,LENDLEASE REIT.SG,0.51,0.515,0.505,0.51,9751
19/2/2025,JYEU.SG,LENDLEASE REIT.SG,0.505,0.51,0.505,0.51,2028
20/2/2025,JYEU.SG,LENDLEASE REIT.SG,0.51,0.51,0.505,0.505,3914
21/2/2025,JYEU.SG,LENDLEASE REIT.SG,0.505,0.51,0.505,0.51,2554
24/2/2025,JYEU.SG,LENDLEASE REIT.SG,0.51,0.51,0.505,0.51,1606
25/2/2025,JYEU.SG,LENDLEASE REIT.SG,0.51,0.515,0.505,0.51,2731
26/2/2025,JYEU.SG,LENDLEASE REIT.SG,0.51,0.515,0.51,0.515,2992
27/2/2025,JYEU.SG,LENDLEASE REIT.SG,0.515,0.515,0.505,0.505,2556
