Date,Code,Shortname,Open,High,Low,Close,Vol
2/1/2025,K71U.SG,KEPPEL REIT.SG,0.87,0.875,0.865,0.87,4612
3/1/2025,K71U.SG,KEPPEL REIT.SG,0.87,0.895,0.87,0.885,12544
6/1/2025,K71U.SG,KEPPEL REIT.SG,0.885,0.89,0.88,0.885,4768
7/1/2025,K71U.SG,KEPPEL REIT.SG,0.885,0.89,0.88,0.885,4351
8/1/2025,K71U.SG,KEPPEL REIT.SG,0.885,0.885,0.87,0.88,7796
9/1/2025,K71U.SG,KEPPEL REIT.SG,0.875,0.88,0.87,0.875,4593
10/1/2025,K71U.SG,KEPPEL REIT.SG,0.875,0.885,0.87,0.87,4621
13/1/2025,K71U.SG,KEPPEL REIT.SG,0.87,0.87,0.845,0.86,12199
14/1/2025,K71U.SG,KEPPEL REIT.SG,0.86,0.865,0.85,0.86,6624
15/1/2025,K71U.SG,KEPPEL REIT.SG,0.855,0.865,0.855,0.855,4988
16/1/2025,K71U.SG,KEPPEL REIT.SG,0.86,0.875,0.855,0.865,8005
17/1/2025,K71U.SG,KEPPEL REIT.SG,0.86,0.875,0.85,0.85,18796
20/1/2025,K71U.SG,KEPPEL REIT.SG,0.855,0.885,0.855,0.875,15374
21/1/2025,K71U.SG,KEPPEL REIT.SG,0.88,0.885,0.87,0.88,11339
22/1/2025,K71U.SG,KEPPEL REIT.SG,0.88,0.88,0.85,0.855,22679
23/1/2025,K71U.SG,KEPPEL REIT.SG,0.855,0.865,0.85,0.86,6905
24/1/2025,K71U.SG,KEPPEL REIT.SG,0.865,0.87,0.865,0.87,2773
27/1/2025,K71U.SG,KEPPEL REIT.SG,0.865,0.87,0.86,0.86,4196
28/1/2025,K71U.SG,KEPPEL REIT.SG,0.865,0.87,0.86,0.86,4440
31/1/2025,K71U.SG,KEPPEL REIT.SG,0.86,0.865,0.855,0.855,10798
3/2/2025,K71U.SG,KEPPEL REIT.SG,0.86,0.865,0.85,0.86,14815
4/2/2025,K71U.SG,KEPPEL REIT.SG,0.86,0.87,0.855,0.855,18494
5/2/2025,K71U.SG,KEPPEL REIT.SG,0.835,0.845,0.83,0.83,19699
6/2/2025,K71U.SG,KEPPEL REIT.SG,0.835,0.84,0.82,0.82,24544
7/2/2025,K71U.SG,KEPPEL REIT.SG,0.825,0.835,0.82,0.835,13659
10/2/2025,K71U.SG,KEPPEL REIT.SG,0.835,0.835,0.825,0.83,10927
11/2/2025,K71U.SG,KEPPEL REIT.SG,0.83,0.835,0.825,0.825,10590
12/2/2025,K71U.SG,KEPPEL REIT.SG,0.83,0.83,0.815,0.83,11860
13/2/2025,K71U.SG,KEPPEL REIT.SG,0.83,0.83,0.815,0.82,13500
14/2/2025,K71U.SG,KEPPEL REIT.SG,0.82,0.83,0.815,0.82,10160
17/2/2025,K71U.SG,KEPPEL REIT.SG,0.82,0.83,0.815,0.82,6227
18/2/2025,K71U.SG,KEPPEL REIT.SG,0.82,0.825,0.815,0.815,8074
19/2/2025,K71U.SG,KEPPEL REIT.SG,0.815,0.82,0.81,0.815,6020
20/2/2025,K71U.SG,KEPPEL REIT.SG,0.82,0.82,0.81,0.815,11683
21/2/2025,K71U.SG,KEPPEL REIT.SG,0.815,0.82,0.805,0.805,12082
24/2/2025,K71U.SG,KEPPEL REIT.SG,0.81,0.815,0.805,0.81,6394
25/2/2025,K71U.SG,KEPPEL REIT.SG,0.81,0.81,0.8,0.805,5705
26/2/2025,K71U.SG,KEPPEL REIT.SG,0.805,0.81,0.8,0.8,8856
27/2/2025,K71U.SG,KEPPEL REIT.SG,0.8,0.805,0.8,0.8,3293
28/2/2025,K71U.SG,KEPPEL REIT.SG,0.805,0.81,0.8,0.8,14248
