Date,Code,Shortname,Open,High,Low,Close,Vol
21/7/2025,LCC.SG,LUM CHANG CREAT.SG,0.3,0.335,0.3,0.305,21067
22/7/2025,LCC.SG,LUM CHANG CREAT.SG,0.31,0.36,0.31,0.36,5316
23/7/2025,LCC.SG,LUM CHANG CREAT.SG,0.36,0.38,0.355,0.38,3082
24/7/2025,LCC.SG,LUM CHANG CREAT.SG,0.385,0.405,0.385,0.385,3536
25/7/2025,LCC.SG,LUM CHANG CREAT.SG,0.39,0.395,0.385,0.385,825
28/7/2025,LCC.SG,LUM CHANG CREAT.SG,0.39,0.39,0.38,0.385,1175
29/7/2025,LCC.SG,LUM CHANG CREAT.SG,0.385,0.385,0.355,0.365,2110
30/7/2025,LCC.SG,LUM CHANG CREAT.SG,0.37,0.38,0.37,0.375,682
31/7/2025,LCC.SG,LUM CHANG CREAT.SG,0.38,0.38,0.365,0.37,421
1/8/2025,LCC.SG,LUM CHANG CREAT.SG,0.37,0.375,0.37,0.375,852
4/8/2025,LCC.SG,LUM CHANG CREAT.SG,0.375,0.375,0.37,0.37,208
5/8/2025,LCC.SG,LUM CHANG CREAT.SG,0.37,0.38,0.37,0.375,198
6/8/2025,LCC.SG,LUM CHANG CREAT.SG,0.375,0.385,0.37,0.385,230
7/8/2025,LCC.SG,LUM CHANG CREAT.SG,0.385,0.4,0.38,0.385,3340
8/8/2025,LCC.SG,LUM CHANG CREAT.SG,0.39,0.39,0.385,0.39,691
11/8/2025,LCC.SG,LUM CHANG CREAT.SG,0.39,0.4,0.39,0.4,878
12/8/2025,LCC.SG,LUM CHANG CREAT.SG,0.4,0.4,0.395,0.395,212
13/8/2025,LCC.SG,LUM CHANG CREAT.SG,0.395,0.42,0.395,0.42,1118
14/8/2025,LCC.SG,LUM CHANG CREAT.SG,0.415,0.42,0.405,0.41,292
15/8/2025,LCC.SG,LUM CHANG CREAT.SG,0.405,0.41,0.39,0.41,266
18/8/2025,LCC.SG,LUM CHANG CREAT.SG,0.41,0.415,0.41,0.415,77
19/8/2025,LCC.SG,LUM CHANG CREAT.SG,0.415,0.445,0.415,0.445,1054
20/8/2025,LCC.SG,LUM CHANG CREAT.SG,0.455,0.49,0.45,0.485,2132
21/8/2025,LCC.SG,LUM CHANG CREAT.SG,0.485,0.505,0.485,0.5,1132
22/8/2025,LCC.SG,LUM CHANG CREAT.SG,0.5,0.505,0.47,0.495,423
25/8/2025,LCC.SG,LUM CHANG CREAT.SG,0.49,0.51,0.485,0.51,2683
26/8/2025,LCC.SG,LUM CHANG CREAT.SG,0.51,0.575,0.51,0.55,1328
27/8/2025,LCC.SG,LUM CHANG CREAT.SG,0.57,0.645,0.53,0.555,4543
28/8/2025,LCC.SG,LUM CHANG CREAT.SG,0.55,0.56,0.54,0.545,1206
29/8/2025,LCC.SG,LUM CHANG CREAT.SG,0.55,0.56,0.51,0.55,2418
1/9/2025,LCC.SG,LUM CHANG CREAT.SG,0.575,0.595,0.545,0.55,8908
2/9/2025,LCC.SG,LUM CHANG CREAT.SG,0.555,0.56,0.53,0.555,1950
3/9/2025,LCC.SG,LUM CHANG CREAT.SG,0.555,0.58,0.555,0.57,2497
4/9/2025,LCC.SG,LUM CHANG CREAT.SG,0.575,0.595,0.575,0.59,3517
5/9/2025,LCC.SG,LUM CHANG CREAT.SG,0.595,0.615,0.565,0.575,2956
8/9/2025,LCC.SG,LUM CHANG CREAT.SG,0.575,0.59,0.575,0.58,978
9/9/2025,LCC.SG,LUM CHANG CREAT.SG,0.585,0.595,0.58,0.585,1678
10/9/2025,LCC.SG,LUM CHANG CREAT.SG,0.585,0.595,0.585,0.59,1371
11/9/2025,LCC.SG,LUM CHANG CREAT.SG,0.585,0.6,0.55,0.57,2520
12/9/2025,LCC.SG,LUM CHANG CREAT.SG,0.58,0.58,0.575,0.575,736
15/9/2025,LCC.SG,LUM CHANG CREAT.SG,0.58,0.58,0.565,0.565,1127
16/9/2025,LCC.SG,LUM CHANG CREAT.SG,0.565,0.575,0.56,0.565,341
17/9/2025,LCC.SG,LUM CHANG CREAT.SG,0.565,0.565,0.55,0.55,646
18/9/2025,LCC.SG,LUM CHANG CREAT.SG,0.55,0.55,0.53,0.53,538
19/9/2025,LCC.SG,LUM CHANG CREAT.SG,0.53,0.54,0.525,0.53,225
22/9/2025,LCC.SG,LUM CHANG CREAT.SG,0.52,0.52,0.485,0.5,1467
23/9/2025,LCC.SG,LUM CHANG CREAT.SG,0.5,0.5,0.47,0.475,1006
24/9/2025,LCC.SG,LUM CHANG CREAT.SG,0.475,0.49,0.47,0.475,411
25/9/2025,LCC.SG,LUM CHANG CREAT.SG,0.475,0.475,0.445,0.46,1781
26/9/2025,LCC.SG,LUM CHANG CREAT.SG,0.46,0.46,0.435,0.435,748
29/9/2025,LCC.SG,LUM CHANG CREAT.SG,0.44,0.48,0.44,0.475,624
30/9/2025,LCC.SG,LUM CHANG CREAT.SG,0.48,0.48,0.45,0.45,521
1/10/2025,LCC.SG,LUM CHANG CREAT.SG,0.45,0.46,0.45,0.45,90
