Date,Code,Shortname,Open,High,Low,Close,Vol
2/1/2025,ME8U.SG,MAPLETREE IND TR.SG,2.21,2.26,2.21,2.24,4004
3/1/2025,ME8U.SG,MAPLETREE IND TR.SG,2.24,2.28,2.24,2.27,4841
6/1/2025,ME8U.SG,MAPLETREE IND TR.SG,2.27,2.29,2.27,2.28,5358
7/1/2025,ME8U.SG,MAPLETREE IND TR.SG,2.28,2.3,2.25,2.27,3716
8/1/2025,ME8U.SG,MAPLETREE IND TR.SG,2.25,2.27,2.24,2.26,2718
9/1/2025,ME8U.SG,MAPLETREE IND TR.SG,2.26,2.26,2.24,2.25,2083
10/1/2025,ME8U.SG,MAPLETREE IND TR.SG,2.24,2.25,2.23,2.24,2329
13/1/2025,ME8U.SG,MAPLETREE IND TR.SG,2.24,2.24,2.21,2.22,3897
14/1/2025,ME8U.SG,MAPLETREE IND TR.SG,2.23,2.25,2.2,2.21,4017
15/1/2025,ME8U.SG,MAPLETREE IND TR.SG,2.22,2.23,2.2,2.21,4397
16/1/2025,ME8U.SG,MAPLETREE IND TR.SG,2.23,2.28,2.22,2.23,5227
17/1/2025,ME8U.SG,MAPLETREE IND TR.SG,2.22,2.28,2.21,2.24,6459
20/1/2025,ME8U.SG,MAPLETREE IND TR.SG,2.25,2.28,2.23,2.24,5956
21/1/2025,ME8U.SG,MAPLETREE IND TR.SG,2.24,2.25,2.23,2.24,5018
22/1/2025,ME8U.SG,MAPLETREE IND TR.SG,2.24,2.24,2.2,2.21,5477
23/1/2025,ME8U.SG,MAPLETREE IND TR.SG,2.22,2.24,2.21,2.21,5713
24/1/2025,ME8U.SG,MAPLETREE IND TR.SG,2.22,2.23,2.19,2.2,13013
27/1/2025,ME8U.SG,MAPLETREE IND TR.SG,2.2,2.2,2.12,2.14,22312
28/1/2025,ME8U.SG,MAPLETREE IND TR.SG,2.14,2.17,2.14,2.15,10136
31/1/2025,ME8U.SG,MAPLETREE IND TR.SG,2.13,2.14,2.09,2.1,19841
3/2/2025,ME8U.SG,MAPLETREE IND TR.SG,2.09,2.13,2.08,2.1,11965
4/2/2025,ME8U.SG,MAPLETREE IND TR.SG,2.1,2.13,2.1,2.12,9662
5/2/2025,ME8U.SG,MAPLETREE IND TR.SG,2.12,2.12,2.09,2.1,10235
6/2/2025,ME8U.SG,MAPLETREE IND TR.SG,2.11,2.13,2.1,2.12,10481
7/2/2025,ME8U.SG,MAPLETREE IND TR.SG,2.12,2.15,2.12,2.13,5793
10/2/2025,ME8U.SG,MAPLETREE IND TR.SG,2.13,2.14,2.11,2.13,4073
11/2/2025,ME8U.SG,MAPLETREE IND TR.SG,2.1,2.1,2.06,2.06,31974
12/2/2025,ME8U.SG,MAPLETREE IND TR.SG,2.06,2.07,2.02,2.05,16012
13/2/2025,ME8U.SG,MAPLETREE IND TR.SG,2.02,2.03,2.01,2.03,10251
14/2/2025,ME8U.SG,MAPLETREE IND TR.SG,2.03,2.06,2.02,2.03,8440
17/2/2025,ME8U.SG,MAPLETREE IND TR.SG,2.03,2.05,2.03,2.04,6623
18/2/2025,ME8U.SG,MAPLETREE IND TR.SG,2.05,2.05,2.02,2.02,6693
19/2/2025,ME8U.SG,MAPLETREE IND TR.SG,2.03,2.03,2.01,2.01,9816
20/2/2025,ME8U.SG,MAPLETREE IND TR.SG,2.01,2.03,2.0,2.01,8393
21/2/2025,ME8U.SG,MAPLETREE IND TR.SG,2.01,2.02,2.0,2.0,6059
24/2/2025,ME8U.SG,MAPLETREE IND TR.SG,2.0,2.06,1.99,2.04,17984
25/2/2025,ME8U.SG,MAPLETREE IND TR.SG,2.03,2.04,2.0,2.01,20761
26/2/2025,ME8U.SG,MAPLETREE IND TR.SG,2.01,2.02,1.99,2.0,10245
27/2/2025,ME8U.SG,MAPLETREE IND TR.SG,2.0,2.01,1.98,2.0,13277
28/2/2025,ME8U.SG,MAPLETREE IND TR.SG,2.0,2.01,1.98,1.98,15350
3/3/2025,ME8U.SG,MAPLETREE IND TR.SG,1.99,2.0,1.97,1.97,10049
4/3/2025,ME8U.SG,MAPLETREE IND TR.SG,1.97,2.01,1.96,1.99,14296
5/3/2025,ME8U.SG,MAPLETREE IND TR.SG,1.99,2.04,1.99,2.01,16665
6/3/2025,ME8U.SG,MAPLETREE IND TR.SG,2.0,2.01,2.0,2.0,6273
7/3/2025,ME8U.SG,MAPLETREE IND TR.SG,2.0,2.0,1.99,2.0,4183
10/3/2025,ME8U.SG,MAPLETREE IND TR.SG,2.0,2.03,2.0,2.02,9383
11/3/2025,ME8U.SG,MAPLETREE IND TR.SG,2.01,2.05,2.0,2.04,16492
12/3/2025,ME8U.SG,MAPLETREE IND TR.SG,2.04,2.09,2.03,2.06,19105
13/3/2025,ME8U.SG,MAPLETREE IND TR.SG,2.07,2.07,2.03,2.06,26090
14/3/2025,ME8U.SG,MAPLETREE IND TR.SG,2.06,2.1,2.04,2.08,19027
17/3/2025,ME8U.SG,MAPLETREE IND TR.SG,2.09,2.1,2.06,2.08,6828
18/3/2025,ME8U.SG,MAPLETREE IND TR.SG,2.09,2.1,2.07,2.08,6564
19/3/2025,ME8U.SG,MAPLETREE IND TR.SG,2.08,2.08,2.05,2.07,12321
20/3/2025,ME8U.SG,MAPLETREE IND TR.SG,2.08,2.11,2.07,2.09,14146
21/3/2025,ME8U.SG,MAPLETREE IND TR.SG,2.09,2.1,2.08,2.1,10236
24/3/2025,ME8U.SG,MAPLETREE IND TR.SG,2.11,2.13,2.1,2.11,13472
25/3/2025,ME8U.SG,MAPLETREE IND TR.SG,2.1,2.13,2.1,2.1,9950
26/3/2025,ME8U.SG,MAPLETREE IND TR.SG,2.1,2.12,2.1,2.11,5762
27/3/2025,ME8U.SG,MAPLETREE IND TR.SG,2.12,2.12,2.1,2.11,3522
28/3/2025,ME8U.SG,MAPLETREE IND TR.SG,2.12,2.12,2.08,2.1,6532
1/4/2025,ME8U.SG,MAPLETREE IND TR.SG,2.1,2.13,2.09,2.1,8046
2/4/2025,ME8U.SG,MAPLETREE IND TR.SG,2.1,2.11,2.09,2.11,5011
3/4/2025,ME8U.SG,MAPLETREE IND TR.SG,2.1,2.13,2.08,2.12,11366
4/4/2025,ME8U.SG,MAPLETREE IND TR.SG,2.11,2.13,2.07,2.09,18994
7/4/2025,ME8U.SG,MAPLETREE IND TR.SG,2.05,2.06,1.92,1.97,25873
8/4/2025,ME8U.SG,MAPLETREE IND TR.SG,2.0,2.01,1.91,1.93,20317
9/4/2025,ME8U.SG,MAPLETREE IND TR.SG,1.92,1.92,1.83,1.84,17443
