Date,Code,Shortname,Open,High,Low,Close,Vol
2/1/2025,MZH.SG,NANOFILM.SG,0.765,0.77,0.76,0.77,794
3/1/2025,MZH.SG,NANOFILM.SG,0.77,0.795,0.77,0.79,2947
6/1/2025,MZH.SG,NANOFILM.SG,0.795,0.81,0.79,0.81,3031
7/1/2025,MZH.SG,NANOFILM.SG,0.815,0.82,0.805,0.82,3024
8/1/2025,MZH.SG,NANOFILM.SG,0.81,0.815,0.805,0.81,517
9/1/2025,MZH.SG,NANOFILM.SG,0.81,0.815,0.8,0.805,732
10/1/2025,MZH.SG,NANOFILM.SG,0.805,0.805,0.775,0.775,1308
13/1/2025,MZH.SG,NANOFILM.SG,0.775,0.775,0.765,0.765,612
14/1/2025,MZH.SG,NANOFILM.SG,0.77,0.78,0.765,0.765,778
15/1/2025,MZH.SG,NANOFILM.SG,0.765,0.77,0.76,0.76,682
16/1/2025,MZH.SG,NANOFILM.SG,0.77,0.775,0.76,0.77,673
17/1/2025,MZH.SG,NANOFILM.SG,0.77,0.785,0.765,0.77,719
20/1/2025,MZH.SG,NANOFILM.SG,0.77,0.78,0.765,0.775,511
21/1/2025,MZH.SG,NANOFILM.SG,0.775,0.78,0.77,0.77,665
22/1/2025,MZH.SG,NANOFILM.SG,0.745,0.76,0.735,0.735,3392
23/1/2025,MZH.SG,NANOFILM.SG,0.74,0.74,0.72,0.735,3418
24/1/2025,MZH.SG,NANOFILM.SG,0.73,0.735,0.72,0.725,1021
27/1/2025,MZH.SG,NANOFILM.SG,0.725,0.725,0.705,0.71,1461
28/1/2025,MZH.SG,NANOFILM.SG,0.705,0.705,0.695,0.7,954
31/1/2025,MZH.SG,NANOFILM.SG,0.7,0.715,0.7,0.715,1600
3/2/2025,MZH.SG,NANOFILM.SG,0.715,0.715,0.695,0.695,1595
4/2/2025,MZH.SG,NANOFILM.SG,0.695,0.7,0.69,0.695,837
5/2/2025,MZH.SG,NANOFILM.SG,0.69,0.705,0.69,0.7,1298
6/2/2025,MZH.SG,NANOFILM.SG,0.7,0.71,0.7,0.71,714
7/2/2025,MZH.SG,NANOFILM.SG,0.705,0.715,0.7,0.705,845
10/2/2025,MZH.SG,NANOFILM.SG,0.7,0.705,0.69,0.695,1060
11/2/2025,MZH.SG,NANOFILM.SG,0.69,0.7,0.69,0.695,980
12/2/2025,MZH.SG,NANOFILM.SG,0.7,0.725,0.7,0.72,2020
13/2/2025,MZH.SG,NANOFILM.SG,0.72,0.735,0.72,0.725,2287
14/2/2025,MZH.SG,NANOFILM.SG,0.725,0.725,0.715,0.72,524
17/2/2025,MZH.SG,NANOFILM.SG,0.72,0.735,0.72,0.73,1626
18/2/2025,MZH.SG,NANOFILM.SG,0.73,0.745,0.725,0.74,1921
19/2/2025,MZH.SG,NANOFILM.SG,0.74,0.74,0.72,0.72,836
20/2/2025,MZH.SG,NANOFILM.SG,0.72,0.725,0.715,0.72,713
21/2/2025,MZH.SG,NANOFILM.SG,0.72,0.72,0.7,0.705,1020
24/2/2025,MZH.SG,NANOFILM.SG,0.705,0.715,0.7,0.705,1287
25/2/2025,MZH.SG,NANOFILM.SG,0.71,0.71,0.7,0.7,616
26/2/2025,MZH.SG,NANOFILM.SG,0.72,0.73,0.705,0.705,3334
27/2/2025,MZH.SG,NANOFILM.SG,0.705,0.705,0.69,0.7,1542
28/2/2025,MZH.SG,NANOFILM.SG,0.7,0.7,0.67,0.675,2552
3/3/2025,MZH.SG,NANOFILM.SG,0.675,0.68,0.67,0.67,1000
4/3/2025,MZH.SG,NANOFILM.SG,0.665,0.665,0.645,0.645,1830
5/3/2025,MZH.SG,NANOFILM.SG,0.65,0.675,0.65,0.67,1246
6/3/2025,MZH.SG,NANOFILM.SG,0.67,0.67,0.66,0.66,632
7/3/2025,MZH.SG,NANOFILM.SG,0.66,0.665,0.655,0.655,494
10/3/2025,MZH.SG,NANOFILM.SG,0.655,0.665,0.65,0.65,960
11/3/2025,MZH.SG,NANOFILM.SG,0.645,0.66,0.635,0.645,1781
12/3/2025,MZH.SG,NANOFILM.SG,0.65,0.665,0.65,0.66,1025
13/3/2025,MZH.SG,NANOFILM.SG,0.665,0.67,0.655,0.66,738
14/3/2025,MZH.SG,NANOFILM.SG,0.655,0.665,0.655,0.665,487
17/3/2025,MZH.SG,NANOFILM.SG,0.665,0.675,0.665,0.67,1245
18/3/2025,MZH.SG,NANOFILM.SG,0.67,0.68,0.67,0.675,302
19/3/2025,MZH.SG,NANOFILM.SG,0.67,0.67,0.66,0.66,694
