Date,Code,Shortname,Open,High,Low,Close,Vol
14/7/2025,NTDU.SG,NTT DC REIT USD.SG,1.02,1.03,1.0,1.0,118434
15/7/2025,NTDU.SG,NTT DC REIT USD.SG,1.01,1.01,1.0,1.0,26241
16/7/2025,NTDU.SG,NTT DC REIT USD.SG,1.0,1.01,0.975,0.975,36544
17/7/2025,NTDU.SG,NTT DC REIT USD.SG,0.98,0.985,0.97,0.97,25987
18/7/2025,NTDU.SG,NTT DC REIT USD.SG,0.975,0.975,0.95,0.95,23676
21/7/2025,NTDU.SG,NTT DC REIT USD.SG,0.95,0.975,0.935,0.96,28902
22/7/2025,NTDU.SG,NTT DC REIT USD.SG,0.965,0.965,0.95,0.95,9530
23/7/2025,NTDU.SG,NTT DC REIT USD.SG,0.95,0.97,0.945,0.95,11876
24/7/2025,NTDU.SG,NTT DC REIT USD.SG,0.955,0.97,0.95,0.96,23012
25/7/2025,NTDU.SG,NTT DC REIT USD.SG,0.96,0.96,0.945,0.95,13206
28/7/2025,NTDU.SG,NTT DC REIT USD.SG,0.95,0.955,0.945,0.95,9699
29/7/2025,NTDU.SG,NTT DC REIT USD.SG,0.945,0.95,0.935,0.945,11210
30/7/2025,NTDU.SG,NTT DC REIT USD.SG,0.945,0.95,0.935,0.935,5155
31/7/2025,NTDU.SG,NTT DC REIT USD.SG,0.935,0.94,0.93,0.94,6025
1/8/2025,NTDU.SG,NTT DC REIT USD.SG,0.94,0.945,0.935,0.94,4099
4/8/2025,NTDU.SG,NTT DC REIT USD.SG,0.935,0.95,0.93,0.95,6817
5/8/2025,NTDU.SG,NTT DC REIT USD.SG,0.95,0.95,0.94,0.94,3767
6/8/2025,NTDU.SG,NTT DC REIT USD.SG,0.945,0.945,0.935,0.94,3492
7/8/2025,NTDU.SG,NTT DC REIT USD.SG,0.94,0.94,0.935,0.94,2427
8/8/2025,NTDU.SG,NTT DC REIT USD.SG,0.935,0.945,0.93,0.945,10572
11/8/2025,NTDU.SG,NTT DC REIT USD.SG,0.94,0.95,0.94,0.945,1654
12/8/2025,NTDU.SG,NTT DC REIT USD.SG,0.945,0.945,0.935,0.935,4468
13/8/2025,NTDU.SG,NTT DC REIT USD.SG,0.94,0.94,0.93,0.935,3375
14/8/2025,NTDU.SG,NTT DC REIT USD.SG,0.935,0.935,0.925,0.93,9683
15/8/2025,NTDU.SG,NTT DC REIT USD.SG,0.93,0.935,0.925,0.935,2618
18/8/2025,NTDU.SG,NTT DC REIT USD.SG,0.935,0.95,0.93,0.945,7363
19/8/2025,NTDU.SG,NTT DC REIT USD.SG,0.945,0.945,0.94,0.945,1217
20/8/2025,NTDU.SG,NTT DC REIT USD.SG,0.94,0.94,0.935,0.935,3377
21/8/2025,NTDU.SG,NTT DC REIT USD.SG,0.94,0.95,0.935,0.95,2092
22/8/2025,NTDU.SG,NTT DC REIT USD.SG,0.945,0.945,0.94,0.945,1430
25/8/2025,NTDU.SG,NTT DC REIT USD.SG,0.95,0.95,0.94,0.95,3665
26/8/2025,NTDU.SG,NTT DC REIT USD.SG,0.945,0.945,0.94,0.945,3973
27/8/2025,NTDU.SG,NTT DC REIT USD.SG,0.945,0.95,0.94,0.945,4308
28/8/2025,NTDU.SG,NTT DC REIT USD.SG,0.945,0.945,0.94,0.945,1936
29/8/2025,NTDU.SG,NTT DC REIT USD.SG,0.945,0.95,0.94,0.94,5152
1/9/2025,NTDU.SG,NTT DC REIT USD.SG,0.945,0.945,0.935,0.945,2166
2/9/2025,NTDU.SG,NTT DC REIT USD.SG,0.94,0.945,0.935,0.94,2970
3/9/2025,NTDU.SG,NTT DC REIT USD.SG,0.94,0.945,0.93,0.94,7174
4/9/2025,NTDU.SG,NTT DC REIT USD.SG,0.94,0.94,0.935,0.935,966
5/9/2025,NTDU.SG,NTT DC REIT USD.SG,0.94,0.95,0.935,0.95,2502
8/9/2025,NTDU.SG,NTT DC REIT USD.SG,0.95,0.95,0.94,0.94,2454
9/9/2025,NTDU.SG,NTT DC REIT USD.SG,0.945,0.95,0.945,0.945,2464
10/9/2025,NTDU.SG,NTT DC REIT USD.SG,0.945,0.95,0.94,0.95,1344
11/9/2025,NTDU.SG,NTT DC REIT USD.SG,0.945,0.955,0.945,0.95,5463
12/9/2025,NTDU.SG,NTT DC REIT USD.SG,0.955,0.96,0.95,0.955,5909
15/9/2025,NTDU.SG,NTT DC REIT USD.SG,0.955,0.98,0.955,0.975,3683
16/9/2025,NTDU.SG,NTT DC REIT USD.SG,0.975,0.995,0.97,0.99,9075
17/9/2025,NTDU.SG,NTT DC REIT USD.SG,0.995,0.995,0.985,0.99,3254
18/9/2025,NTDU.SG,NTT DC REIT USD.SG,0.995,1.0,0.99,1.0,6878
19/9/2025,NTDU.SG,NTT DC REIT USD.SG,1.0,1.01,0.995,1.01,10164
22/9/2025,NTDU.SG,NTT DC REIT USD.SG,1.0,1.01,0.995,0.995,5222
23/9/2025,NTDU.SG,NTT DC REIT USD.SG,0.995,1.0,0.995,1.0,1758
24/9/2025,NTDU.SG,NTT DC REIT USD.SG,1.0,1.01,0.995,1.0,8038
25/9/2025,NTDU.SG,NTT DC REIT USD.SG,1.0,1.01,0.99,0.995,4559
26/9/2025,NTDU.SG,NTT DC REIT USD.SG,0.99,1.0,0.985,1.0,5862
29/9/2025,NTDU.SG,NTT DC REIT USD.SG,1.0,1.01,1.0,1.01,2730
30/9/2025,NTDU.SG,NTT DC REIT USD.SG,1.0,1.01,1.0,1.0,689
1/10/2025,NTDU.SG,NTT DC REIT USD.SG,1.0,1.02,1.0,1.01,4793
2/10/2025,NTDU.SG,NTT DC REIT USD.SG,1.01,1.01,1.0,1.01,2456
3/10/2025,NTDU.SG,NTT DC REIT USD.SG,1.0,1.02,1.0,1.02,3305
6/10/2025,NTDU.SG,NTT DC REIT USD.SG,1.02,1.03,1.01,1.02,5565
7/10/2025,NTDU.SG,NTT DC REIT USD.SG,1.03,1.04,1.02,1.04,7692
