Date,Code,Shortname,Open,High,Low,Close,Vol
2/1/2025,OU8.SG,CENTURION.SG,0.96,0.975,0.96,0.96,580
3/1/2025,OU8.SG,CENTURION.SG,0.955,0.98,0.94,0.94,1105
6/1/2025,OU8.SG,CENTURION.SG,0.945,0.96,0.93,0.945,794
7/1/2025,OU8.SG,CENTURION.SG,0.94,0.96,0.935,0.96,570
8/1/2025,OU8.SG,CENTURION.SG,0.99,1.02,0.985,0.995,4496
9/1/2025,OU8.SG,CENTURION.SG,0.995,0.995,0.98,0.985,335
10/1/2025,OU8.SG,CENTURION.SG,0.98,0.985,0.955,0.96,428
13/1/2025,OU8.SG,CENTURION.SG,0.96,0.975,0.95,0.965,508
14/1/2025,OU8.SG,CENTURION.SG,0.965,0.965,0.95,0.955,10599
15/1/2025,OU8.SG,CENTURION.SG,0.955,0.975,0.95,0.965,772
16/1/2025,OU8.SG,CENTURION.SG,0.97,0.985,0.96,0.98,722
17/1/2025,OU8.SG,CENTURION.SG,0.98,1.01,0.98,0.995,2489
20/1/2025,OU8.SG,CENTURION.SG,1.0,1.01,0.99,1.0,593
21/1/2025,OU8.SG,CENTURION.SG,1.0,1.03,0.995,1.03,2995
22/1/2025,OU8.SG,CENTURION.SG,1.03,1.03,1.01,1.03,796
23/1/2025,OU8.SG,CENTURION.SG,1.03,1.03,0.99,0.995,1369
24/1/2025,OU8.SG,CENTURION.SG,0.995,1.0,0.985,1.0,460
27/1/2025,OU8.SG,CENTURION.SG,0.995,1.02,0.985,0.995,1509
28/1/2025,OU8.SG,CENTURION.SG,0.995,1.0,0.99,0.99,219
31/1/2025,OU8.SG,CENTURION.SG,0.99,1.01,0.99,1.0,438
3/2/2025,OU8.SG,CENTURION.SG,1.0,1.0,0.98,0.99,770
4/2/2025,OU8.SG,CENTURION.SG,0.995,1.0,0.99,1.0,1360
5/2/2025,OU8.SG,CENTURION.SG,0.995,1.0,0.995,1.0,644
6/2/2025,OU8.SG,CENTURION.SG,1.0,1.0,0.995,1.0,251
7/2/2025,OU8.SG,CENTURION.SG,0.995,1.0,0.985,0.985,897
10/2/2025,OU8.SG,CENTURION.SG,0.985,0.995,0.985,0.99,255
11/2/2025,OU8.SG,CENTURION.SG,0.99,0.995,0.98,0.995,871
12/2/2025,OU8.SG,CENTURION.SG,0.995,1.03,0.995,1.02,5106
13/2/2025,OU8.SG,CENTURION.SG,1.01,1.02,1.01,1.02,916
14/2/2025,OU8.SG,CENTURION.SG,1.02,1.02,1.01,1.01,663
17/2/2025,OU8.SG,CENTURION.SG,1.04,1.05,1.03,1.04,2198
18/2/2025,OU8.SG,CENTURION.SG,1.04,1.06,1.03,1.05,2537
19/2/2025,OU8.SG,CENTURION.SG,1.05,1.05,1.03,1.04,616
20/2/2025,OU8.SG,CENTURION.SG,1.03,1.04,1.02,1.02,811
21/2/2025,OU8.SG,CENTURION.SG,1.02,1.03,1.0,1.02,1493
24/2/2025,OU8.SG,CENTURION.SG,1.02,1.04,1.02,1.03,1457
25/2/2025,OU8.SG,CENTURION.SG,1.03,1.03,1.01,1.01,812
