Date,Code,Shortname,Open,High,Low,Close,Vol
2/1/2025,OV8.SG,SHENG SIONG.SG,1.64,1.65,1.62,1.63,1089
3/1/2025,OV8.SG,SHENG SIONG.SG,1.63,1.66,1.63,1.65,1703
6/1/2025,OV8.SG,SHENG SIONG.SG,1.65,1.66,1.65,1.65,508
7/1/2025,OV8.SG,SHENG SIONG.SG,1.65,1.66,1.64,1.66,1031
8/1/2025,OV8.SG,SHENG SIONG.SG,1.65,1.65,1.63,1.64,1302
9/1/2025,OV8.SG,SHENG SIONG.SG,1.63,1.64,1.63,1.64,1047
10/1/2025,OV8.SG,SHENG SIONG.SG,1.64,1.64,1.62,1.64,1183
13/1/2025,OV8.SG,SHENG SIONG.SG,1.63,1.64,1.62,1.62,1255
14/1/2025,OV8.SG,SHENG SIONG.SG,1.63,1.63,1.61,1.62,1710
15/1/2025,OV8.SG,SHENG SIONG.SG,1.62,1.63,1.61,1.62,2020
16/1/2025,OV8.SG,SHENG SIONG.SG,1.63,1.64,1.62,1.63,984
17/1/2025,OV8.SG,SHENG SIONG.SG,1.63,1.63,1.61,1.62,1450
20/1/2025,OV8.SG,SHENG SIONG.SG,1.62,1.63,1.61,1.63,1046
21/1/2025,OV8.SG,SHENG SIONG.SG,1.63,1.63,1.61,1.62,575
22/1/2025,OV8.SG,SHENG SIONG.SG,1.62,1.64,1.62,1.63,1029
23/1/2025,OV8.SG,SHENG SIONG.SG,1.63,1.64,1.62,1.63,1094
24/1/2025,OV8.SG,SHENG SIONG.SG,1.63,1.63,1.62,1.63,676
27/1/2025,OV8.SG,SHENG SIONG.SG,1.63,1.65,1.63,1.64,939
28/1/2025,OV8.SG,SHENG SIONG.SG,1.65,1.65,1.63,1.63,740
31/1/2025,OV8.SG,SHENG SIONG.SG,1.63,1.65,1.63,1.63,1265
3/2/2025,OV8.SG,SHENG SIONG.SG,1.63,1.65,1.62,1.64,1134
4/2/2025,OV8.SG,SHENG SIONG.SG,1.64,1.65,1.64,1.65,542
5/2/2025,OV8.SG,SHENG SIONG.SG,1.65,1.65,1.63,1.65,650
6/2/2025,OV8.SG,SHENG SIONG.SG,1.64,1.65,1.63,1.65,1054
7/2/2025,OV8.SG,SHENG SIONG.SG,1.64,1.65,1.63,1.64,962
10/2/2025,OV8.SG,SHENG SIONG.SG,1.64,1.64,1.63,1.64,764
11/2/2025,OV8.SG,SHENG SIONG.SG,1.64,1.64,1.62,1.63,3042
12/2/2025,OV8.SG,SHENG SIONG.SG,1.63,1.64,1.63,1.64,800
13/2/2025,OV8.SG,SHENG SIONG.SG,1.63,1.64,1.62,1.63,1478
14/2/2025,OV8.SG,SHENG SIONG.SG,1.63,1.64,1.62,1.64,2836
17/2/2025,OV8.SG,SHENG SIONG.SG,1.64,1.65,1.63,1.64,828
18/2/2025,OV8.SG,SHENG SIONG.SG,1.64,1.66,1.64,1.66,3592
19/2/2025,OV8.SG,SHENG SIONG.SG,1.66,1.66,1.64,1.65,3126
20/2/2025,OV8.SG,SHENG SIONG.SG,1.65,1.66,1.64,1.65,979
21/2/2025,OV8.SG,SHENG SIONG.SG,1.65,1.65,1.63,1.64,1782
24/2/2025,OV8.SG,SHENG SIONG.SG,1.64,1.66,1.63,1.65,2760
25/2/2025,OV8.SG,SHENG SIONG.SG,1.64,1.65,1.63,1.63,2516
26/2/2025,OV8.SG,SHENG SIONG.SG,1.63,1.64,1.63,1.63,943
27/2/2025,OV8.SG,SHENG SIONG.SG,1.64,1.65,1.63,1.65,1933
28/2/2025,OV8.SG,SHENG SIONG.SG,1.65,1.65,1.63,1.64,2399
3/3/2025,OV8.SG,SHENG SIONG.SG,1.64,1.65,1.64,1.64,811
4/3/2025,OV8.SG,SHENG SIONG.SG,1.64,1.65,1.64,1.64,960
5/3/2025,OV8.SG,SHENG SIONG.SG,1.65,1.65,1.63,1.64,1493
6/3/2025,OV8.SG,SHENG SIONG.SG,1.64,1.64,1.63,1.63,1121
7/3/2025,OV8.SG,SHENG SIONG.SG,1.63,1.64,1.63,1.64,1029
10/3/2025,OV8.SG,SHENG SIONG.SG,1.64,1.65,1.63,1.65,942
11/3/2025,OV8.SG,SHENG SIONG.SG,1.64,1.65,1.62,1.64,1509
12/3/2025,OV8.SG,SHENG SIONG.SG,1.63,1.64,1.63,1.64,1220
13/3/2025,OV8.SG,SHENG SIONG.SG,1.63,1.64,1.62,1.63,2448
14/3/2025,OV8.SG,SHENG SIONG.SG,1.63,1.64,1.62,1.63,1994
17/3/2025,OV8.SG,SHENG SIONG.SG,1.63,1.63,1.62,1.63,739
18/3/2025,OV8.SG,SHENG SIONG.SG,1.63,1.64,1.62,1.63,2107
19/3/2025,OV8.SG,SHENG SIONG.SG,1.63,1.64,1.62,1.62,936
20/3/2025,OV8.SG,SHENG SIONG.SG,1.63,1.64,1.63,1.63,523
21/3/2025,OV8.SG,SHENG SIONG.SG,1.64,1.64,1.63,1.64,784
24/3/2025,OV8.SG,SHENG SIONG.SG,1.64,1.64,1.63,1.64,831
25/3/2025,OV8.SG,SHENG SIONG.SG,1.63,1.64,1.63,1.63,334
26/3/2025,OV8.SG,SHENG SIONG.SG,1.63,1.64,1.62,1.64,1706
27/3/2025,OV8.SG,SHENG SIONG.SG,1.64,1.64,1.63,1.64,1260
28/3/2025,OV8.SG,SHENG SIONG.SG,1.64,1.64,1.63,1.64,628
1/4/2025,OV8.SG,SHENG SIONG.SG,1.64,1.64,1.63,1.64,1089
2/4/2025,OV8.SG,SHENG SIONG.SG,1.64,1.65,1.63,1.64,1178
3/4/2025,OV8.SG,SHENG SIONG.SG,1.65,1.65,1.64,1.64,534
4/4/2025,OV8.SG,SHENG SIONG.SG,1.65,1.65,1.63,1.65,1738
7/4/2025,OV8.SG,SHENG SIONG.SG,1.63,1.64,1.57,1.59,5061
8/4/2025,OV8.SG,SHENG SIONG.SG,1.59,1.61,1.57,1.59,2427
9/4/2025,OV8.SG,SHENG SIONG.SG,1.59,1.62,1.58,1.61,3423
10/4/2025,OV8.SG,SHENG SIONG.SG,1.63,1.67,1.62,1.62,2466
11/4/2025,OV8.SG,SHENG SIONG.SG,1.62,1.65,1.62,1.65,1772
14/4/2025,OV8.SG,SHENG SIONG.SG,1.65,1.66,1.64,1.65,2659
15/4/2025,OV8.SG,SHENG SIONG.SG,1.65,1.66,1.64,1.66,4196
16/4/2025,OV8.SG,SHENG SIONG.SG,1.66,1.67,1.64,1.66,4041
17/4/2025,OV8.SG,SHENG SIONG.SG,1.66,1.67,1.66,1.67,2677
21/4/2025,OV8.SG,SHENG SIONG.SG,1.67,1.72,1.67,1.72,7605
22/4/2025,OV8.SG,SHENG SIONG.SG,1.71,1.76,1.71,1.76,7787
23/4/2025,OV8.SG,SHENG SIONG.SG,1.76,1.77,1.75,1.76,3409
