Date,Code,Shortname,Open,High,Low,Close,Vol
2/1/2025,OYY.SG,PROPNEX.SG,0.945,0.97,0.945,0.95,678
3/1/2025,OYY.SG,PROPNEX.SG,0.95,0.955,0.935,0.94,572
6/1/2025,OYY.SG,PROPNEX.SG,0.945,0.95,0.94,0.945,118
7/1/2025,OYY.SG,PROPNEX.SG,0.97,0.97,0.95,0.965,786
8/1/2025,OYY.SG,PROPNEX.SG,0.965,0.99,0.965,0.99,1506
9/1/2025,OYY.SG,PROPNEX.SG,0.99,0.99,0.97,0.975,685
10/1/2025,OYY.SG,PROPNEX.SG,0.975,0.99,0.975,0.99,403
13/1/2025,OYY.SG,PROPNEX.SG,0.99,0.995,0.97,0.975,524
14/1/2025,OYY.SG,PROPNEX.SG,0.975,0.98,0.97,0.97,262
15/1/2025,OYY.SG,PROPNEX.SG,0.97,0.98,0.97,0.97,171
16/1/2025,OYY.SG,PROPNEX.SG,0.975,0.99,0.97,0.99,520
17/1/2025,OYY.SG,PROPNEX.SG,0.985,1.04,0.985,1.03,2409
20/1/2025,OYY.SG,PROPNEX.SG,1.03,1.07,1.02,1.07,996
21/1/2025,OYY.SG,PROPNEX.SG,1.07,1.08,1.05,1.07,1647
22/1/2025,OYY.SG,PROPNEX.SG,1.07,1.08,1.05,1.06,269
23/1/2025,OYY.SG,PROPNEX.SG,1.06,1.06,1.05,1.05,382
24/1/2025,OYY.SG,PROPNEX.SG,1.05,1.06,1.04,1.05,269
27/1/2025,OYY.SG,PROPNEX.SG,1.05,1.06,1.04,1.04,309
28/1/2025,OYY.SG,PROPNEX.SG,1.04,1.09,1.04,1.08,874
31/1/2025,OYY.SG,PROPNEX.SG,1.08,1.1,1.08,1.1,729
3/2/2025,OYY.SG,PROPNEX.SG,1.09,1.09,1.06,1.07,621
4/2/2025,OYY.SG,PROPNEX.SG,1.08,1.09,1.06,1.09,592
5/2/2025,OYY.SG,PROPNEX.SG,1.09,1.1,1.08,1.1,233
6/2/2025,OYY.SG,PROPNEX.SG,1.09,1.1,1.08,1.1,348
7/2/2025,OYY.SG,PROPNEX.SG,1.09,1.09,1.07,1.08,384
10/2/2025,OYY.SG,PROPNEX.SG,1.09,1.15,1.09,1.13,2789
11/2/2025,OYY.SG,PROPNEX.SG,1.14,1.14,1.12,1.12,527
12/2/2025,OYY.SG,PROPNEX.SG,1.12,1.14,1.12,1.14,372
13/2/2025,OYY.SG,PROPNEX.SG,1.14,1.14,1.11,1.13,743
