Date,Code,Shortname,Open,High,Low,Close,Vol
2/1/2025,P52.SG,PANUNITED.SG,0.56,0.56,0.56,0.56,158.0
3/1/2025,P52.SG,PANUNITED.SG,0.56,0.56,0.55,0.56,26.0
6/1/2025,P52.SG,PANUNITED.SG,0.56,0.565,0.555,0.56,63.0
7/1/2025,P52.SG,PANUNITED.SG,0.56,0.565,0.56,0.56,9.0
8/1/2025,P52.SG,PANUNITED.SG,0.56,0.565,0.56,0.56,84.0
9/1/2025,P52.SG,PANUNITED.SG,0.565,0.57,0.56,0.565,110.0
10/1/2025,P52.SG,PANUNITED.SG,0.565,0.565,0.56,0.56,6.0
13/1/2025,P52.SG,PANUNITED.SG,0.555,0.56,0.55,0.56,52.0
14/1/2025,P52.SG,PANUNITED.SG,0.565,0.565,0.56,0.56,91.0
15/1/2025,P52.SG,PANUNITED.SG,0.56,0.565,0.56,0.565,67.0
16/1/2025,P52.SG,PANUNITED.SG,0.565,0.57,0.565,0.57,54.0
17/1/2025,P52.SG,PANUNITED.SG,0.565,0.565,0.555,0.56,66.0
20/1/2025,P52.SG,PANUNITED.SG,0.565,0.625,0.56,0.62,749.0
21/1/2025,P52.SG,PANUNITED.SG,0.61,0.615,0.605,0.615,83.0
22/1/2025,P52.SG,PANUNITED.SG,0.61,0.61,0.595,0.6,219.0
23/1/2025,P52.SG,PANUNITED.SG,0.61,0.62,0.61,0.615,257.0
24/1/2025,P52.SG,PANUNITED.SG,0.615,0.635,0.615,0.625,722.0
27/1/2025,P52.SG,PANUNITED.SG,0.625,0.635,0.62,0.625,185.0
28/1/2025,P52.SG,PANUNITED.SG,0.625,0.63,0.625,0.63,94.0
31/1/2025,P52.SG,PANUNITED.SG,0.63,0.64,0.625,0.63,270.0
3/2/2025,P52.SG,PANUNITED.SG,0.63,0.63,0.625,0.625,127.0
4/2/2025,P52.SG,PANUNITED.SG,0.63,0.655,0.63,0.645,994.0
5/2/2025,P52.SG,PANUNITED.SG,0.65,0.65,0.635,0.64,271.0
6/2/2025,P52.SG,PANUNITED.SG,0.645,0.65,0.64,0.645,199.0
7/2/2025,P52.SG,PANUNITED.SG,0.65,0.65,0.635,0.635,303.0
10/2/2025,P52.SG,PANUNITED.SG,0.635,0.645,0.62,0.635,163.0
11/2/2025,P52.SG,PANUNITED.SG,0.63,0.635,0.625,0.63,208.0
12/2/2025,P52.SG,PANUNITED.SG,0.625,0.63,0.625,0.625,186.0
13/2/2025,P52.SG,PANUNITED.SG,0.625,0.625,0.62,0.62,252.0
14/2/2025,P52.SG,PANUNITED.SG,0.62,0.63,0.62,0.62,189.0
17/2/2025,P52.SG,PANUNITED.SG,0.62,0.63,0.62,0.62,72.0
18/2/2025,P52.SG,PANUNITED.SG,0.62,0.63,0.62,0.63,144.0
19/2/2025,P52.SG,PANUNITED.SG,0.63,0.63,0.625,0.63,60.0
20/2/2025,P52.SG,PANUNITED.SG,0.625,0.625,0.625,0.625,29.0
21/2/2025,P52.SG,PANUNITED.SG,0.625,0.625,0.62,0.62,135.0
24/2/2025,P52.SG,PANUNITED.SG,0.62,0.63,0.62,0.62,286.0
25/2/2025,P52.SG,PANUNITED.SG,0.62,0.625,0.62,0.62,50.0
26/2/2025,P52.SG,PANUNITED.SG,0.62,0.625,0.6,0.61,915.0
27/2/2025,P52.SG,PANUNITED.SG,0.61,0.615,0.6,0.615,283.0
28/2/2025,P52.SG,PANUNITED.SG,0.615,0.625,0.615,0.625,261.0
3/3/2025,P52.SG,PANUNITED.SG,0.62,0.625,0.62,0.625,84.0
4/3/2025,P52.SG,PANUNITED.SG,0.62,0.62,0.615,0.62,75.0
5/3/2025,P52.SG,PANUNITED.SG,0.62,0.625,0.615,0.625,21.0
6/3/2025,P52.SG,PANUNITED.SG,0.62,0.625,0.615,0.625,37.0
7/3/2025,P52.SG,PANUNITED.SG,0.615,0.62,0.61,0.615,105.0
10/3/2025,P52.SG,PANUNITED.SG,0.615,0.625,0.615,0.625,91.0
11/3/2025,P52.SG,PANUNITED.SG,0.615,0.615,0.605,0.61,122.0
12/3/2025,P52.SG,PANUNITED.SG,0.61,0.62,0.61,0.62,34.0
13/3/2025,P52.SG,PANUNITED.SG,0.62,0.62,0.62,0.62,2.0
14/3/2025,P52.SG,PANUNITED.SG,0.62,0.625,0.62,0.625,49.0
17/3/2025,P52.SG,PANUNITED.SG,0.625,0.63,0.625,0.63,19.0
18/3/2025,P52.SG,PANUNITED.SG,0.63,0.635,0.625,0.635,88.0
19/3/2025,P52.SG,PANUNITED.SG,0.63,0.635,0.63,0.63,35.0
20/3/2025,P52.SG,PANUNITED.SG,0.63,0.63,0.62,0.625,43.0
21/3/2025,P52.SG,PANUNITED.SG,0.62,0.63,0.62,0.63,38.0
24/3/2025,P52.SG,PANUNITED.SG,0.625,0.625,0.62,0.62,38.0
25/3/2025,P52.SG,PANUNITED.SG,0.62,0.63,0.62,0.62,57.0
26/3/2025,P52.SG,PANUNITED.SG,0.63,0.635,0.625,0.63,32.0
27/3/2025,P52.SG,PANUNITED.SG,0.63,0.655,0.63,0.65,414.0
28/3/2025,P52.SG,PANUNITED.SG,0.65,0.66,0.645,0.645,296.0
1/4/2025,P52.SG,PANUNITED.SG,0.65,0.65,0.64,0.645,117.0
2/4/2025,P52.SG,PANUNITED.SG,0.645,0.645,0.635,0.635,98.0
3/4/2025,P52.SG,PANUNITED.SG,0.63,0.635,0.63,0.635,99.0
4/4/2025,P52.SG,PANUNITED.SG,0.63,0.63,0.61,0.625,557.0
7/4/2025,P52.SG,PANUNITED.SG,0.61,0.61,0.57,0.575,1532.0
8/4/2025,P52.SG,PANUNITED.SG,0.57,0.6,0.57,0.6,476.0
9/4/2025,P52.SG,PANUNITED.SG,0.595,0.6,0.59,0.6,175.0
10/4/2025,P52.SG,PANUNITED.SG,0.62,0.62,0.61,0.615,86.0
11/4/2025,P52.SG,PANUNITED.SG,0.6,0.63,0.6,0.625,160.0
14/4/2025,P52.SG,PANUNITED.SG,0.625,0.625,0.62,0.62,247.0
15/4/2025,P52.SG,PANUNITED.SG,0.625,0.63,0.62,0.63,15.0
16/4/2025,P52.SG,PANUNITED.SG,0.63,0.63,0.625,0.625,42.0
17/4/2025,P52.SG,PANUNITED.SG,0.625,0.63,0.625,0.63,2.0
21/4/2025,P52.SG,PANUNITED.SG,0.63,0.63,0.6,0.625,130.0
22/4/2025,P52.SG,PANUNITED.SG,0.625,0.645,0.625,0.63,2326.0
23/4/2025,P52.SG,PANUNITED.SG,0.645,0.645,0.635,0.64,91.0
24/4/2025,P52.SG,PANUNITED.SG,0.64,0.64,0.635,0.635,29.0
25/4/2025,P52.SG,PANUNITED.SG,0.63,0.635,0.63,0.635,219.0
28/4/2025,P52.SG,PANUNITED.SG,0.635,0.65,0.635,0.65,237.0
29/4/2025,P52.SG,PANUNITED.SG,0.65,0.685,0.645,0.68,621.0
30/4/2025,P52.SG,PANUNITED.SG,0.68,0.69,0.675,0.675,213.0
2/5/2025,P52.SG,PANUNITED.SG,0.68,0.685,0.68,0.685,243.0
5/5/2025,P52.SG,PANUNITED.SG,0.685,0.705,0.68,0.7,3190.0
6/5/2025,P52.SG,PANUNITED.SG,0.675,0.695,0.675,0.695,622.0
7/5/2025,P52.SG,PANUNITED.SG,0.69,0.725,0.69,0.715,716.0
8/5/2025,P52.SG,PANUNITED.SG,0.715,0.715,0.7,0.71,332.0
9/5/2025,P52.SG,PANUNITED.SG,0.705,0.705,0.7,0.7,144.0
13/5/2025,P52.SG,PANUNITED.SG,0.7,0.72,0.7,0.72,260.0
14/5/2025,P52.SG,PANUNITED.SG,0.715,0.725,0.715,0.72,467.0
15/5/2025,P52.SG,PANUNITED.SG,0.725,0.74,0.72,0.74,2869.0
16/5/2025,P52.SG,PANUNITED.SG,0.74,0.75,0.725,0.73,2053.0
19/5/2025,P52.SG,PANUNITED.SG,0.73,0.735,0.73,0.735,208.0
20/5/2025,P52.SG,PANUNITED.SG,0.735,0.735,0.705,0.705,329.0
21/5/2025,P52.SG,PANUNITED.SG,0.71,0.73,0.71,0.72,72.0
22/5/2025,P52.SG,PANUNITED.SG,0.725,0.725,0.69,0.695,233.0
23/5/2025,P52.SG,PANUNITED.SG,0.695,0.725,0.695,0.725,225.0
26/5/2025,P52.SG,PANUNITED.SG,0.725,0.73,0.705,0.705,419.0
27/5/2025,P52.SG,PANUNITED.SG,0.705,0.735,0.705,0.73,505.0
28/5/2025,P52.SG,PANUNITED.SG,0.73,0.75,0.73,0.735,702.0
29/5/2025,P52.SG,PANUNITED.SG,0.735,0.745,0.735,0.735,101.0
30/5/2025,P52.SG,PANUNITED.SG,0.735,0.745,0.73,0.745,146.0
2/6/2025,P52.SG,PANUNITED.SG,0.745,0.75,0.74,0.75,681.0
3/6/2025,P52.SG,PANUNITED.SG,0.755,0.765,0.755,0.765,863.0
4/6/2025,P52.SG,PANUNITED.SG,0.765,0.765,0.755,0.76,314.0
5/6/2025,P52.SG,PANUNITED.SG,0.76,0.765,0.755,0.755,184.0
6/6/2025,P52.SG,PANUNITED.SG,0.755,0.765,0.755,0.765,131.0
9/6/2025,P52.SG,PANUNITED.SG,0.765,0.78,0.765,0.78,1290.0
10/6/2025,P52.SG,PANUNITED.SG,0.775,0.785,0.775,0.78,546.0
11/6/2025,P52.SG,PANUNITED.SG,0.775,0.785,0.775,0.775,94.0
12/6/2025,P52.SG,PANUNITED.SG,0.78,0.78,0.775,0.78,105.0
13/6/2025,P52.SG,PANUNITED.SG,0.775,0.78,0.765,0.77,361.0
16/6/2025,P52.SG,PANUNITED.SG,0.77,0.78,0.765,0.765,479.0
17/6/2025,P52.SG,PANUNITED.SG,0.78,0.79,0.775,0.78,397.0
18/6/2025,P52.SG,PANUNITED.SG,0.78,0.79,0.78,0.79,320.0
19/6/2025,P52.SG,PANUNITED.SG,0.79,0.8,0.775,0.785,2134.0
20/6/2025,P52.SG,PANUNITED.SG,0.785,0.8,0.78,0.8,393.0
23/6/2025,P52.SG,PANUNITED.SG,0.795,0.795,0.77,0.775,443.0
24/6/2025,P52.SG,PANUNITED.SG,0.785,0.8,0.785,0.8,598.0
25/6/2025,P52.SG,PANUNITED.SG,0.8,0.8,0.79,0.79,105.0
