Date,Code,Shortname,Open,High,Low,Close,Vol
2/1/2025,P8Z.SG,BUMITAMA AGRI.SG,0.875,0.88,0.855,0.855,158
3/1/2025,P8Z.SG,BUMITAMA AGRI.SG,0.855,0.865,0.855,0.865,252
6/1/2025,P8Z.SG,BUMITAMA AGRI.SG,0.865,0.87,0.85,0.855,355
7/1/2025,P8Z.SG,BUMITAMA AGRI.SG,0.865,0.87,0.85,0.85,329
8/1/2025,P8Z.SG,BUMITAMA AGRI.SG,0.855,0.86,0.855,0.855,121
9/1/2025,P8Z.SG,BUMITAMA AGRI.SG,0.855,0.855,0.845,0.845,172
10/1/2025,P8Z.SG,BUMITAMA AGRI.SG,0.845,0.845,0.82,0.84,702
13/1/2025,P8Z.SG,BUMITAMA AGRI.SG,0.84,0.855,0.84,0.845,299
14/1/2025,P8Z.SG,BUMITAMA AGRI.SG,0.85,0.86,0.85,0.85,160
15/1/2025,P8Z.SG,BUMITAMA AGRI.SG,0.855,0.86,0.835,0.84,289
16/1/2025,P8Z.SG,BUMITAMA AGRI.SG,0.84,0.85,0.82,0.825,370
17/1/2025,P8Z.SG,BUMITAMA AGRI.SG,0.82,0.84,0.82,0.84,141
20/1/2025,P8Z.SG,BUMITAMA AGRI.SG,0.835,0.845,0.83,0.84,157
21/1/2025,P8Z.SG,BUMITAMA AGRI.SG,0.84,0.845,0.84,0.84,118
22/1/2025,P8Z.SG,BUMITAMA AGRI.SG,0.84,0.845,0.835,0.845,124
23/1/2025,P8Z.SG,BUMITAMA AGRI.SG,0.845,0.85,0.835,0.845,174
24/1/2025,P8Z.SG,BUMITAMA AGRI.SG,0.84,0.845,0.84,0.845,98
27/1/2025,P8Z.SG,BUMITAMA AGRI.SG,0.85,0.85,0.84,0.84,195
28/1/2025,P8Z.SG,BUMITAMA AGRI.SG,0.84,0.845,0.835,0.835,120
31/1/2025,P8Z.SG,BUMITAMA AGRI.SG,0.84,0.85,0.83,0.84,439
3/2/2025,P8Z.SG,BUMITAMA AGRI.SG,0.84,0.84,0.805,0.805,1484
4/2/2025,P8Z.SG,BUMITAMA AGRI.SG,0.805,0.81,0.795,0.8,742
5/2/2025,P8Z.SG,BUMITAMA AGRI.SG,0.8,0.805,0.795,0.795,730
6/2/2025,P8Z.SG,BUMITAMA AGRI.SG,0.79,0.795,0.79,0.795,563
7/2/2025,P8Z.SG,BUMITAMA AGRI.SG,0.795,0.795,0.78,0.795,753
10/2/2025,P8Z.SG,BUMITAMA AGRI.SG,0.795,0.81,0.795,0.81,314
11/2/2025,P8Z.SG,BUMITAMA AGRI.SG,0.81,0.815,0.8,0.8,188
12/2/2025,P8Z.SG,BUMITAMA AGRI.SG,0.8,0.825,0.8,0.82,598
13/2/2025,P8Z.SG,BUMITAMA AGRI.SG,0.82,0.82,0.81,0.815,248
14/2/2025,P8Z.SG,BUMITAMA AGRI.SG,0.82,0.835,0.815,0.835,519
17/2/2025,P8Z.SG,BUMITAMA AGRI.SG,0.83,0.835,0.825,0.83,182
18/2/2025,P8Z.SG,BUMITAMA AGRI.SG,0.83,0.83,0.825,0.83,243
19/2/2025,P8Z.SG,BUMITAMA AGRI.SG,0.83,0.835,0.82,0.83,602
20/2/2025,P8Z.SG,BUMITAMA AGRI.SG,0.83,0.835,0.82,0.835,290
21/2/2025,P8Z.SG,BUMITAMA AGRI.SG,0.83,0.835,0.825,0.825,180
24/2/2025,P8Z.SG,BUMITAMA AGRI.SG,0.825,0.825,0.81,0.815,532
25/2/2025,P8Z.SG,BUMITAMA AGRI.SG,0.815,0.82,0.805,0.82,237
26/2/2025,P8Z.SG,BUMITAMA AGRI.SG,0.82,0.83,0.815,0.83,327
27/2/2025,P8Z.SG,BUMITAMA AGRI.SG,0.83,0.83,0.805,0.81,416
28/2/2025,P8Z.SG,BUMITAMA AGRI.SG,0.82,0.83,0.815,0.82,615
3/3/2025,P8Z.SG,BUMITAMA AGRI.SG,0.835,0.865,0.83,0.85,1970
