Date,Code,Shortname,Open,High,Low,Close,Vol
2/1/2025,QC7.SG,Q&M DENTAL.SG,0.28,0.28,0.28,0.28,16
3/1/2025,QC7.SG,Q&M DENTAL.SG,0.28,0.28,0.275,0.28,198
6/1/2025,QC7.SG,Q&M DENTAL.SG,0.275,0.28,0.27,0.28,44
7/1/2025,QC7.SG,Q&M DENTAL.SG,0.275,0.275,0.275,0.275,218
8/1/2025,QC7.SG,Q&M DENTAL.SG,0.275,0.285,0.275,0.285,802
9/1/2025,QC7.SG,Q&M DENTAL.SG,0.285,0.295,0.285,0.285,978
10/1/2025,QC7.SG,Q&M DENTAL.SG,0.28,0.285,0.28,0.285,416
13/1/2025,QC7.SG,Q&M DENTAL.SG,0.285,0.285,0.28,0.28,138
14/1/2025,QC7.SG,Q&M DENTAL.SG,0.28,0.285,0.28,0.28,246
15/1/2025,QC7.SG,Q&M DENTAL.SG,0.28,0.28,0.275,0.275,200
16/1/2025,QC7.SG,Q&M DENTAL.SG,0.275,0.28,0.275,0.275,154
17/1/2025,QC7.SG,Q&M DENTAL.SG,0.275,0.28,0.275,0.275,389
20/1/2025,QC7.SG,Q&M DENTAL.SG,0.275,0.28,0.275,0.28,103
21/1/2025,QC7.SG,Q&M DENTAL.SG,0.275,0.275,0.275,0.275,60
22/1/2025,QC7.SG,Q&M DENTAL.SG,0.275,0.28,0.275,0.275,199
23/1/2025,QC7.SG,Q&M DENTAL.SG,0.275,0.28,0.275,0.275,124
24/1/2025,QC7.SG,Q&M DENTAL.SG,0.275,0.275,0.275,0.275,132
27/1/2025,QC7.SG,Q&M DENTAL.SG,0.275,0.28,0.275,0.275,140
28/1/2025,QC7.SG,Q&M DENTAL.SG,0.275,0.275,0.275,0.275,48
31/1/2025,QC7.SG,Q&M DENTAL.SG,0.28,0.285,0.28,0.285,403
3/2/2025,QC7.SG,Q&M DENTAL.SG,0.285,0.285,0.28,0.28,64
4/2/2025,QC7.SG,Q&M DENTAL.SG,0.275,0.28,0.275,0.28,76
5/2/2025,QC7.SG,Q&M DENTAL.SG,0.28,0.28,0.275,0.275,38
6/2/2025,QC7.SG,Q&M DENTAL.SG,0.28,0.28,0.28,0.28,0
7/2/2025,QC7.SG,Q&M DENTAL.SG,0.28,0.28,0.275,0.275,128
10/2/2025,QC7.SG,Q&M DENTAL.SG,0.275,0.28,0.275,0.28,1
11/2/2025,QC7.SG,Q&M DENTAL.SG,0.28,0.28,0.275,0.275,176
12/2/2025,QC7.SG,Q&M DENTAL.SG,0.285,0.285,0.275,0.275,85
13/2/2025,QC7.SG,Q&M DENTAL.SG,0.275,0.28,0.275,0.28,730
14/2/2025,QC7.SG,Q&M DENTAL.SG,0.28,0.285,0.28,0.28,461
17/2/2025,QC7.SG,Q&M DENTAL.SG,0.285,0.285,0.285,0.285,203
18/2/2025,QC7.SG,Q&M DENTAL.SG,0.285,0.29,0.28,0.285,456
19/2/2025,QC7.SG,Q&M DENTAL.SG,0.29,0.305,0.29,0.3,1127
20/2/2025,QC7.SG,Q&M DENTAL.SG,0.295,0.295,0.29,0.29,298
21/2/2025,QC7.SG,Q&M DENTAL.SG,0.29,0.3,0.29,0.295,150
24/2/2025,QC7.SG,Q&M DENTAL.SG,0.295,0.295,0.28,0.29,1200
25/2/2025,QC7.SG,Q&M DENTAL.SG,0.29,0.295,0.29,0.29,392
26/2/2025,QC7.SG,Q&M DENTAL.SG,0.29,0.29,0.285,0.29,426
27/2/2025,QC7.SG,Q&M DENTAL.SG,0.29,0.29,0.285,0.29,184
28/2/2025,QC7.SG,Q&M DENTAL.SG,0.285,0.285,0.28,0.285,273
3/3/2025,QC7.SG,Q&M DENTAL.SG,0.285,0.29,0.28,0.28,738
4/3/2025,QC7.SG,Q&M DENTAL.SG,0.29,0.29,0.285,0.285,558
5/3/2025,QC7.SG,Q&M DENTAL.SG,0.285,0.295,0.285,0.29,600
6/3/2025,QC7.SG,Q&M DENTAL.SG,0.29,0.3,0.29,0.295,1525
7/3/2025,QC7.SG,Q&M DENTAL.SG,0.295,0.295,0.29,0.295,319
10/3/2025,QC7.SG,Q&M DENTAL.SG,0.3,0.305,0.295,0.305,1947
11/3/2025,QC7.SG,Q&M DENTAL.SG,0.3,0.305,0.295,0.3,1605
12/3/2025,QC7.SG,Q&M DENTAL.SG,0.3,0.3,0.29,0.29,723
13/3/2025,QC7.SG,Q&M DENTAL.SG,0.295,0.3,0.295,0.3,842
14/3/2025,QC7.SG,Q&M DENTAL.SG,0.3,0.305,0.295,0.3,1543
17/3/2025,QC7.SG,Q&M DENTAL.SG,0.3,0.3,0.295,0.295,450
18/3/2025,QC7.SG,Q&M DENTAL.SG,0.295,0.3,0.295,0.3,607
19/3/2025,QC7.SG,Q&M DENTAL.SG,0.3,0.3,0.295,0.3,341
20/3/2025,QC7.SG,Q&M DENTAL.SG,0.3,0.3,0.295,0.295,176
21/3/2025,QC7.SG,Q&M DENTAL.SG,0.295,0.3,0.29,0.29,450
24/3/2025,QC7.SG,Q&M DENTAL.SG,0.295,0.3,0.29,0.295,389
25/3/2025,QC7.SG,Q&M DENTAL.SG,0.295,0.3,0.295,0.3,191
26/3/2025,QC7.SG,Q&M DENTAL.SG,0.295,0.3,0.29,0.29,302
27/3/2025,QC7.SG,Q&M DENTAL.SG,0.295,0.295,0.29,0.29,153
28/3/2025,QC7.SG,Q&M DENTAL.SG,0.29,0.3,0.29,0.295,843
1/4/2025,QC7.SG,Q&M DENTAL.SG,0.295,0.3,0.295,0.3,666
2/4/2025,QC7.SG,Q&M DENTAL.SG,0.3,0.305,0.295,0.3,1081
3/4/2025,QC7.SG,Q&M DENTAL.SG,0.3,0.3,0.3,0.3,165
4/4/2025,QC7.SG,Q&M DENTAL.SG,0.3,0.3,0.29,0.295,978
7/4/2025,QC7.SG,Q&M DENTAL.SG,0.29,0.29,0.265,0.265,2841
8/4/2025,QC7.SG,Q&M DENTAL.SG,0.27,0.27,0.26,0.265,866
9/4/2025,QC7.SG,Q&M DENTAL.SG,0.265,0.265,0.245,0.245,1294
10/4/2025,QC7.SG,Q&M DENTAL.SG,0.265,0.27,0.26,0.26,390
11/4/2025,QC7.SG,Q&M DENTAL.SG,0.265,0.265,0.265,0.265,146
14/4/2025,QC7.SG,Q&M DENTAL.SG,0.265,0.27,0.265,0.265,456
15/4/2025,QC7.SG,Q&M DENTAL.SG,0.265,0.275,0.265,0.275,379
16/4/2025,QC7.SG,Q&M DENTAL.SG,0.275,0.275,0.27,0.27,63
17/4/2025,QC7.SG,Q&M DENTAL.SG,0.27,0.28,0.27,0.28,143
