Date,Code,Shortname,Open,High,Low,Close,Vol
2/1/2025,QES.SG,CHINASUNSINE.SG,0.445,0.445,0.44,0.445,402
3/1/2025,QES.SG,CHINASUNSINE.SG,0.45,0.45,0.44,0.445,1099
6/1/2025,QES.SG,CHINASUNSINE.SG,0.45,0.46,0.44,0.44,919
7/1/2025,QES.SG,CHINASUNSINE.SG,0.445,0.445,0.44,0.44,74
8/1/2025,QES.SG,CHINASUNSINE.SG,0.445,0.445,0.445,0.445,146
9/1/2025,QES.SG,CHINASUNSINE.SG,0.45,0.455,0.45,0.45,168
10/1/2025,QES.SG,CHINASUNSINE.SG,0.45,0.45,0.445,0.45,26
13/1/2025,QES.SG,CHINASUNSINE.SG,0.445,0.45,0.445,0.445,139
14/1/2025,QES.SG,CHINASUNSINE.SG,0.445,0.45,0.44,0.44,174
15/1/2025,QES.SG,CHINASUNSINE.SG,0.44,0.445,0.44,0.44,198
16/1/2025,QES.SG,CHINASUNSINE.SG,0.44,0.445,0.435,0.44,296
17/1/2025,QES.SG,CHINASUNSINE.SG,0.445,0.445,0.445,0.445,13
20/1/2025,QES.SG,CHINASUNSINE.SG,0.445,0.445,0.435,0.44,86
21/1/2025,QES.SG,CHINASUNSINE.SG,0.445,0.45,0.44,0.44,189
22/1/2025,QES.SG,CHINASUNSINE.SG,0.445,0.445,0.44,0.44,41
23/1/2025,QES.SG,CHINASUNSINE.SG,0.44,0.445,0.44,0.44,84
24/1/2025,QES.SG,CHINASUNSINE.SG,0.44,0.445,0.44,0.445,81
27/1/2025,QES.SG,CHINASUNSINE.SG,0.445,0.445,0.44,0.445,102
28/1/2025,QES.SG,CHINASUNSINE.SG,0.44,0.445,0.44,0.44,33
31/1/2025,QES.SG,CHINASUNSINE.SG,0.44,0.445,0.44,0.445,101
3/2/2025,QES.SG,CHINASUNSINE.SG,0.445,0.445,0.435,0.445,130
4/2/2025,QES.SG,CHINASUNSINE.SG,0.445,0.445,0.44,0.445,140
5/2/2025,QES.SG,CHINASUNSINE.SG,0.445,0.45,0.445,0.45,153
6/2/2025,QES.SG,CHINASUNSINE.SG,0.45,0.45,0.445,0.445,124
7/2/2025,QES.SG,CHINASUNSINE.SG,0.445,0.455,0.445,0.455,70
10/2/2025,QES.SG,CHINASUNSINE.SG,0.455,0.455,0.45,0.45,3
11/2/2025,QES.SG,CHINASUNSINE.SG,0.45,0.45,0.45,0.45,21
12/2/2025,QES.SG,CHINASUNSINE.SG,0.45,0.47,0.45,0.46,839
13/2/2025,QES.SG,CHINASUNSINE.SG,0.46,0.46,0.46,0.46,411
14/2/2025,QES.SG,CHINASUNSINE.SG,0.46,0.47,0.46,0.47,159
17/2/2025,QES.SG,CHINASUNSINE.SG,0.47,0.475,0.47,0.475,808
18/2/2025,QES.SG,CHINASUNSINE.SG,0.47,0.48,0.47,0.48,437
19/2/2025,QES.SG,CHINASUNSINE.SG,0.48,0.485,0.475,0.475,254
20/2/2025,QES.SG,CHINASUNSINE.SG,0.475,0.475,0.475,0.475,251
21/2/2025,QES.SG,CHINASUNSINE.SG,0.475,0.48,0.475,0.48,221
24/2/2025,QES.SG,CHINASUNSINE.SG,0.48,0.48,0.475,0.48,212
25/2/2025,QES.SG,CHINASUNSINE.SG,0.475,0.48,0.475,0.475,27
26/2/2025,QES.SG,CHINASUNSINE.SG,0.475,0.49,0.475,0.48,748
27/2/2025,QES.SG,CHINASUNSINE.SG,0.485,0.485,0.475,0.48,1027
28/2/2025,QES.SG,CHINASUNSINE.SG,0.48,0.48,0.47,0.475,673
3/3/2025,QES.SG,CHINASUNSINE.SG,0.48,0.48,0.475,0.48,1107
4/3/2025,QES.SG,CHINASUNSINE.SG,0.475,0.48,0.475,0.475,315
5/3/2025,QES.SG,CHINASUNSINE.SG,0.48,0.48,0.475,0.475,404
6/3/2025,QES.SG,CHINASUNSINE.SG,0.475,0.475,0.47,0.475,636
7/3/2025,QES.SG,CHINASUNSINE.SG,0.475,0.475,0.475,0.475,293
10/3/2025,QES.SG,CHINASUNSINE.SG,0.475,0.475,0.475,0.475,443
11/3/2025,QES.SG,CHINASUNSINE.SG,0.475,0.475,0.47,0.475,442
12/3/2025,QES.SG,CHINASUNSINE.SG,0.475,0.48,0.475,0.48,625
13/3/2025,QES.SG,CHINASUNSINE.SG,0.48,0.48,0.475,0.48,267
14/3/2025,QES.SG,CHINASUNSINE.SG,0.48,0.48,0.48,0.48,486
17/3/2025,QES.SG,CHINASUNSINE.SG,0.48,0.485,0.48,0.485,1174
18/3/2025,QES.SG,CHINASUNSINE.SG,0.485,0.5,0.485,0.5,564
19/3/2025,QES.SG,CHINASUNSINE.SG,0.5,0.515,0.5,0.515,909
20/3/2025,QES.SG,CHINASUNSINE.SG,0.515,0.525,0.515,0.52,1390
21/3/2025,QES.SG,CHINASUNSINE.SG,0.52,0.53,0.515,0.525,1039
24/3/2025,QES.SG,CHINASUNSINE.SG,0.525,0.525,0.515,0.52,1120
25/3/2025,QES.SG,CHINASUNSINE.SG,0.52,0.52,0.515,0.52,399
26/3/2025,QES.SG,CHINASUNSINE.SG,0.52,0.545,0.52,0.545,1929
27/3/2025,QES.SG,CHINASUNSINE.SG,0.545,0.55,0.54,0.54,950
28/3/2025,QES.SG,CHINASUNSINE.SG,0.54,0.545,0.535,0.545,465
1/4/2025,QES.SG,CHINASUNSINE.SG,0.545,0.555,0.54,0.54,1502
2/4/2025,QES.SG,CHINASUNSINE.SG,0.545,0.545,0.535,0.545,2045
3/4/2025,QES.SG,CHINASUNSINE.SG,0.54,0.545,0.54,0.54,596
4/4/2025,QES.SG,CHINASUNSINE.SG,0.54,0.54,0.51,0.515,1231
7/4/2025,QES.SG,CHINASUNSINE.SG,0.49,0.49,0.46,0.46,2707
8/4/2025,QES.SG,CHINASUNSINE.SG,0.465,0.505,0.465,0.505,1428
9/4/2025,QES.SG,CHINASUNSINE.SG,0.505,0.505,0.485,0.495,395
10/4/2025,QES.SG,CHINASUNSINE.SG,0.49,0.505,0.48,0.505,417
11/4/2025,QES.SG,CHINASUNSINE.SG,0.5,0.505,0.49,0.5,167
14/4/2025,QES.SG,CHINASUNSINE.SG,0.505,0.515,0.505,0.51,391
15/4/2025,QES.SG,CHINASUNSINE.SG,0.515,0.525,0.515,0.52,316
16/4/2025,QES.SG,CHINASUNSINE.SG,0.52,0.535,0.52,0.53,424
17/4/2025,QES.SG,CHINASUNSINE.SG,0.53,0.54,0.53,0.535,274
21/4/2025,QES.SG,CHINASUNSINE.SG,0.535,0.545,0.535,0.54,286
22/4/2025,QES.SG,CHINASUNSINE.SG,0.535,0.55,0.535,0.545,572
23/4/2025,QES.SG,CHINASUNSINE.SG,0.545,0.545,0.53,0.535,713
24/4/2025,QES.SG,CHINASUNSINE.SG,0.54,0.54,0.535,0.535,143
25/4/2025,QES.SG,CHINASUNSINE.SG,0.54,0.54,0.52,0.525,463
28/4/2025,QES.SG,CHINASUNSINE.SG,0.53,0.53,0.515,0.52,826
29/4/2025,QES.SG,CHINASUNSINE.SG,0.52,0.545,0.52,0.54,1165
30/4/2025,QES.SG,CHINASUNSINE.SG,0.54,0.555,0.54,0.545,1813
2/5/2025,QES.SG,CHINASUNSINE.SG,0.545,0.55,0.54,0.55,620
5/5/2025,QES.SG,CHINASUNSINE.SG,0.55,0.55,0.54,0.545,456
6/5/2025,QES.SG,CHINASUNSINE.SG,0.54,0.55,0.535,0.545,610
7/5/2025,QES.SG,CHINASUNSINE.SG,0.52,0.525,0.51,0.52,681
8/5/2025,QES.SG,CHINASUNSINE.SG,0.52,0.52,0.51,0.515,211
9/5/2025,QES.SG,CHINASUNSINE.SG,0.52,0.535,0.52,0.53,940
13/5/2025,QES.SG,CHINASUNSINE.SG,0.54,0.545,0.54,0.545,626
14/5/2025,QES.SG,CHINASUNSINE.SG,0.545,0.55,0.54,0.545,898
15/5/2025,QES.SG,CHINASUNSINE.SG,0.545,0.545,0.535,0.54,467
16/5/2025,QES.SG,CHINASUNSINE.SG,0.54,0.545,0.54,0.545,191
19/5/2025,QES.SG,CHINASUNSINE.SG,0.545,0.545,0.54,0.545,37
20/5/2025,QES.SG,CHINASUNSINE.SG,0.545,0.545,0.535,0.545,270
21/5/2025,QES.SG,CHINASUNSINE.SG,0.545,0.55,0.54,0.55,595
22/5/2025,QES.SG,CHINASUNSINE.SG,0.54,0.565,0.54,0.56,1031
23/5/2025,QES.SG,CHINASUNSINE.SG,0.56,0.565,0.555,0.565,457
26/5/2025,QES.SG,CHINASUNSINE.SG,0.565,0.565,0.56,0.565,140
27/5/2025,QES.SG,CHINASUNSINE.SG,0.565,0.57,0.56,0.565,587
28/5/2025,QES.SG,CHINASUNSINE.SG,0.565,0.565,0.56,0.565,159
29/5/2025,QES.SG,CHINASUNSINE.SG,0.565,0.565,0.56,0.565,314
30/5/2025,QES.SG,CHINASUNSINE.SG,0.56,0.56,0.555,0.555,438
2/6/2025,QES.SG,CHINASUNSINE.SG,0.555,0.555,0.545,0.55,591
3/6/2025,QES.SG,CHINASUNSINE.SG,0.555,0.555,0.545,0.545,59
4/6/2025,QES.SG,CHINASUNSINE.SG,0.545,0.55,0.545,0.55,148
5/6/2025,QES.SG,CHINASUNSINE.SG,0.55,0.555,0.55,0.555,140
6/6/2025,QES.SG,CHINASUNSINE.SG,0.555,0.56,0.55,0.555,303
9/6/2025,QES.SG,CHINASUNSINE.SG,0.555,0.56,0.55,0.56,241
10/6/2025,QES.SG,CHINASUNSINE.SG,0.56,0.56,0.55,0.55,208
11/6/2025,QES.SG,CHINASUNSINE.SG,0.55,0.555,0.545,0.555,222
12/6/2025,QES.SG,CHINASUNSINE.SG,0.555,0.555,0.55,0.555,52
13/6/2025,QES.SG,CHINASUNSINE.SG,0.56,0.56,0.535,0.535,372
16/6/2025,QES.SG,CHINASUNSINE.SG,0.54,0.545,0.54,0.545,12
17/6/2025,QES.SG,CHINASUNSINE.SG,0.545,0.55,0.54,0.545,127
18/6/2025,QES.SG,CHINASUNSINE.SG,0.55,0.55,0.535,0.54,294
19/6/2025,QES.SG,CHINASUNSINE.SG,0.535,0.54,0.535,0.535,189
20/6/2025,QES.SG,CHINASUNSINE.SG,0.535,0.54,0.53,0.535,263
23/6/2025,QES.SG,CHINASUNSINE.SG,0.535,0.54,0.525,0.54,128
24/6/2025,QES.SG,CHINASUNSINE.SG,0.54,0.54,0.535,0.54,25
25/6/2025,QES.SG,CHINASUNSINE.SG,0.535,0.54,0.53,0.54,274
26/6/2025,QES.SG,CHINASUNSINE.SG,0.54,0.54,0.53,0.535,59
27/6/2025,QES.SG,CHINASUNSINE.SG,0.535,0.54,0.535,0.54,285
30/6/2025,QES.SG,CHINASUNSINE.SG,0.54,0.545,0.535,0.545,223
1/7/2025,QES.SG,CHINASUNSINE.SG,0.545,0.55,0.54,0.55,238
2/7/2025,QES.SG,CHINASUNSINE.SG,0.55,0.575,0.545,0.565,1725
3/7/2025,QES.SG,CHINASUNSINE.SG,0.565,0.57,0.555,0.56,515
4/7/2025,QES.SG,CHINASUNSINE.SG,0.56,0.565,0.55,0.56,267
7/7/2025,QES.SG,CHINASUNSINE.SG,0.56,0.56,0.55,0.56,134
8/7/2025,QES.SG,CHINASUNSINE.SG,0.555,0.57,0.555,0.565,356
9/7/2025,QES.SG,CHINASUNSINE.SG,0.565,0.565,0.56,0.565,169
10/7/2025,QES.SG,CHINASUNSINE.SG,0.565,0.605,0.565,0.605,2853
11/7/2025,QES.SG,CHINASUNSINE.SG,0.61,0.615,0.605,0.61,332
14/7/2025,QES.SG,CHINASUNSINE.SG,0.61,0.61,0.605,0.61,308
15/7/2025,QES.SG,CHINASUNSINE.SG,0.61,0.61,0.595,0.605,391
16/7/2025,QES.SG,CHINASUNSINE.SG,0.6,0.615,0.6,0.61,903
17/7/2025,QES.SG,CHINASUNSINE.SG,0.61,0.635,0.605,0.635,1694
18/7/2025,QES.SG,CHINASUNSINE.SG,0.635,0.66,0.635,0.645,1780
21/7/2025,QES.SG,CHINASUNSINE.SG,0.645,0.66,0.645,0.645,2217
22/7/2025,QES.SG,CHINASUNSINE.SG,0.645,0.655,0.64,0.655,422
23/7/2025,QES.SG,CHINASUNSINE.SG,0.655,0.68,0.65,0.675,2705
24/7/2025,QES.SG,CHINASUNSINE.SG,0.665,0.68,0.66,0.68,1344
25/7/2025,QES.SG,CHINASUNSINE.SG,0.68,0.71,0.68,0.7,2360
28/7/2025,QES.SG,CHINASUNSINE.SG,0.7,0.73,0.695,0.725,3435
29/7/2025,QES.SG,CHINASUNSINE.SG,0.72,0.73,0.71,0.725,1857
30/7/2025,QES.SG,CHINASUNSINE.SG,0.725,0.76,0.725,0.75,2080
31/7/2025,QES.SG,CHINASUNSINE.SG,0.75,0.75,0.7,0.7,2904
1/8/2025,QES.SG,CHINASUNSINE.SG,0.685,0.75,0.68,0.73,3306
4/8/2025,QES.SG,CHINASUNSINE.SG,0.73,0.74,0.715,0.73,569
5/8/2025,QES.SG,CHINASUNSINE.SG,0.735,0.735,0.71,0.72,1038
6/8/2025,QES.SG,CHINASUNSINE.SG,0.715,0.75,0.715,0.74,2474
7/8/2025,QES.SG,CHINASUNSINE.SG,0.735,0.735,0.715,0.725,691
8/8/2025,QES.SG,CHINASUNSINE.SG,0.72,0.72,0.69,0.705,1838
11/8/2025,QES.SG,CHINASUNSINE.SG,0.71,0.72,0.71,0.715,377
12/8/2025,QES.SG,CHINASUNSINE.SG,0.715,0.725,0.705,0.715,1154
13/8/2025,QES.SG,CHINASUNSINE.SG,0.715,0.725,0.705,0.725,962
14/8/2025,QES.SG,CHINASUNSINE.SG,0.74,0.74,0.66,0.68,2829
15/8/2025,QES.SG,CHINASUNSINE.SG,0.68,0.695,0.68,0.69,707
18/8/2025,QES.SG,CHINASUNSINE.SG,0.685,0.695,0.685,0.695,393
19/8/2025,QES.SG,CHINASUNSINE.SG,0.695,0.71,0.685,0.695,738
