Date,Code,Shortname,Open,High,Low,Close,Vol
2/1/2025,RE4.SG,GEO ENERGY RES.SG,0.3,0.3,0.29,0.29,1702
3/1/2025,RE4.SG,GEO ENERGY RES.SG,0.295,0.3,0.295,0.295,1454
6/1/2025,RE4.SG,GEO ENERGY RES.SG,0.3,0.305,0.295,0.295,4308
7/1/2025,RE4.SG,GEO ENERGY RES.SG,0.3,0.3,0.295,0.295,485
8/1/2025,RE4.SG,GEO ENERGY RES.SG,0.3,0.3,0.29,0.29,2037
9/1/2025,RE4.SG,GEO ENERGY RES.SG,0.29,0.3,0.29,0.29,464
10/1/2025,RE4.SG,GEO ENERGY RES.SG,0.295,0.295,0.285,0.29,2684
13/1/2025,RE4.SG,GEO ENERGY RES.SG,0.295,0.295,0.285,0.285,952
14/1/2025,RE4.SG,GEO ENERGY RES.SG,0.285,0.295,0.285,0.29,1843
15/1/2025,RE4.SG,GEO ENERGY RES.SG,0.29,0.29,0.285,0.29,994
16/1/2025,RE4.SG,GEO ENERGY RES.SG,0.29,0.29,0.28,0.285,2324
17/1/2025,RE4.SG,GEO ENERGY RES.SG,0.28,0.285,0.28,0.285,464
20/1/2025,RE4.SG,GEO ENERGY RES.SG,0.285,0.29,0.28,0.285,799
21/1/2025,RE4.SG,GEO ENERGY RES.SG,0.285,0.29,0.28,0.28,1052
22/1/2025,RE4.SG,GEO ENERGY RES.SG,0.285,0.29,0.28,0.285,858
23/1/2025,RE4.SG,GEO ENERGY RES.SG,0.29,0.295,0.285,0.285,2477
24/1/2025,RE4.SG,GEO ENERGY RES.SG,0.29,0.295,0.285,0.29,1035
27/1/2025,RE4.SG,GEO ENERGY RES.SG,0.29,0.29,0.285,0.285,380
28/1/2025,RE4.SG,GEO ENERGY RES.SG,0.285,0.29,0.285,0.285,413
31/1/2025,RE4.SG,GEO ENERGY RES.SG,0.29,0.29,0.285,0.285,724
3/2/2025,RE4.SG,GEO ENERGY RES.SG,0.285,0.285,0.275,0.275,5610
4/2/2025,RE4.SG,GEO ENERGY RES.SG,0.28,0.28,0.275,0.275,201
5/2/2025,RE4.SG,GEO ENERGY RES.SG,0.28,0.28,0.265,0.27,6626
6/2/2025,RE4.SG,GEO ENERGY RES.SG,0.27,0.275,0.265,0.27,3043
7/2/2025,RE4.SG,GEO ENERGY RES.SG,0.265,0.27,0.265,0.265,748
10/2/2025,RE4.SG,GEO ENERGY RES.SG,0.27,0.27,0.265,0.265,1684
11/2/2025,RE4.SG,GEO ENERGY RES.SG,0.27,0.27,0.26,0.265,2596
12/2/2025,RE4.SG,GEO ENERGY RES.SG,0.265,0.275,0.26,0.275,4196
13/2/2025,RE4.SG,GEO ENERGY RES.SG,0.275,0.275,0.265,0.265,3386
14/2/2025,RE4.SG,GEO ENERGY RES.SG,0.27,0.275,0.265,0.27,2717
17/2/2025,RE4.SG,GEO ENERGY RES.SG,0.27,0.275,0.265,0.27,1314
18/2/2025,RE4.SG,GEO ENERGY RES.SG,0.27,0.275,0.265,0.27,1210
19/2/2025,RE4.SG,GEO ENERGY RES.SG,0.27,0.275,0.265,0.27,1264
20/2/2025,RE4.SG,GEO ENERGY RES.SG,0.27,0.275,0.27,0.275,1559
21/2/2025,RE4.SG,GEO ENERGY RES.SG,0.275,0.275,0.265,0.27,3048
24/2/2025,RE4.SG,GEO ENERGY RES.SG,0.27,0.275,0.27,0.275,1454
25/2/2025,RE4.SG,GEO ENERGY RES.SG,0.27,0.275,0.265,0.27,1191
26/2/2025,RE4.SG,GEO ENERGY RES.SG,0.27,0.27,0.265,0.265,749
27/2/2025,RE4.SG,GEO ENERGY RES.SG,0.27,0.27,0.26,0.265,3463
28/2/2025,RE4.SG,GEO ENERGY RES.SG,0.265,0.265,0.26,0.26,2376
