Date,Code,Shortname,Open,High,Low,Close,Vol
2/1/2025,RXS.SG,PACIFICRADIANCE.SG,0.048,0.048,0.047,0.048,1519
3/1/2025,RXS.SG,PACIFICRADIANCE.SG,0.048,0.05,0.048,0.049,3008
6/1/2025,RXS.SG,PACIFICRADIANCE.SG,0.05,0.051,0.048,0.049,5973
7/1/2025,RXS.SG,PACIFICRADIANCE.SG,0.049,0.049,0.048,0.049,225
8/1/2025,RXS.SG,PACIFICRADIANCE.SG,0.049,0.049,0.048,0.049,3231
9/1/2025,RXS.SG,PACIFICRADIANCE.SG,0.049,0.049,0.048,0.049,563
10/1/2025,RXS.SG,PACIFICRADIANCE.SG,0.048,0.049,0.048,0.049,1920
13/1/2025,RXS.SG,PACIFICRADIANCE.SG,0.049,0.049,0.048,0.048,816
14/1/2025,RXS.SG,PACIFICRADIANCE.SG,0.048,0.048,0.046,0.047,1666
15/1/2025,RXS.SG,PACIFICRADIANCE.SG,0.046,0.047,0.046,0.046,1770
16/1/2025,RXS.SG,PACIFICRADIANCE.SG,0.046,0.046,0.045,0.046,1675
17/1/2025,RXS.SG,PACIFICRADIANCE.SG,0.045,0.045,0.045,0.045,400
20/1/2025,RXS.SG,PACIFICRADIANCE.SG,0.046,0.047,0.046,0.046,478
21/1/2025,RXS.SG,PACIFICRADIANCE.SG,0.046,0.046,0.046,0.046,7
22/1/2025,RXS.SG,PACIFICRADIANCE.SG,0.046,0.046,0.045,0.045,250
23/1/2025,RXS.SG,PACIFICRADIANCE.SG,0.046,0.047,0.046,0.047,76
24/1/2025,RXS.SG,PACIFICRADIANCE.SG,0.046,0.047,0.046,0.047,17
27/1/2025,RXS.SG,PACIFICRADIANCE.SG,0.046,0.047,0.046,0.046,197
28/1/2025,RXS.SG,PACIFICRADIANCE.SG,0.046,0.047,0.045,0.046,201
31/1/2025,RXS.SG,PACIFICRADIANCE.SG,0.046,0.046,0.046,0.046,0
3/2/2025,RXS.SG,PACIFICRADIANCE.SG,0.046,0.047,0.046,0.046,671
4/2/2025,RXS.SG,PACIFICRADIANCE.SG,0.046,0.046,0.045,0.046,988
5/2/2025,RXS.SG,PACIFICRADIANCE.SG,0.045,0.046,0.045,0.046,558
6/2/2025,RXS.SG,PACIFICRADIANCE.SG,0.047,0.047,0.046,0.046,154
7/2/2025,RXS.SG,PACIFICRADIANCE.SG,0.047,0.048,0.047,0.048,2630
10/2/2025,RXS.SG,PACIFICRADIANCE.SG,0.048,0.049,0.048,0.048,3776
11/2/2025,RXS.SG,PACIFICRADIANCE.SG,0.048,0.049,0.047,0.049,945
12/2/2025,RXS.SG,PACIFICRADIANCE.SG,0.048,0.054,0.048,0.053,22492
13/2/2025,RXS.SG,PACIFICRADIANCE.SG,0.052,0.054,0.05,0.05,7916
14/2/2025,RXS.SG,PACIFICRADIANCE.SG,0.051,0.051,0.05,0.051,5146
17/2/2025,RXS.SG,PACIFICRADIANCE.SG,0.051,0.052,0.051,0.052,5038
18/2/2025,RXS.SG,PACIFICRADIANCE.SG,0.052,0.053,0.051,0.052,5458
19/2/2025,RXS.SG,PACIFICRADIANCE.SG,0.052,0.052,0.051,0.051,1975
20/2/2025,RXS.SG,PACIFICRADIANCE.SG,0.051,0.052,0.051,0.051,1959
21/2/2025,RXS.SG,PACIFICRADIANCE.SG,0.051,0.051,0.048,0.048,2922
24/2/2025,RXS.SG,PACIFICRADIANCE.SG,0.049,0.05,0.047,0.048,1403
25/2/2025,RXS.SG,PACIFICRADIANCE.SG,0.048,0.049,0.047,0.047,618
26/2/2025,RXS.SG,PACIFICRADIANCE.SG,0.048,0.05,0.048,0.05,1146
27/2/2025,RXS.SG,PACIFICRADIANCE.SG,0.05,0.05,0.047,0.047,990
28/2/2025,RXS.SG,PACIFICRADIANCE.SG,0.047,0.047,0.045,0.047,3268
3/3/2025,RXS.SG,PACIFICRADIANCE.SG,0.046,0.047,0.042,0.044,4201
4/3/2025,RXS.SG,PACIFICRADIANCE.SG,0.043,0.044,0.042,0.044,1695
5/3/2025,RXS.SG,PACIFICRADIANCE.SG,0.044,0.046,0.044,0.046,1477
6/3/2025,RXS.SG,PACIFICRADIANCE.SG,0.045,0.046,0.045,0.046,415
7/3/2025,RXS.SG,PACIFICRADIANCE.SG,0.045,0.046,0.044,0.046,270
10/3/2025,RXS.SG,PACIFICRADIANCE.SG,0.046,0.046,0.044,0.045,658
11/3/2025,RXS.SG,PACIFICRADIANCE.SG,0.044,0.045,0.044,0.045,162
12/3/2025,RXS.SG,PACIFICRADIANCE.SG,0.045,0.046,0.044,0.046,364
13/3/2025,RXS.SG,PACIFICRADIANCE.SG,0.046,0.046,0.045,0.045,137
14/3/2025,RXS.SG,PACIFICRADIANCE.SG,0.045,0.045,0.045,0.045,1
17/3/2025,RXS.SG,PACIFICRADIANCE.SG,0.045,0.045,0.045,0.045,303
18/3/2025,RXS.SG,PACIFICRADIANCE.SG,0.047,0.047,0.046,0.047,387
19/3/2025,RXS.SG,PACIFICRADIANCE.SG,0.046,0.047,0.045,0.047,64
20/3/2025,RXS.SG,PACIFICRADIANCE.SG,0.046,0.047,0.045,0.047,607
21/3/2025,RXS.SG,PACIFICRADIANCE.SG,0.046,0.047,0.045,0.047,251
24/3/2025,RXS.SG,PACIFICRADIANCE.SG,0.046,0.047,0.046,0.047,145
25/3/2025,RXS.SG,PACIFICRADIANCE.SG,0.046,0.047,0.046,0.046,412
26/3/2025,RXS.SG,PACIFICRADIANCE.SG,0.046,0.046,0.045,0.045,230
27/3/2025,RXS.SG,PACIFICRADIANCE.SG,0.045,0.047,0.045,0.047,422
28/3/2025,RXS.SG,PACIFICRADIANCE.SG,0.046,0.046,0.046,0.046,101
1/4/2025,RXS.SG,PACIFICRADIANCE.SG,0.046,0.046,0.045,0.046,325
2/4/2025,RXS.SG,PACIFICRADIANCE.SG,0.046,0.046,0.044,0.046,118
3/4/2025,RXS.SG,PACIFICRADIANCE.SG,0.045,0.045,0.044,0.045,647
4/4/2025,RXS.SG,PACIFICRADIANCE.SG,0.043,0.044,0.039,0.04,3523
7/4/2025,RXS.SG,PACIFICRADIANCE.SG,0.038,0.038,0.032,0.036,1892
8/4/2025,RXS.SG,PACIFICRADIANCE.SG,0.035,0.035,0.033,0.035,171
9/4/2025,RXS.SG,PACIFICRADIANCE.SG,0.034,0.034,0.034,0.034,2
10/4/2025,RXS.SG,PACIFICRADIANCE.SG,0.035,0.036,0.034,0.035,911
11/4/2025,RXS.SG,PACIFICRADIANCE.SG,0.033,0.034,0.033,0.034,297
14/4/2025,RXS.SG,PACIFICRADIANCE.SG,0.035,0.036,0.034,0.036,885
15/4/2025,RXS.SG,PACIFICRADIANCE.SG,0.035,0.036,0.034,0.036,527
16/4/2025,RXS.SG,PACIFICRADIANCE.SG,0.036,0.038,0.036,0.037,439
17/4/2025,RXS.SG,PACIFICRADIANCE.SG,0.037,0.039,0.037,0.039,651
21/4/2025,RXS.SG,PACIFICRADIANCE.SG,0.039,0.039,0.039,0.039,281
22/4/2025,RXS.SG,PACIFICRADIANCE.SG,0.04,0.041,0.04,0.04,637
23/4/2025,RXS.SG,PACIFICRADIANCE.SG,0.041,0.042,0.04,0.042,1475
24/4/2025,RXS.SG,PACIFICRADIANCE.SG,0.041,0.041,0.04,0.04,462
25/4/2025,RXS.SG,PACIFICRADIANCE.SG,0.041,0.041,0.041,0.041,483
28/4/2025,RXS.SG,PACIFICRADIANCE.SG,0.041,0.041,0.04,0.041,64
29/4/2025,RXS.SG,PACIFICRADIANCE.SG,0.04,0.04,0.04,0.04,100
30/4/2025,RXS.SG,PACIFICRADIANCE.SG,0.04,0.041,0.04,0.041,492
2/5/2025,RXS.SG,PACIFICRADIANCE.SG,0.039,0.04,0.039,0.04,225
5/5/2025,RXS.SG,PACIFICRADIANCE.SG,0.04,0.04,0.039,0.04,1
6/5/2025,RXS.SG,PACIFICRADIANCE.SG,0.04,0.04,0.04,0.04,58
7/5/2025,RXS.SG,PACIFICRADIANCE.SG,0.04,0.041,0.039,0.041,121
8/5/2025,RXS.SG,PACIFICRADIANCE.SG,0.04,0.04,0.04,0.04,21
9/5/2025,RXS.SG,PACIFICRADIANCE.SG,0.04,0.04,0.039,0.04,238
13/5/2025,RXS.SG,PACIFICRADIANCE.SG,0.04,0.04,0.04,0.04,20
