Date,Code,Shortname,Open,High,Low,Close,Vol
2/1/2025,YF8.SG,YZJ FIN HLDG.SG,0.415,0.42,0.41,0.41,2047
3/1/2025,YF8.SG,YZJ FIN HLDG.SG,0.41,0.42,0.41,0.41,7786
6/1/2025,YF8.SG,YZJ FIN HLDG.SG,0.41,0.42,0.41,0.415,2889
7/1/2025,YF8.SG,YZJ FIN HLDG.SG,0.415,0.415,0.41,0.415,3111
8/1/2025,YF8.SG,YZJ FIN HLDG.SG,0.41,0.415,0.405,0.415,13947
9/1/2025,YF8.SG,YZJ FIN HLDG.SG,0.41,0.415,0.41,0.41,1361
10/1/2025,YF8.SG,YZJ FIN HLDG.SG,0.415,0.415,0.405,0.415,7766
13/1/2025,YF8.SG,YZJ FIN HLDG.SG,0.415,0.42,0.41,0.415,5013
14/1/2025,YF8.SG,YZJ FIN HLDG.SG,0.42,0.42,0.41,0.42,3771
15/1/2025,YF8.SG,YZJ FIN HLDG.SG,0.42,0.42,0.415,0.415,1832
16/1/2025,YF8.SG,YZJ FIN HLDG.SG,0.42,0.42,0.415,0.42,1462
17/1/2025,YF8.SG,YZJ FIN HLDG.SG,0.42,0.42,0.415,0.42,2044
20/1/2025,YF8.SG,YZJ FIN HLDG.SG,0.42,0.42,0.415,0.42,972
21/1/2025,YF8.SG,YZJ FIN HLDG.SG,0.42,0.42,0.415,0.415,708
22/1/2025,YF8.SG,YZJ FIN HLDG.SG,0.415,0.435,0.415,0.43,27742
23/1/2025,YF8.SG,YZJ FIN HLDG.SG,0.44,0.45,0.435,0.445,28795
24/1/2025,YF8.SG,YZJ FIN HLDG.SG,0.45,0.455,0.44,0.45,21616
27/1/2025,YF8.SG,YZJ FIN HLDG.SG,0.45,0.455,0.45,0.455,2970
28/1/2025,YF8.SG,YZJ FIN HLDG.SG,0.455,0.455,0.45,0.455,2111
31/1/2025,YF8.SG,YZJ FIN HLDG.SG,0.46,0.48,0.46,0.475,49458
3/2/2025,YF8.SG,YZJ FIN HLDG.SG,0.47,0.48,0.465,0.47,24075
4/2/2025,YF8.SG,YZJ FIN HLDG.SG,0.47,0.47,0.465,0.465,5176
5/2/2025,YF8.SG,YZJ FIN HLDG.SG,0.47,0.475,0.465,0.47,5789
6/2/2025,YF8.SG,YZJ FIN HLDG.SG,0.47,0.48,0.47,0.475,14515
7/2/2025,YF8.SG,YZJ FIN HLDG.SG,0.475,0.48,0.475,0.475,3609
10/2/2025,YF8.SG,YZJ FIN HLDG.SG,0.48,0.49,0.48,0.485,19196
11/2/2025,YF8.SG,YZJ FIN HLDG.SG,0.485,0.5,0.48,0.495,33102
12/2/2025,YF8.SG,YZJ FIN HLDG.SG,0.495,0.51,0.495,0.51,40686
13/2/2025,YF8.SG,YZJ FIN HLDG.SG,0.51,0.53,0.51,0.52,53051
14/2/2025,YF8.SG,YZJ FIN HLDG.SG,0.515,0.53,0.51,0.53,39559
17/2/2025,YF8.SG,YZJ FIN HLDG.SG,0.53,0.535,0.52,0.535,28254
18/2/2025,YF8.SG,YZJ FIN HLDG.SG,0.53,0.535,0.525,0.53,14786
19/2/2025,YF8.SG,YZJ FIN HLDG.SG,0.53,0.54,0.525,0.535,31841
20/2/2025,YF8.SG,YZJ FIN HLDG.SG,0.54,0.57,0.535,0.565,68368
21/2/2025,YF8.SG,YZJ FIN HLDG.SG,0.565,0.565,0.55,0.565,42328
24/2/2025,YF8.SG,YZJ FIN HLDG.SG,0.56,0.57,0.55,0.565,41561
25/2/2025,YF8.SG,YZJ FIN HLDG.SG,0.565,0.58,0.56,0.565,72882
26/2/2025,YF8.SG,YZJ FIN HLDG.SG,0.575,0.58,0.57,0.58,20466
27/2/2025,YF8.SG,YZJ FIN HLDG.SG,0.58,0.58,0.55,0.565,69073
28/2/2025,YF8.SG,YZJ FIN HLDG.SG,0.57,0.6,0.56,0.595,83784
3/3/2025,YF8.SG,YZJ FIN HLDG.SG,0.595,0.63,0.59,0.63,48068
4/3/2025,YF8.SG,YZJ FIN HLDG.SG,0.625,0.655,0.625,0.64,70544
5/3/2025,YF8.SG,YZJ FIN HLDG.SG,0.64,0.655,0.64,0.645,24854
6/3/2025,YF8.SG,YZJ FIN HLDG.SG,0.645,0.655,0.635,0.64,31716
7/3/2025,YF8.SG,YZJ FIN HLDG.SG,0.65,0.655,0.64,0.645,16250
10/3/2025,YF8.SG,YZJ FIN HLDG.SG,0.645,0.655,0.64,0.64,21746
11/3/2025,YF8.SG,YZJ FIN HLDG.SG,0.645,0.645,0.62,0.645,50760
12/3/2025,YF8.SG,YZJ FIN HLDG.SG,0.64,0.67,0.64,0.67,59359
13/3/2025,YF8.SG,YZJ FIN HLDG.SG,0.675,0.675,0.65,0.66,47007
14/3/2025,YF8.SG,YZJ FIN HLDG.SG,0.655,0.67,0.655,0.66,9158
17/3/2025,YF8.SG,YZJ FIN HLDG.SG,0.655,0.665,0.655,0.655,21424
18/3/2025,YF8.SG,YZJ FIN HLDG.SG,0.665,0.685,0.66,0.675,28559
19/3/2025,YF8.SG,YZJ FIN HLDG.SG,0.68,0.695,0.665,0.68,54552
20/3/2025,YF8.SG,YZJ FIN HLDG.SG,0.68,0.68,0.665,0.68,11098
21/3/2025,YF8.SG,YZJ FIN HLDG.SG,0.68,0.725,0.68,0.725,78113
24/3/2025,YF8.SG,YZJ FIN HLDG.SG,0.73,0.74,0.725,0.735,38169
25/3/2025,YF8.SG,YZJ FIN HLDG.SG,0.735,0.78,0.735,0.77,42103
26/3/2025,YF8.SG,YZJ FIN HLDG.SG,0.775,0.79,0.765,0.775,56936
27/3/2025,YF8.SG,YZJ FIN HLDG.SG,0.775,0.79,0.77,0.785,25328
28/3/2025,YF8.SG,YZJ FIN HLDG.SG,0.785,0.81,0.785,0.795,97260
1/4/2025,YF8.SG,YZJ FIN HLDG.SG,0.785,0.79,0.715,0.765,96173
2/4/2025,YF8.SG,YZJ FIN HLDG.SG,0.77,0.8,0.77,0.79,53925
3/4/2025,YF8.SG,YZJ FIN HLDG.SG,0.785,0.795,0.765,0.78,41024
4/4/2025,YF8.SG,YZJ FIN HLDG.SG,0.775,0.78,0.74,0.76,63797
7/4/2025,YF8.SG,YZJ FIN HLDG.SG,0.74,0.74,0.675,0.685,97141
8/4/2025,YF8.SG,YZJ FIN HLDG.SG,0.7,0.725,0.665,0.675,41035
9/4/2025,YF8.SG,YZJ FIN HLDG.SG,0.67,0.68,0.625,0.655,40453
10/4/2025,YF8.SG,YZJ FIN HLDG.SG,0.68,0.7,0.66,0.67,38718
11/4/2025,YF8.SG,YZJ FIN HLDG.SG,0.66,0.69,0.645,0.68,36886
14/4/2025,YF8.SG,YZJ FIN HLDG.SG,0.695,0.705,0.68,0.685,13401
15/4/2025,YF8.SG,YZJ FIN HLDG.SG,0.69,0.69,0.68,0.685,11624
16/4/2025,YF8.SG,YZJ FIN HLDG.SG,0.68,0.72,0.68,0.695,31683
17/4/2025,YF8.SG,YZJ FIN HLDG.SG,0.695,0.7,0.685,0.69,8358
21/4/2025,YF8.SG,YZJ FIN HLDG.SG,0.68,0.71,0.68,0.7,12338
22/4/2025,YF8.SG,YZJ FIN HLDG.SG,0.7,0.725,0.69,0.715,14694
23/4/2025,YF8.SG,YZJ FIN HLDG.SG,0.72,0.73,0.715,0.725,16797
24/4/2025,YF8.SG,YZJ FIN HLDG.SG,0.71,0.71,0.685,0.69,14858
25/4/2025,YF8.SG,YZJ FIN HLDG.SG,0.7,0.71,0.695,0.7,7570
28/4/2025,YF8.SG,YZJ FIN HLDG.SG,0.725,0.735,0.7,0.705,23110
29/4/2025,YF8.SG,YZJ FIN HLDG.SG,0.705,0.71,0.69,0.69,11666
30/4/2025,YF8.SG,YZJ FIN HLDG.SG,0.695,0.715,0.69,0.71,13381
2/5/2025,YF8.SG,YZJ FIN HLDG.SG,0.715,0.72,0.705,0.715,8870
5/5/2025,YF8.SG,YZJ FIN HLDG.SG,0.715,0.715,0.7,0.7,6109
6/5/2025,YF8.SG,YZJ FIN HLDG.SG,0.7,0.71,0.695,0.705,9539
7/5/2025,YF8.SG,YZJ FIN HLDG.SG,0.71,0.72,0.695,0.705,16055
8/5/2025,YF8.SG,YZJ FIN HLDG.SG,0.705,0.71,0.7,0.705,3692
9/5/2025,YF8.SG,YZJ FIN HLDG.SG,0.705,0.715,0.7,0.7,5386
13/5/2025,YF8.SG,YZJ FIN HLDG.SG,0.715,0.735,0.71,0.725,24483
14/5/2025,YF8.SG,YZJ FIN HLDG.SG,0.73,0.76,0.71,0.755,28477
15/5/2025,YF8.SG,YZJ FIN HLDG.SG,0.755,0.755,0.74,0.745,10281
16/5/2025,YF8.SG,YZJ FIN HLDG.SG,0.75,0.76,0.745,0.76,9494
19/5/2025,YF8.SG,YZJ FIN HLDG.SG,0.76,0.76,0.71,0.72,29303
20/5/2025,YF8.SG,YZJ FIN HLDG.SG,0.725,0.735,0.715,0.725,12220
21/5/2025,YF8.SG,YZJ FIN HLDG.SG,0.73,0.73,0.715,0.72,3977
22/5/2025,YF8.SG,YZJ FIN HLDG.SG,0.715,0.715,0.7,0.705,8590
23/5/2025,YF8.SG,YZJ FIN HLDG.SG,0.705,0.72,0.695,0.71,30482
26/5/2025,YF8.SG,YZJ FIN HLDG.SG,0.71,0.715,0.705,0.71,2638
27/5/2025,YF8.SG,YZJ FIN HLDG.SG,0.71,0.715,0.7,0.71,3437
28/5/2025,YF8.SG,YZJ FIN HLDG.SG,0.71,0.715,0.705,0.71,1934
29/5/2025,YF8.SG,YZJ FIN HLDG.SG,0.71,0.715,0.705,0.715,5676
30/5/2025,YF8.SG,YZJ FIN HLDG.SG,0.71,0.73,0.71,0.725,8826
2/6/2025,YF8.SG,YZJ FIN HLDG.SG,0.725,0.725,0.715,0.725,3054
3/6/2025,YF8.SG,YZJ FIN HLDG.SG,0.725,0.725,0.71,0.715,11132
4/6/2025,YF8.SG,YZJ FIN HLDG.SG,0.715,0.72,0.71,0.71,6468
5/6/2025,YF8.SG,YZJ FIN HLDG.SG,0.715,0.73,0.71,0.725,10039
6/6/2025,YF8.SG,YZJ FIN HLDG.SG,0.725,0.73,0.72,0.73,9501
9/6/2025,YF8.SG,YZJ FIN HLDG.SG,0.73,0.73,0.72,0.725,4493
10/6/2025,YF8.SG,YZJ FIN HLDG.SG,0.72,0.735,0.715,0.72,15855
11/6/2025,YF8.SG,YZJ FIN HLDG.SG,0.72,0.73,0.715,0.725,9526
12/6/2025,YF8.SG,YZJ FIN HLDG.SG,0.72,0.73,0.72,0.725,9083
13/6/2025,YF8.SG,YZJ FIN HLDG.SG,0.72,0.725,0.715,0.72,5992
16/6/2025,YF8.SG,YZJ FIN HLDG.SG,0.715,0.715,0.7,0.71,15584
17/6/2025,YF8.SG,YZJ FIN HLDG.SG,0.71,0.71,0.7,0.705,15919
18/6/2025,YF8.SG,YZJ FIN HLDG.SG,0.705,0.71,0.7,0.7,5643
19/6/2025,YF8.SG,YZJ FIN HLDG.SG,0.7,0.705,0.695,0.695,21286
20/6/2025,YF8.SG,YZJ FIN HLDG.SG,0.7,0.7,0.69,0.7,8789
23/6/2025,YF8.SG,YZJ FIN HLDG.SG,0.69,0.71,0.68,0.7,6908
24/6/2025,YF8.SG,YZJ FIN HLDG.SG,0.705,0.71,0.7,0.71,3799
25/6/2025,YF8.SG,YZJ FIN HLDG.SG,0.705,0.71,0.7,0.71,3206
26/6/2025,YF8.SG,YZJ FIN HLDG.SG,0.71,0.72,0.71,0.72,6241
27/6/2025,YF8.SG,YZJ FIN HLDG.SG,0.715,0.73,0.715,0.73,7231
30/6/2025,YF8.SG,YZJ FIN HLDG.SG,0.73,0.745,0.73,0.74,9227
1/7/2025,YF8.SG,YZJ FIN HLDG.SG,0.745,0.75,0.74,0.75,8462
2/7/2025,YF8.SG,YZJ FIN HLDG.SG,0.745,0.8,0.745,0.79,28578
3/7/2025,YF8.SG,YZJ FIN HLDG.SG,0.79,0.845,0.79,0.845,29988
4/7/2025,YF8.SG,YZJ FIN HLDG.SG,0.855,0.9,0.855,0.895,42897
7/7/2025,YF8.SG,YZJ FIN HLDG.SG,0.905,0.915,0.875,0.88,22338
8/7/2025,YF8.SG,YZJ FIN HLDG.SG,0.88,0.88,0.85,0.87,13870
9/7/2025,YF8.SG,YZJ FIN HLDG.SG,0.87,0.885,0.865,0.875,6382
10/7/2025,YF8.SG,YZJ FIN HLDG.SG,0.885,0.89,0.87,0.88,7237
11/7/2025,YF8.SG,YZJ FIN HLDG.SG,0.875,0.885,0.865,0.875,6704
14/7/2025,YF8.SG,YZJ FIN HLDG.SG,0.875,0.895,0.875,0.89,8068
15/7/2025,YF8.SG,YZJ FIN HLDG.SG,0.89,0.9,0.88,0.895,7000
16/7/2025,YF8.SG,YZJ FIN HLDG.SG,0.895,0.925,0.895,0.91,18078
17/7/2025,YF8.SG,YZJ FIN HLDG.SG,0.91,0.915,0.895,0.9,10247
18/7/2025,YF8.SG,YZJ FIN HLDG.SG,0.9,0.915,0.89,0.905,9482
21/7/2025,YF8.SG,YZJ FIN HLDG.SG,0.91,0.925,0.9,0.92,11862
22/7/2025,YF8.SG,YZJ FIN HLDG.SG,0.92,0.955,0.915,0.945,16157
23/7/2025,YF8.SG,YZJ FIN HLDG.SG,0.95,0.955,0.94,0.95,10946
24/7/2025,YF8.SG,YZJ FIN HLDG.SG,0.955,0.96,0.935,0.96,16587
25/7/2025,YF8.SG,YZJ FIN HLDG.SG,0.955,0.955,0.94,0.94,9278
28/7/2025,YF8.SG,YZJ FIN HLDG.SG,0.94,0.945,0.925,0.94,8962
29/7/2025,YF8.SG,YZJ FIN HLDG.SG,0.94,0.95,0.925,0.945,12224
30/7/2025,YF8.SG,YZJ FIN HLDG.SG,0.945,0.95,0.935,0.945,4228
31/7/2025,YF8.SG,YZJ FIN HLDG.SG,0.94,0.97,0.93,0.965,20350
1/8/2025,YF8.SG,YZJ FIN HLDG.SG,0.96,0.96,0.945,0.945,7592
4/8/2025,YF8.SG,YZJ FIN HLDG.SG,0.94,0.965,0.93,0.96,9453
5/8/2025,YF8.SG,YZJ FIN HLDG.SG,0.96,0.965,0.95,0.955,4864
6/8/2025,YF8.SG,YZJ FIN HLDG.SG,0.955,0.98,0.95,0.975,9205
7/8/2025,YF8.SG,YZJ FIN HLDG.SG,0.975,1.01,0.975,0.985,26784
8/8/2025,YF8.SG,YZJ FIN HLDG.SG,0.985,0.985,0.965,0.97,8813
11/8/2025,YF8.SG,YZJ FIN HLDG.SG,0.97,0.985,0.97,0.975,6135
12/8/2025,YF8.SG,YZJ FIN HLDG.SG,0.975,1.01,0.975,0.99,15142
13/8/2025,YF8.SG,YZJ FIN HLDG.SG,1.01,1.05,0.995,1.04,36286
14/8/2025,YF8.SG,YZJ FIN HLDG.SG,1.05,1.06,1.01,1.02,27333
15/8/2025,YF8.SG,YZJ FIN HLDG.SG,1.02,1.06,1.02,1.06,16687
18/8/2025,YF8.SG,YZJ FIN HLDG.SG,1.06,1.06,1.03,1.06,16495
19/8/2025,YF8.SG,YZJ FIN HLDG.SG,1.06,1.06,1.03,1.04,12159
20/8/2025,YF8.SG,YZJ FIN HLDG.SG,1.03,1.04,1.01,1.02,15958
21/8/2025,YF8.SG,YZJ FIN HLDG.SG,1.02,1.05,1.01,1.02,9659
22/8/2025,YF8.SG,YZJ FIN HLDG.SG,1.02,1.05,1.02,1.03,8631
25/8/2025,YF8.SG,YZJ FIN HLDG.SG,1.03,1.06,1.03,1.05,11404
26/8/2025,YF8.SG,YZJ FIN HLDG.SG,1.05,1.06,1.04,1.06,13454
27/8/2025,YF8.SG,YZJ FIN HLDG.SG,1.06,1.06,1.04,1.05,6873
28/8/2025,YF8.SG,YZJ FIN HLDG.SG,1.05,1.05,1.03,1.03,8091
