Date,Code,Shortname,Open,High,Low,Close,Vol
2/1/2025,Z74.SG,SINGTEL.SG,3.09,3.09,3.07,3.09,6207
3/1/2025,Z74.SG,SINGTEL.SG,3.1,3.12,3.08,3.09,10801
6/1/2025,Z74.SG,SINGTEL.SG,3.1,3.1,3.06,3.08,14463
7/1/2025,Z74.SG,SINGTEL.SG,3.07,3.08,3.06,3.07,7227
8/1/2025,Z74.SG,SINGTEL.SG,3.06,3.11,3.05,3.09,13627
9/1/2025,Z74.SG,SINGTEL.SG,3.09,3.11,3.07,3.08,7275
10/1/2025,Z74.SG,SINGTEL.SG,3.08,3.08,3.04,3.07,17456
13/1/2025,Z74.SG,SINGTEL.SG,3.08,3.12,3.07,3.12,21573
14/1/2025,Z74.SG,SINGTEL.SG,3.13,3.13,3.09,3.11,15323
15/1/2025,Z74.SG,SINGTEL.SG,3.11,3.13,3.09,3.11,10481
16/1/2025,Z74.SG,SINGTEL.SG,3.14,3.15,3.11,3.12,13029
17/1/2025,Z74.SG,SINGTEL.SG,3.11,3.16,3.1,3.14,15756
20/1/2025,Z74.SG,SINGTEL.SG,3.12,3.16,3.11,3.15,10612
21/1/2025,Z74.SG,SINGTEL.SG,3.16,3.16,3.11,3.13,12260
22/1/2025,Z74.SG,SINGTEL.SG,3.14,3.16,3.08,3.08,24836
23/1/2025,Z74.SG,SINGTEL.SG,3.09,3.13,3.08,3.11,11312
24/1/2025,Z74.SG,SINGTEL.SG,3.14,3.2,3.13,3.2,31157
27/1/2025,Z74.SG,SINGTEL.SG,3.2,3.21,3.18,3.2,20550
28/1/2025,Z74.SG,SINGTEL.SG,3.22,3.28,3.21,3.26,28053
31/1/2025,Z74.SG,SINGTEL.SG,3.29,3.36,3.29,3.33,62885
3/2/2025,Z74.SG,SINGTEL.SG,3.21,3.31,3.21,3.22,48745
4/2/2025,Z74.SG,SINGTEL.SG,3.25,3.28,3.21,3.23,21557
5/2/2025,Z74.SG,SINGTEL.SG,3.24,3.26,3.19,3.21,16626
6/2/2025,Z74.SG,SINGTEL.SG,3.22,3.24,3.19,3.23,16159
7/2/2025,Z74.SG,SINGTEL.SG,3.24,3.29,3.23,3.28,22656
10/2/2025,Z74.SG,SINGTEL.SG,3.28,3.34,3.28,3.31,22034
11/2/2025,Z74.SG,SINGTEL.SG,3.34,3.35,3.32,3.34,22346
12/2/2025,Z74.SG,SINGTEL.SG,3.36,3.42,3.35,3.42,49413
13/2/2025,Z74.SG,SINGTEL.SG,3.4,3.41,3.37,3.41,18584
14/2/2025,Z74.SG,SINGTEL.SG,3.4,3.41,3.35,3.36,26172
17/2/2025,Z74.SG,SINGTEL.SG,3.35,3.38,3.3,3.32,27734
18/2/2025,Z74.SG,SINGTEL.SG,3.35,3.37,3.32,3.33,20583
19/2/2025,Z74.SG,SINGTEL.SG,3.37,3.41,3.34,3.37,27861
20/2/2025,Z74.SG,SINGTEL.SG,3.36,3.38,3.34,3.37,21641
21/2/2025,Z74.SG,SINGTEL.SG,3.34,3.34,3.26,3.28,37213
24/2/2025,Z74.SG,SINGTEL.SG,3.25,3.33,3.25,3.28,28302
25/2/2025,Z74.SG,SINGTEL.SG,3.26,3.33,3.26,3.32,26980
26/2/2025,Z74.SG,SINGTEL.SG,3.32,3.36,3.31,3.32,20115
27/2/2025,Z74.SG,SINGTEL.SG,3.33,3.35,3.31,3.34,18503
28/2/2025,Z74.SG,SINGTEL.SG,3.33,3.4,3.32,3.4,43145
3/3/2025,Z74.SG,SINGTEL.SG,3.41,3.43,3.36,3.4,25180
4/3/2025,Z74.SG,SINGTEL.SG,3.37,3.41,3.37,3.38,41712
5/3/2025,Z74.SG,SINGTEL.SG,3.38,3.41,3.37,3.39,19186
6/3/2025,Z74.SG,SINGTEL.SG,3.41,3.42,3.38,3.39,18329
7/3/2025,Z74.SG,SINGTEL.SG,3.38,3.43,3.37,3.42,50405
10/3/2025,Z74.SG,SINGTEL.SG,3.42,3.42,3.34,3.36,15091
11/3/2025,Z74.SG,SINGTEL.SG,3.29,3.32,3.27,3.3,32283
12/3/2025,Z74.SG,SINGTEL.SG,3.29,3.32,3.28,3.3,12431
13/3/2025,Z74.SG,SINGTEL.SG,3.3,3.36,3.29,3.35,21883
14/3/2025,Z74.SG,SINGTEL.SG,3.35,3.36,3.32,3.32,19345
17/3/2025,Z74.SG,SINGTEL.SG,3.34,3.4,3.32,3.39,25059
18/3/2025,Z74.SG,SINGTEL.SG,3.4,3.41,3.35,3.37,19092
19/3/2025,Z74.SG,SINGTEL.SG,3.39,3.42,3.37,3.4,19869
20/3/2025,Z74.SG,SINGTEL.SG,3.41,3.45,3.39,3.4,34603
21/3/2025,Z74.SG,SINGTEL.SG,3.38,3.42,3.35,3.42,57755
24/3/2025,Z74.SG,SINGTEL.SG,3.38,3.43,3.38,3.41,13440
25/3/2025,Z74.SG,SINGTEL.SG,3.43,3.45,3.41,3.42,16390
26/3/2025,Z74.SG,SINGTEL.SG,3.4,3.43,3.38,3.39,20240
27/3/2025,Z74.SG,SINGTEL.SG,3.4,3.42,3.38,3.4,25382
28/3/2025,Z74.SG,SINGTEL.SG,3.42,3.44,3.41,3.43,17913
1/4/2025,Z74.SG,SINGTEL.SG,3.45,3.58,3.44,3.56,79183
2/4/2025,Z74.SG,SINGTEL.SG,3.5,3.54,3.48,3.51,31751
3/4/2025,Z74.SG,SINGTEL.SG,3.48,3.61,3.48,3.6,49381
4/4/2025,Z74.SG,SINGTEL.SG,3.58,3.64,3.52,3.53,58052
7/4/2025,Z74.SG,SINGTEL.SG,3.44,3.45,3.31,3.36,91728
8/4/2025,Z74.SG,SINGTEL.SG,3.38,3.4,3.27,3.36,74432
9/4/2025,Z74.SG,SINGTEL.SG,3.39,3.48,3.37,3.4,81038
10/4/2025,Z74.SG,SINGTEL.SG,3.49,3.64,3.37,3.49,73409
11/4/2025,Z74.SG,SINGTEL.SG,3.5,3.54,3.45,3.5,65642
14/4/2025,Z74.SG,SINGTEL.SG,3.55,3.6,3.49,3.5,38972
15/4/2025,Z74.SG,SINGTEL.SG,3.54,3.61,3.52,3.57,44143
16/4/2025,Z74.SG,SINGTEL.SG,3.61,3.69,3.58,3.69,50914
17/4/2025,Z74.SG,SINGTEL.SG,3.72,3.79,3.71,3.75,42446
21/4/2025,Z74.SG,SINGTEL.SG,3.75,3.78,3.72,3.75,13893
22/4/2025,Z74.SG,SINGTEL.SG,3.75,3.82,3.74,3.8,32089
23/4/2025,Z74.SG,SINGTEL.SG,3.8,3.8,3.73,3.76,34902
24/4/2025,Z74.SG,SINGTEL.SG,3.73,3.81,3.72,3.79,31298
25/4/2025,Z74.SG,SINGTEL.SG,3.81,3.84,3.76,3.76,36512
28/4/2025,Z74.SG,SINGTEL.SG,3.76,3.82,3.76,3.79,19121
29/4/2025,Z74.SG,SINGTEL.SG,3.74,3.79,3.72,3.76,27425
30/4/2025,Z74.SG,SINGTEL.SG,3.71,3.78,3.69,3.78,26854
2/5/2025,Z74.SG,SINGTEL.SG,3.79,3.82,3.78,3.8,33083
5/5/2025,Z74.SG,SINGTEL.SG,3.8,3.81,3.76,3.81,14524
6/5/2025,Z74.SG,SINGTEL.SG,3.84,3.87,3.82,3.87,25386
7/5/2025,Z74.SG,SINGTEL.SG,3.87,3.88,3.8,3.88,34633
8/5/2025,Z74.SG,SINGTEL.SG,3.83,3.87,3.78,3.86,24162
9/5/2025,Z74.SG,SINGTEL.SG,3.83,3.9,3.83,3.9,25105
13/5/2025,Z74.SG,SINGTEL.SG,3.82,3.86,3.7,3.71,54352
14/5/2025,Z74.SG,SINGTEL.SG,3.71,3.76,3.67,3.75,27220
15/5/2025,Z74.SG,SINGTEL.SG,3.75,3.76,3.7,3.75,18430
16/5/2025,Z74.SG,SINGTEL.SG,3.78,3.82,3.77,3.8,26927
19/5/2025,Z74.SG,SINGTEL.SG,3.82,3.84,3.78,3.79,21424
20/5/2025,Z74.SG,SINGTEL.SG,3.78,3.84,3.77,3.81,20052
21/5/2025,Z74.SG,SINGTEL.SG,3.82,3.9,3.81,3.85,36124
22/5/2025,Z74.SG,SINGTEL.SG,3.9,3.99,3.89,3.95,52284
23/5/2025,Z74.SG,SINGTEL.SG,3.98,4.0,3.86,3.88,27920
26/5/2025,Z74.SG,SINGTEL.SG,3.88,3.89,3.81,3.84,13720
27/5/2025,Z74.SG,SINGTEL.SG,3.84,3.87,3.83,3.85,10415
28/5/2025,Z74.SG,SINGTEL.SG,3.88,3.91,3.84,3.84,18897
29/5/2025,Z74.SG,SINGTEL.SG,3.86,3.86,3.83,3.85,14852
30/5/2025,Z74.SG,SINGTEL.SG,3.84,3.87,3.81,3.81,47410
2/6/2025,Z74.SG,SINGTEL.SG,3.83,3.83,3.76,3.8,32160
